BENCH: resnet152
layer, xgb-300 exec, xgb-300 tuning, xgb-300 trials
0, 0.00186912, 191.88, 100
1, 0.01293313, 170.63, 100
2, 0.00082777, 168.32, 100
3, 0.00237095, 236.84, 100
4, 0.00138847, 271.90, 100
5, 0.00380093, 275.34, 100
6, 0.00055073, 177.11, 100
7, 0.01068250, 271.83, 100
8, 0.00517309, 230.00, 100
9, 0.00000451, 3.88, 4
10, 0.00067860, 176.85, 100
11, 0.00243735, 164.60, 100
12, 0.00324233, 162.91, 100
13, 0.00234193, 190.05, 100
14, 0.00001156, 99.62, 100
15, 0.00521851, 148.56, 100
16, 0.00163587, 169.62, 100
17, 0.00076410, 170.05, 100
18, 0.00996586, 251.14, 100
19, 0.00180548, 251.31, 100
20, 0.00198063, 211.14, 100
21, 0.00110801, 181.80, 100
22, 0.00935854, 225.89, 100
23, 0.00398554, 122.13, 100
24, 0.00378599, 141.13, 100
25, 0.00001753, 19.88, 20
26, 0.00139474, 177.37, 100
27, 0.00228987, 128.47, 100
