BENCH: resnet18
layer, xgb-300 exec, xgb-300 tuning, xgb-300 trials
0, 0.00007691, 110.47, 100
1, 0.00392981, 416.92, 100
2, 0.00306308, 121.01, 100
3, 0.00005016, 230.70, 100
4, 0.00000215, 3.81, 4
5, 0.00125732, 223.04, 100
6, 0.00378940, 297.32, 100
7, 0.00127260, 247.97, 100
8, 0.00051234, 159.52, 100
9, 0.00012163, 194.27, 100
10, 0.00000984, 95.98, 100
11, 0.00180131, 191.55, 100
12, 0.00549991, 304.80, 100
13, 0.00248072, 230.17, 100
14, 0.00263111, 307.87, 100
15, 0.00252724, 182.47, 100
16, 0.00001737, 79.37, 80
17, 0.00492276, 137.98, 100
18, 0.00650337, 254.40, 100
