BENCH: mnasnet1_0
layer, xgb-300 exec, xgb-300 tuning, xgb-300 trials
0, 0.00006879, 199.25, 100
1, 0.00121826, 468.82, 100
2, 0.00010126, 173.12, 100
3, 0.00017078, 130.54, 100
4, 0.00086634, 128.08, 100
5, 0.00010782, 225.43, 100
6, 0.00007359, 208.34, 100
7, 0.00039265, 209.93, 100
8, 0.00004007, 195.28, 100
9, 0.00111983, 156.87, 100
10, 0.00015884, 239.50, 100
11, 0.00017784, 210.20, 100
12, 0.00027626, 196.60, 100
13, 0.00084405, 143.12, 100
14, 0.00003055, 240.43, 100
15, 0.00007434, 189.06, 100
16, 0.00000870, 98.05, 100
17, 0.00050866, 160.89, 100
18, 0.00011494, 150.73, 100
19, 0.00011416, 124.01, 100
20, 0.00003093, 178.44, 100
21, 0.00010414, 281.36, 100
22, 0.00019740, 129.03, 100
23, 0.00015099, 143.62, 100
24, 0.00014909, 391.10, 100
25, 0.00009891, 202.40, 100
26, 0.00015471, 158.32, 100
27, 0.00030067, 127.47, 100
28, 0.00003893, 151.08, 100
29, 0.00009211, 143.76, 100
30, 0.00015972, 147.89, 100
31, 0.00018175, 138.70, 100
32, 0.00009312, 206.33, 100
33, 0.00014110, 187.38, 100
34, 0.00000389, 97.82, 100
35, 0.00010036, 128.39, 100
