BENCH: resnet101
layer, xgb-300 exec, xgb-300 tuning, xgb-300 trials
0, 0.00384869, 208.32, 100
1, 0.00218419, 157.40, 100
2, 0.00078222, 170.87, 100
3, 0.01001356, 186.01, 100
4, 0.00142457, 141.75, 100
5, 0.01405390, 181.22, 100
6, 0.00398037, 152.03, 100
7, 9999.00000000, 226.46, 100
8, 0.00318778, 309.12, 100
9, 0.00000483, 3.85, 4
10, 0.00094686, 242.42, 100
11, 0.00159418, 227.24, 100
12, 0.00141553, 243.42, 100
13, 0.00086304, 139.77, 100
14, 0.00000814, 38.28, 40
15, 0.00186823, 427.98, 100
16, 0.00174506, 287.62, 100
17, 0.00549047, 146.94, 100
18, 0.01177137, 182.98, 100
19, 0.00148020, 175.53, 100
20, 0.00336229, 644.84, 100
21, 0.00224502, 158.42, 100
22, 0.00113195, 179.39, 100
23, 0.00453624, 136.97, 100
24, 0.01122927, 169.03, 100
25, 0.00001813, 78.79, 80
26, 0.00496603, 153.62, 100
27, 0.00197503, 138.05, 100
