BENCH: vgg13
layer, xgb-300 exec, xgb-300 tuning, xgb-300 trials
0, 0.00131449, 263.67, 100
1, 0.00011152, 4.11, 4
2, 0.02814143, 492.21, 100
3, 9999.00000000, 223.83, 100
4, 0.00001775, 3.88, 4
5, 0.08835957, 688.15, 100
6, 0.02034863, 396.31, 100
7, 0.00971732, 151.24, 100
8, 0.00000765, 100.28, 100
9, 0.02452090, 333.65, 100
10, 0.06184867, 347.70, 100
11, 0.07522517, 726.51, 100
12, 0.00004262, 3.99, 4
13, 0.00000525, 2.00, 2
14, 0.03806160, 371.48, 100
15, 0.01420373, 293.77, 100
16, 0.00000174, 4.89, 5
17, 0.01683313, 380.22, 100
18, 0.00000817, 4.12, 4
