BENCH: vgg16
layer, xgb-300 exec, xgb-300 tuning, xgb-300 trials
0, 0.00000726, 4.09, 4
1, 0.00177030, 264.07, 100
2, 0.00000175, 2.00, 2
3, 0.06512627, 894.20, 100
4, 0.00423933, 208.46, 100
5, 0.00002769, 4.77, 4
6, 0.08010647, 791.78, 100
7, 0.00013771, 4.73, 4
8, 0.07057490, 633.53, 100
9, 0.01015480, 187.92, 100
10, 0.00004244, 3.88, 4
11, 0.01091643, 331.63, 100
12, 0.06287473, 375.04, 100
13, 0.04854850, 884.46, 100
14, 0.00000887, 97.35, 100
15, 0.00000486, 2.00, 2
16, 0.02403327, 287.96, 100
17, 0.08111233, 710.03, 100
18, 0.01386043, 440.71, 100
