BENCH: alexnet
layer, xgb-300 exec, xgb-300 tuning, xgb-300 trials
0, 0.01043823, 204.47, 100
1, 0.00000426, 19.10, 20
2, 0.00690056, 327.71, 100
3, 0.00036975, 190.66, 100
4, 0.00001130, 97.07, 100
5, 0.00291120, 208.82, 100
6, 0.00000646, 19.14, 20
7, 0.02381503, 302.43, 100
8, 0.00550813, 217.82, 100
9, 0.00000090, 2.00, 2
10, 0.00001495, 82.46, 64
11, 0.00206147, 403.73, 100
12, 0.00990960, 222.22, 100
