BENCH: densenet161
layer, xgb-300 exec, xgb-300 tuning, xgb-300 trials
0, 0.00386142, 214.79, 100
1, 0.00005614, 176.17, 100
2, 0.00043801, 118.03, 100
3, 0.00060321, 147.43, 100
4, 0.00093279, 164.97, 100
5, 0.00206412, 142.55, 100
6, 0.02384287, 355.77, 100
7, 0.00054510, 123.10, 100
8, 0.00000608, 3.87, 4
9, 0.00153560, 147.18, 100
10, 0.00106734, 145.42, 100
11, 0.00758878, 136.39, 100
12, 0.00042138, 201.69, 100
13, 0.00116172, 201.25, 100
14, 0.00089032, 129.11, 100
15, 0.00064614, 167.10, 100
16, 9999.00000000, 225.80, 100
17, 0.02010030, 348.12, 100
18, 0.00054203, 132.20, 100
19, 0.00054159, 188.59, 100
20, 0.00523555, 139.03, 100
21, 0.00000451, 3.87, 4
22, 0.00043744, 133.89, 100
23, 0.00196653, 173.39, 100
24, 0.00027556, 129.24, 100
25, 0.00456052, 205.45, 100
26, 0.00427565, 319.05, 100
27, 0.00038330, 107.92, 100
28, 0.00015522, 122.97, 100
29, 0.00043253, 181.04, 100
30, 0.00338609, 168.84, 100
31, 0.00028430, 240.18, 100
32, 0.00051772, 182.22, 100
33, 0.00468139, 152.71, 100
34, 0.00113023, 194.77, 100
35, 0.00055813, 154.16, 100
36, 0.00000801, 4.23, 4
37, 0.00091490, 113.67, 100
38, 0.00303107, 152.85, 100
39, 0.00235336, 151.83, 100
40, 0.00241498, 156.57, 100
41, 0.00102888, 145.88, 100
42, 0.00000877, 99.85, 100
43, 0.00045854, 133.53, 100
44, 0.00741523, 205.39, 100
45, 0.00078716, 149.31, 100
46, 0.00129873, 146.00, 100
47, 0.00034096, 179.98, 100
48, 0.00211114, 156.53, 100
49, 0.00046790, 182.97, 100
50, 0.00137150, 236.90, 100
51, 0.00021039, 150.74, 100
52, 0.00381343, 127.09, 100
53, 0.00039567, 140.99, 100
54, 0.00143268, 155.40, 100
55, 0.00019942, 161.64, 100
56, 0.00185976, 183.06, 100
57, 0.01467653, 243.36, 100
58, 0.00254426, 228.74, 100
59, 0.00020016, 114.75, 100
60, 0.00029317, 209.60, 100
61, 0.00099236, 227.72, 100
62, 0.01366067, 195.59, 100
63, 0.00000947, 3.85, 4
64, 0.00029641, 172.91, 100
65, 0.00157249, 344.11, 100
66, 0.01799230, 178.60, 100
67, 0.00050861, 233.56, 100
68, 0.00090422, 117.65, 100
69, 0.00032603, 305.67, 100
70, 0.00044241, 115.93, 100
71, 0.00047763, 136.74, 100
72, 0.00058486, 149.50, 100
73, 0.00088304, 114.03, 100
74, 0.00065900, 142.14, 100
75, 0.00453745, 130.30, 100
76, 0.00348882, 184.85, 100
77, 0.00409874, 198.12, 100
78, 0.00121755, 150.53, 100
79, 0.00039521, 150.88, 100
80, 0.00391791, 193.01, 100
81, 0.00003640, 79.33, 64
82, 0.00059351, 191.09, 100
83, 0.00098105, 146.87, 100
84, 0.00661818, 154.79, 100
85, 0.00840647, 488.84, 100
86, 0.00279645, 162.31, 100
87, 0.00210002, 163.63, 100
88, 0.00028286, 188.52, 100
89, 0.00171105, 147.64, 100
90, 0.00120148, 158.78, 100
91, 0.00051563, 115.97, 100
92, 0.00152960, 145.92, 100
