BENCH: inception_v3
layer, xgb-300 exec, xgb-300 tuning, xgb-300 trials
0, 0.00065744, 283.81, 100
1, 0.00034480, 144.36, 100
2, 0.00074035, 209.52, 100
3, 0.00001493, 62.32, 64
4, 0.00088404, 269.87, 100
5, 0.00014246, 197.68, 100
6, 0.00168672, 138.68, 100
7, 0.00000673, 77.36, 80
8, 9999.00000000, 226.28, 100
9, 0.00074873, 228.32, 100
10, 0.00041608, 170.30, 100
11, 0.00000403, 4.01, 4
12, 0.00045212, 264.97, 100
13, 0.00846553, 189.73, 100
14, 0.00000667, 66.77, 64
15, 0.00048328, 210.01, 100
16, 0.00029594, 129.25, 100
17, 0.00015018, 148.85, 100
18, 0.00090201, 139.00, 100
19, 0.00036342, 112.66, 100
20, 0.00004244, 15.79, 16
21, 0.00072860, 138.77, 100
22, 0.00076363, 297.34, 100
23, 0.00001722, 78.69, 80
24, 0.00000777, 97.36, 100
25, 0.00029120, 168.29, 100
26, 0.00256682, 279.01, 100
27, 0.02399047, 482.88, 100
28, 0.00106352, 173.12, 100
29, 0.00087741, 221.89, 100
30, 0.00000559, 78.93, 80
31, 0.00148054, 210.18, 100
32, 0.00030924, 145.86, 100
33, 0.00372948, 228.74, 100
34, 0.00193402, 164.78, 100
35, 0.00069135, 141.25, 100
36, 0.00047002, 170.11, 100
37, 0.00001103, 62.25, 64
38, 0.00084160, 246.21, 100
39, 0.00070835, 137.42, 100
40, 0.00023564, 173.35, 100
41, 0.00021257, 189.20, 100
42, 0.00042326, 124.27, 100
43, 0.00110703, 281.48, 100
44, 0.00001032, 78.91, 80
45, 0.00178215, 175.96, 100
46, 0.00000548, 63.48, 64
47, 0.00027409, 131.23, 100
48, 0.00002415, 69.10, 64
49, 0.01344927, 325.12, 100
50, 0.00025552, 142.40, 100
51, 0.00048928, 117.75, 100
52, 0.00045786, 132.09, 100
53, 0.00060816, 221.62, 100
54, 0.00041085, 214.06, 100
55, 0.00609170, 343.09, 100
