BENCH: resnet34
layer, xgb-300 exec, xgb-300 tuning, xgb-300 trials
0, 0.00019629, 122.27, 100
1, 0.00199703, 420.19, 100
2, 0.00208193, 206.46, 100
3, 9999.00000000, 235.43, 100
4, 0.00000362, 3.88, 4
5, 0.00243678, 191.81, 100
6, 0.00771959, 321.63, 100
7, 0.00086548, 226.60, 100
8, 0.00011918, 127.03, 100
9, 0.00011474, 206.15, 100
10, 0.00001353, 98.23, 100
11, 0.00085072, 316.10, 100
12, 0.00439201, 140.30, 100
13, 0.00167955, 296.19, 100
14, 0.00155210, 184.76, 100
15, 0.00779825, 143.11, 100
16, 0.00001777, 98.37, 100
17, 0.00104764, 239.36, 100
18, 0.00870259, 335.85, 100
