BENCH: densenet121
layer, xgb-300 exec, xgb-300 tuning, xgb-300 trials
0, 0.00038717, 141.93, 100
1, 0.00039388, 169.98, 100
2, 0.00064611, 141.79, 100
3, 0.00170504, 277.45, 100
4, 0.00095307, 126.26, 100
5, 0.00000481, 3.87, 4
6, 0.00007182, 256.90, 100
7, 0.00613783, 121.03, 100
8, 0.00008884, 314.62, 100
9, 0.00024755, 141.84, 100
10, 0.00003675, 105.34, 100
11, 0.00083593, 218.43, 100
12, 0.00563277, 335.44, 100
13, 0.00019234, 119.73, 100
14, 0.00048976, 179.12, 100
15, 0.00000387, 3.89, 4
16, 0.00012905, 179.86, 100
17, 0.00064995, 165.79, 100
18, 0.00020533, 124.61, 100
19, 0.00160831, 202.57, 100
20, 0.00024024, 173.72, 100
21, 0.00036161, 170.05, 100
22, 0.00071282, 162.71, 100
23, 0.00841068, 244.80, 100
24, 0.00013775, 146.05, 100
25, 0.00034462, 163.18, 100
26, 0.00000599, 3.93, 4
27, 0.00044648, 118.18, 100
28, 0.00080711, 160.26, 100
29, 0.00049593, 159.19, 100
30, 0.00016229, 136.32, 100
31, 0.00001218, 101.53, 100
32, 0.00094980, 152.19, 100
33, 0.00017430, 179.59, 100
34, 0.00154057, 183.35, 100
35, 0.00111319, 154.12, 100
36, 0.00127598, 169.83, 100
37, 0.00009580, 123.39, 100
38, 0.00046273, 170.20, 100
39, 0.00064268, 113.48, 100
40, 0.00043973, 123.35, 100
41, 0.00011477, 127.11, 100
42, 0.00761497, 163.25, 100
43, 0.00063641, 111.39, 100
44, 0.00008710, 163.80, 100
45, 0.00032835, 117.85, 100
46, 0.00026077, 128.33, 100
47, 0.00199531, 131.37, 100
48, 0.00000703, 3.86, 4
49, 0.00519406, 230.79, 100
50, 0.00012707, 120.86, 100
51, 0.00036199, 140.74, 100
52, 0.00012434, 139.10, 100
53, 0.00022918, 113.74, 100
54, 0.00084178, 145.82, 100
55, 0.00098884, 225.12, 100
56, 0.00035136, 112.21, 100
57, 0.00265438, 278.48, 100
58, 0.00023637, 162.41, 100
59, 0.00012468, 150.89, 100
60, 0.00125773, 170.52, 100
61, 0.00001850, 20.08, 20
62, 0.00157310, 137.10, 100
63, 0.00013810, 114.93, 100
64, 0.00077003, 213.42, 100
65, 0.00404787, 207.38, 100
66, 0.00028432, 141.66, 100
67, 0.00043802, 104.91, 100
68, 0.00158280, 221.93, 100
69, 0.00024982, 141.59, 100
70, 0.00043984, 147.97, 100
71, 0.00005102, 179.16, 100
72, 0.00027516, 155.08, 100
