BENCH: vgg19
layer, xgb-300 exec, xgb-300 tuning, xgb-300 trials
0, 0.00000747, 4.01, 4
1, 0.00404733, 289.36, 100
2, 0.00000177, 3.77, 4
3, 0.11151833, 697.10, 100
4, 0.01002863, 240.92, 100
5, 0.00004073, 4.80, 4
6, 0.03069430, 469.97, 100
7, 0.00008981, 5.01, 5
8, 0.01413260, 404.77, 100
9, 0.01030190, 207.56, 100
10, 0.00004206, 3.87, 4
11, 0.01583363, 381.28, 100
12, 0.06259363, 401.85, 100
13, 0.02638967, 690.82, 100
14, 0.00000806, 96.83, 100
15, 0.00000485, 3.88, 4
16, 0.00798081, 727.73, 100
17, 0.03640163, 390.25, 100
18, 0.03930173, 225.62, 100
