BENCH: vgg11
layer, xgb-300 exec, xgb-300 tuning, xgb-300 trials
0, 0.00000680, 4.74, 5
1, 0.00128710, 160.44, 100
2, 0.02714873, 374.30, 100
3, 0.01949743, 217.27, 100
4, 0.00001003, 4.76, 5
5, 0.01550863, 481.81, 100
6, 0.00596097, 293.74, 100
7, 0.01007003, 232.29, 100
8, 0.00000870, 96.29, 100
9, 0.04169797, 360.30, 100
10, 0.06200247, 376.24, 100
11, 0.00003758, 3.89, 4
12, 0.00000475, 3.88, 4
13, 0.02023893, 409.83, 100
14, 0.00000174, 4.72, 5
15, 0.02835040, 319.59, 100
16, 0.00008516, 4.01, 4
