BENCH: densenet201
layer, xgb-300 exec, xgb-300 tuning, xgb-300 trials
0, 0.00229512, 113.12, 100
1, 0.00012119, 184.29, 100
2, 0.00066938, 170.26, 100
3, 0.00130870, 190.48, 100
4, 0.00065739, 136.88, 100
5, 0.00015711, 169.43, 100
6, 0.00201544, 167.77, 100
7, 0.00088610, 166.89, 100
8, 0.00000535, 3.84, 4
9, 0.00066843, 163.74, 100
10, 0.00035657, 133.59, 100
11, 0.00129978, 181.22, 100
12, 0.00653233, 235.57, 100
13, 0.00060428, 157.85, 100
14, 0.00040180, 152.80, 100
15, 0.00081551, 142.67, 100
16, 0.00011699, 204.09, 100
17, 0.00024081, 221.09, 100
18, 0.00172000, 216.62, 100
19, 0.00687191, 216.86, 100
20, 0.00010113, 140.99, 100
21, 0.00083755, 301.38, 100
22, 0.00014873, 126.41, 100
23, 0.00102351, 204.73, 100
24, 0.00000447, 3.89, 4
25, 0.00093830, 173.52, 100
26, 0.00018133, 147.03, 100
27, 0.00067002, 136.62, 100
28, 0.00043390, 165.98, 100
29, 0.00159612, 166.20, 100
30, 0.00020382, 166.85, 100
31, 0.00075487, 130.69, 100
32, 0.00091127, 196.40, 100
33, 0.00103499, 214.85, 100
34, 0.00052792, 286.13, 100
35, 0.00081788, 169.98, 100
36, 0.00040777, 145.06, 100
37, 0.00290595, 184.30, 100
38, 0.00083430, 213.01, 100
39, 0.00062161, 125.29, 100
40, 0.00188050, 172.28, 100
41, 0.00042482, 133.18, 100
42, 0.00000536, 4.32, 4
43, 0.00055424, 152.28, 100
44, 0.00014834, 156.61, 100
45, 0.00053790, 130.73, 100
46, 0.00028845, 134.01, 100
47, 0.00123113, 144.92, 100
48, 0.00001295, 100.70, 100
49, 0.00069198, 133.03, 100
50, 0.00365351, 147.47, 100
51, 0.00023768, 148.40, 100
52, 0.00018126, 122.98, 100
53, 0.00077018, 150.74, 100
54, 0.00018123, 112.77, 100
55, 0.00026056, 113.84, 100
56, 0.00311576, 142.80, 100
57, 0.00136103, 123.32, 100
58, 0.00164611, 145.51, 100
59, 0.00051809, 176.02, 100
60, 0.00014947, 131.30, 100
61, 0.00031137, 236.20, 100
62, 0.00211714, 118.50, 100
63, 0.02233267, 240.66, 100
64, 0.00221187, 264.96, 100
65, 0.00142294, 325.12, 100
66, 0.00024301, 113.08, 100
67, 0.00113966, 159.72, 100
68, 0.00041930, 170.50, 100
69, 0.00094305, 171.55, 100
70, 0.00091110, 110.93, 100
71, 0.00041251, 186.05, 100
72, 0.00098887, 110.39, 100
73, 0.00031269, 146.90, 100
74, 0.00198919, 285.30, 100
75, 0.00365802, 177.89, 100
76, 0.00000715, 3.86, 4
77, 0.00088127, 138.26, 100
78, 0.00055488, 130.35, 100
79, 0.00134600, 149.74, 100
80, 0.00153225, 147.72, 100
81, 0.00068377, 144.27, 100
82, 0.00015222, 135.25, 100
83, 0.00157670, 189.96, 100
84, 0.00123055, 175.82, 100
85, 0.00015577, 134.67, 100
86, 0.00012867, 208.34, 100
87, 0.00061800, 137.90, 100
88, 0.00011251, 146.21, 100
89, 0.00061178, 110.50, 100
90, 0.00012886, 141.61, 100
91, 0.00100921, 138.86, 100
92, 0.00147850, 189.78, 100
93, 0.00472787, 135.28, 100
94, 0.00066387, 171.94, 100
95, 0.00079146, 125.22, 100
96, 0.00043110, 125.94, 100
97, 0.00391756, 147.72, 100
98, 0.00001775, 19.96, 20
99, 0.00194120, 138.23, 100
100, 0.00093681, 137.95, 100
101, 0.00096541, 158.30, 100
102, 0.00019619, 137.89, 100
103, 0.00045532, 133.98, 100
104, 0.00142868, 168.58, 100
105, 0.00053528, 147.71, 100
106, 0.00013377, 152.36, 100
107, 0.00013661, 176.56, 100
108, 0.00103119, 239.87, 100
109, 0.00041747, 128.85, 100
110, 0.00021712, 225.49, 100
111, 0.00005315, 279.43, 100
112, 0.00067634, 154.80, 100
