BENCH: googlenet
layer, xgb-300 exec, xgb-300 tuning, xgb-300 trials
0, 0.00054601, 297.67, 100
1, 0.00012222, 137.17, 100
2, 0.00002359, 65.80, 64
3, 0.01023880, 270.94, 100
4, 0.00364233, 313.54, 100
5, 0.00137374, 109.82, 100
6, 0.00103757, 130.07, 100
7, 0.00485870, 233.24, 100
8, 0.00019256, 179.07, 100
9, 0.00010326, 171.77, 100
10, 0.00313026, 211.92, 100
11, 0.00001510, 21.33, 20
12, 0.00013060, 254.29, 100
13, 0.00003917, 132.31, 100
14, 0.00000385, 3.90, 4
15, 0.00001188, 16.79, 16
16, 0.00140866, 247.09, 100
17, 0.00014245, 310.84, 100
18, 0.00142521, 192.42, 100
19, 0.00044022, 189.30, 100
20, 0.00001362, 86.65, 80
21, 0.00015371, 172.15, 100
22, 0.00007503, 135.04, 100
23, 0.00012736, 237.23, 100
24, 0.00002945, 129.16, 100
25, 0.00115980, 250.06, 100
26, 0.00003159, 110.86, 100
27, 0.00000752, 100.23, 100
28, 0.00013224, 117.58, 100
29, 0.00096146, 115.28, 100
30, 0.00725445, 409.85, 100
31, 0.00001204, 3.84, 4
32, 0.00025450, 256.81, 100
33, 0.00146687, 180.06, 100
34, 0.00018935, 138.29, 100
35, 0.00009939, 206.17, 100
36, 0.00008093, 178.15, 100
37, 0.00124360, 168.41, 100
38, 0.00065129, 154.95, 100
39, 0.00001422, 19.98, 20
40, 0.00020776, 112.82, 100
41, 0.00150732, 318.24, 100
42, 0.00012691, 200.87, 100
43, 0.00051708, 176.66, 100
44, 0.00034575, 190.17, 100
45, 0.00006744, 134.29, 100
46, 0.00066090, 231.83, 100
47, 0.00018775, 188.45, 100
48, 0.00001188, 81.65, 64
49, 0.00122063, 181.60, 100
50, 0.00033934, 177.20, 100
51, 0.00014081, 163.68, 100
52, 0.00003067, 119.00, 100
53, 0.00005932, 83.09, 80
54, 0.00003608, 207.66, 100
55, 0.00065541, 127.94, 100
56, 0.00006709, 104.75, 100
57, 0.00157418, 357.78, 100
58, 0.00029718, 119.82, 100
59, 0.00061744, 326.98, 100
60, 0.00040145, 160.82, 100
61, 0.00118236, 154.96, 100
