BENCH: alexnet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
10, 0.0002669109, 0.0000000159, 18, 0.20, 2.06, 0.0002669109, 0.0000000159, 39, 0.0001854967, 0.0000002183, 1025, 1.00, 0.69
11, 0.0000938810, 0.0000000025, 18, 0.12, 1.97, 0.0000938810, 0.0000000025, 47, 0.0000864326, 0.0000000301, 326, 1.00, 0.92
12, 0.0001049860, 0.0000002254, 15, 0.13, 1.98, 0.0001049860, 0.0000002254, 40, 0.0000626623, 0.0000000016, 170, 1.00, 0.60
13, 0.0000022827, 0.0000000020, 12, 0.04, 1.71, 0.0000022827, 0.0000000020, 45, 0.0000022827, 0.0000000020, 45, 1.00, 1.00
TOP: 100
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-100 time(s), Meta-100 std(s), trials-100, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-100, speedup-10k
0, 0.0000599259, 0.0000002806, 21, 0.20, 3.91, 0.0000599259, 0.0000002806, 44, 0.0000261827, 0.0000000231, 621, 1.00, 0.44
1, 0.0000022393, 0.0000000004, 7, 0.03, 0.88, 0.0000022393, 0.0000000004, 23, 0.0000022393, 0.0000000004, 23, 1.00, 1.00
2, 0.0000683627, 0.0000002818, 86, 0.59, 4.30, 0.0000826268, 0.0000004221, 17, 0.0000532323, 0.0000000782, 1245, 1.21, 0.78
3, 0.0000022373, 0.0000000006, 6, 0.03, 1.10, 0.0000022373, 0.0000000006, 29, 0.0000022373, 0.0000000006, 29, 1.00, 1.00
4, 0.0000384237, 0.0000000033, 28, 0.15, 3.86, 0.0000384237, 0.0000000033, 14, 0.0000241029, 0.0000000107, 645, 1.00, 0.63
5, 0.0000436903, 0.0000002416, 83, 0.57, 4.27, 0.0000569350, 0.0000000049, 37, 0.0000371399, 0.0000000026, 857, 1.30, 0.85
6, 0.0000318120, 0.0000000379, 28, 0.13, 3.84, 0.0000318120, 0.0000000379, 62, 0.0000221686, 0.0000000314, 206, 1.00, 0.70
7, 0.0000022376, 0.0000000007, 6, 0.03, 2.06, 0.0000022376, 0.0000000007, 55, 0.0000022376, 0.0000000007, 55, 1.00, 1.00
8, 0.0000044096, 0.0000000056, 7, 0.03, 2.40, 0.0000044096, 0.0000000056, 64, 0.0000044096, 0.0000000056, 64, 1.00, 1.00
9, 0.0000022708, 0.0000000006, 2, 0.02, 0.24, 0.0000022708, 0.0000000006, 6, 0.0000022708, 0.0000000006, 6, 1.00, 1.00
10, 0.0001966080, 0.0000000000, 54, 0.71, 4.41, 0.0001995899, 0.0000009185, 81, 0.0001854967, 0.0000002183, 1025, 1.02, 0.94
