BENCH: resnet50
TOP: 1
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
49, 0.00000765, 0.00000000, 33, 0.05, 0.00000765, 0.00000000, 38, 0.00000765, 0.00000000, 38, 1.00, 1.00
TOP: 1000
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00001965, 0.00000003, 10, 0.02, 0.00001965, 0.00000003, 2, 0.00001965, 0.00000003, 2, 1.00, 1.00
1, 0.00067166, 0.00000815, 90, 0.28, 0.00070715, 0.00000133, 130, 0.00070715, 0.00000133, 130, 1.05, 1.05
2, 0.00070454, 0.00000105, 67, 0.39, 0.00073782, 0.00000075, 137, 0.00073782, 0.00000075, 137, 1.05, 1.05
3, 0.00068843, 0.00000496, 97, 0.52, 0.00070989, 0.00000012, 65, 0.00070989, 0.00000012, 65, 1.03, 1.03
4, 0.00000853, 0.00000001, 10, 0.02, 0.00000853, 0.00000001, 2, 0.00000853, 0.00000001, 2, 1.00, 1.00
5, 0.00038885, 0.00000097, 79, 0.63, 0.00040453, 0.00000053, 65, 0.00040453, 0.00000053, 65, 1.04, 1.04
6, 0.00000703, 0.00000001, 10, 0.03, 0.00000703, 0.00000001, 1, 0.00000703, 0.00000001, 1, 1.00, 1.00
7, 0.00078730, 0.00000870, 100, 0.42, 0.00083119, 0.00000025, 278, 0.00083119, 0.00000025, 278, 1.06, 1.06
8, 0.00001620, 0.00000035, 16, 0.05, 0.00001699, 0.00000003, 8, 0.00001699, 0.00000003, 8, 1.05, 1.05
9, 0.00000506, 0.00000000, 10, 0.02, 0.00000506, 0.00000000, 2, 0.00000506, 0.00000000, 2, 1.00, 1.00
10, 0.00010854, 0.00000009, 46, 0.19, 0.00010854, 0.00000009, 38, 0.00010854, 0.00000009, 38, 1.00, 1.00
11, 0.00001356, 0.00000002, 10, 0.02, 0.00001356, 0.00000002, 1, 0.00001356, 0.00000002, 1, 1.00, 1.00
12, 0.00006495, 0.00000034, 10, 0.03, 0.00006767, 0.00000015, 2, 0.00006767, 0.00000015, 2, 1.04, 1.04
13, 0.00033402, 0.00000365, 99, 0.21, 0.00035901, 0.00000084, 166, 0.00035901, 0.00000084, 166, 1.07, 1.07
14, 0.00001334, 0.00000001, 10, 0.03, 0.00001334, 0.00000001, 1, 0.00001334, 0.00000001, 1, 1.00, 1.00
15, 0.00073807, 0.00001083, 84, 0.20, 0.00077939, 0.00000168, 684, 0.00077939, 0.00000168, 684, 1.06, 1.06
16, 0.00000838, 0.00000000, 11, 0.03, 0.00000838, 0.00000000, 1, 0.00000838, 0.00000000, 1, 1.00, 1.00
17, 0.00034464, 0.00000042, 100, 0.22, 0.00036747, 0.00000024, 344, 0.00036747, 0.00000024, 344, 1.07, 1.07
18, 0.00004024, 0.00000004, 11, 0.03, 0.00004024, 0.00000004, 2, 0.00004024, 0.00000004, 2, 1.00, 1.00
19, 0.00069609, 0.00000300, 86, 0.24, 0.00073220, 0.00000074, 195, 0.00073220, 0.00000074, 195, 1.05, 1.05
20, 0.00092001, 0.00000826, 98, 0.49, 0.00096157, 0.00000113, 258, 0.00096157, 0.00000113, 258, 1.05, 1.05
21, 0.00003428, 0.00000002, 10, 0.03, 0.00003428, 0.00000002, 2, 0.00003428, 0.00000002, 2, 1.00, 1.00
22, 0.00035987, 0.00000340, 83, 0.24, 0.00039289, 0.00000050, 271, 0.00039289, 0.00000050, 271, 1.09, 1.09
23, 0.00001117, 0.00000002, 10, 0.02, 0.00001117, 0.00000002, 1, 0.00001117, 0.00000002, 1, 1.00, 1.00
24, 0.00074630, 0.00001336, 84, 0.37, 0.00077744, 0.00000045, 643, 0.00077744, 0.00000045, 643, 1.04, 1.04
25, 0.00000512, 0.00000001, 11, 0.03, 0.00000512, 0.00000001, 2, 0.00000512, 0.00000001, 2, 1.00, 1.00
26, 0.00035917, 0.00000223, 67, 0.69, 0.00038219, 0.00000044, 385, 0.00038219, 0.00000044, 385, 1.06, 1.06
27, 0.00001132, 0.00000005, 11, 0.03, 0.00001132, 0.00000005, 1, 0.00001132, 0.00000005, 1, 1.00, 1.00
28, 0.00075592, 0.00000098, 33, 0.08, 0.00075592, 0.00000098, 193, 0.00075592, 0.00000098, 193, 1.00, 1.00
29, 0.00093563, 0.00003255, 100, 0.65, 0.00100090, 0.00000143, 200, 0.00100090, 0.00000143, 200, 1.07, 1.07
30, 0.00000784, 0.00000001, 11, 0.02, 0.00000784, 0.00000001, 1, 0.00000784, 0.00000001, 1, 1.00, 1.00
31, 0.00001840, 0.00000002, 10, 0.02, 0.00001840, 0.00000002, 1, 0.00001840, 0.00000002, 1, 1.00, 1.00
32, 0.00036897, 0.00000733, 83, 0.18, 0.00037249, 0.00000039, 449, 0.00037249, 0.00000039, 449, 1.01, 1.01
33, 0.00000722, 0.00000000, 10, 0.02, 0.00000722, 0.00000000, 2, 0.00000722, 0.00000000, 2, 1.00, 1.00
