BENCH: shufflenet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
3, 0.0008108578, 0.0000005985, 92, 2.13, 2.37, 0.0008268586, 0.0000086055, 10, 0.0001844685, 0.0000000448, 76, 1.02, 0.23
4, 0.0000159751, 0.0000000129, 11, 0.16, 0.23, 0.0000159751, 0.0000000129, 3, 0.0000159751, 0.0000000129, 3, 1.00, 1.00
5, 0.0003123813, 0.0000008718, 100, 1.79, 2.03, 0.0005291578, 0.0000007713, 5, 0.0001591705, 0.0000000525, 87, 1.69, 0.51
6, 0.0000161283, 0.0000002974, 11, 0.14, 0.18, 0.0000221104, 0.0000105175, 2, 0.0000221104, 0.0000105175, 2, 1.37, 1.37
7, 0.0010771420, 0.0000022786, 99, 2.02, 2.26, 0.0011539446, 0.0000000945, 7, 0.0004336730, 0.0000004883, 174, 1.07, 0.40
8, 0.0000188014, 0.0000000813, 16, 0.38, 0.50, 0.0000188014, 0.0000000813, 5, 0.0000188014, 0.0000000813, 5, 1.00, 1.00
9, 0.0000280551, 0.0000000081, 11, 0.14, 0.21, 0.0000280551, 0.0000000081, 3, 0.0000280551, 0.0000000081, 3, 1.00, 1.00
10, 0.0001587632, 0.0000020122, 100, 1.37, 1.61, 0.0003077909, 0.0000001554, 2, 0.0001279260, 0.0000001881, 57, 1.94, 0.81
11, 0.0000219349, 0.0000000207, 11, 0.14, 0.19, 0.0000219349, 0.0000000207, 2, 0.0000219349, 0.0000000207, 2, 1.00, 1.00
12, 0.0000232685, 0.0000014300, 11, 0.17, 0.22, 0.0000277888, 0.0000068514, 2, 0.0000277888, 0.0000068514, 2, 1.19, 1.19
13, 0.0003592385, 0.0000016866, 100, 1.68, 1.92, 0.0009750922, 0.0000004654, 4, 0.0001519179, 0.0000003338, 135, 2.71, 0.42
14, 0.0000207087, 0.0000000209, 11, 0.14, 0.17, 0.0000207087, 0.0000000209, 1, 0.0000207087, 0.0000000209, 1, 1.00, 1.00
15, 0.0008043760, 0.0000001788, 95, 1.70, 1.93, 0.0046717209, 0.0015579345, 10, 0.0002798070, 0.0000004527, 541, 5.81, 0.35
16, 0.0000143542, 0.0000000162, 11, 0.14, 0.19, 0.0000143542, 0.0000000162, 2, 0.0000143542, 0.0000000162, 2, 1.00, 1.00
17, 0.0004109457, 0.0000008123, 70, 1.78, 2.01, 0.0005394761, 0.0000010441, 10, 0.0001588110, 0.0000001035, 263, 1.31, 0.39
18, 0.0000263303, 0.0000002153, 11, 0.18, 0.22, 0.0000264685, 0.0000000752, 2, 0.0000264685, 0.0000000752, 2, 1.01, 1.01
19, 0.0012363017, 0.0000011659, 64, 1.83, 2.07, 0.0013586037, 0.0000004658, 6, 0.0004367769, 0.0000000966, 221, 1.10, 0.35
20, 0.0020831917, 0.0000002507, 99, 2.18, 2.41, 0.0044123716, 0.0000020118, 9, 0.0005602252, 0.0000006213, 209, 2.12, 0.27
21, 0.0000214953, 0.0000015553, 11, 0.15, 0.20, 0.0000250106, 0.0000063261, 2, 0.0000250106, 0.0000063261, 2, 1.16, 1.16
22, 0.0005029473, 0.0000074867, 19, 0.55, 0.79, 0.0005029473, 0.0000074867, 8, 0.0001521034, 0.0000397452, 184, 1.00, 0.30
23, 0.0000139968, 0.0000008615, 11, 0.13, 0.18, 0.0000271611, 0.0000001047, 2, 0.0000271611, 0.0000001047, 2, 1.94, 1.94
24, 0.0012323017, 0.0000030975, 99, 1.96, 2.20, 0.0017735779, 0.0000003377, 5, 0.0003273761, 0.0000005579, 503, 1.44, 0.27
25, 0.0000138587, 0.0000003102, 11, 0.13, 0.18, 0.0000142131, 0.0000000122, 2, 0.0000142131, 0.0000000122, 2, 1.03, 1.03
26, 0.0005959540, 0.0000003640, 100, 1.79, 2.02, 0.0007014002, 0.0000143432, 2, 0.0001181779, 0.0000001775, 130, 1.18, 0.20
27, 0.0000189373, 0.0000000331, 11, 0.15, 0.17, 0.0000189373, 0.0000000331, 1, 0.0000189373, 0.0000000331, 1, 1.00, 1.00
28, 0.0004557123, 0.0000003675, 99, 1.74, 1.97, 0.0011000592, 0.0000024177, 7, 0.0003343190, 0.0000007112, 92, 2.41, 0.73
29, 0.0023352575, 0.0000118532, 88, 2.36, 2.59, 0.0023854655, 0.0000009292, 4, 0.0011005366, 0.0000009862, 210, 1.02, 0.47
30, 0.0000126278, 0.0000000653, 11, 0.14, 0.16, 0.0000126278, 0.0000000653, 1, 0.0000126278, 0.0000000653, 1, 1.00, 1.00
31, 0.0000159935, 0.0000005424, 11, 0.14, 0.21, 0.0000289510, 0.0000038514, 3, 0.0000289510, 0.0000038514, 3, 1.81, 1.81
32, 0.0002614275, 0.0000005050, 100, 2.03, 2.26, 0.0005837995, 0.0000004244, 7, 0.0001040667, 0.0000000964, 835, 2.23, 0.40
33, 0.0000128299, 0.0000000443, 11, 0.13, 0.23, 0.0000128299, 0.0000000443, 4, 0.0000128299, 0.0000000443, 4, 1.00, 1.00
34, 0.0018231658, 0.0000029030, 95, 2.73, 2.97, 0.0020615200, 0.0000042929, 7, 0.0002963549, 0.0000005388, 1401, 1.13, 0.16
35, 0.0000120195, 0.0000000333, 11, 0.13, 0.16, 0.0000120195, 0.0000000333, 1, 0.0000120195, 0.0000000333, 1, 1.00, 1.00
36, 0.0002827678, 0.0000003868, 98, 1.83, 2.06, 0.0003015176, 0.0000013656, 6, 0.0001051660, 0.0000000720, 777, 1.07, 0.37
37, 0.0000145133, 0.0000004098, 11, 0.14, 0.19, 0.0000343340, 0.0000053616, 2, 0.0000343340, 0.0000053616, 2, 2.37, 2.37
38, 0.0009389757, 0.0000006848, 99, 1.82, 2.05, 0.0015572203, 0.0000022399, 9, 0.0006344470, 0.0000004222, 197, 1.66, 0.68
39, 0.0016861628, 0.0000103122, 100, 2.61, 2.84, 0.0034293254, 0.0000726848, 9, 0.0005722510, 0.0000005060, 210, 2.03, 0.34
40, 0.0000109888, 0.0000000187, 11, 0.14, 0.16, 0.0000109888, 0.0000000187, 1, 0.0000109888, 0.0000000187, 1, 1.00, 1.00
41, 0.0004567958, 0.0000066669, 100, 1.63, 1.86, 0.0009757517, 0.0000321134, 1, 0.0001710102, 0.0000351377, 182, 2.14, 0.37
42, 0.0000120821, 0.0000001921, 11, 0.13, 0.17, 0.0000120821, 0.0000001921, 2, 0.0000120821, 0.0000001921, 2, 1.00, 1.00
43, 0.0058947767, 0.0000076034, 93, 2.43, 2.66, 0.0061144469, 0.0000146395, 6, 0.0003944122, 0.0000065570, 325, 1.04, 0.07
44, 0.0000091800, 0.0000001487, 11, 0.13, 0.18, 0.0000112032, 0.0000000114, 2, 0.0000112032, 0.0000000114, 2, 1.22, 1.22
45, 0.0005000697, 0.0000009906, 66, 1.98, 2.22, 0.0009305927, 0.0000000883, 2, 0.0001167542, 0.0000003209, 133, 1.86, 0.23
46, 0.0000133918, 0.0000007535, 34, 0.47, 0.71, 0.0000134540, 0.0000000180, 8, 0.0000107301, 0.0000001558, 42, 1.00, 0.80
47, 0.0000013783, 0.0000001875, 11, 0.13, 0.15, 0.0000573958, 0.0000002358, 1, 0.0000573958, 0.0000002358, 1, 41.64, 41.64
48, 0.0000598974, 0.0000000230, 48, 0.80, 1.04, 0.0000598974, 0.0000000230, 9, 0.0000392063, 0.0000000198, 40, 1.00, 0.65
49, 0.0000274132, 0.0000000480, 22, 0.31, 0.54, 0.0000274132, 0.0000000480, 9, 0.0000270850, 0.0000000298, 40, 1.00, 0.99
TOP: 50
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-50 time(s), Meta-50 std(s), trials-50, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-50, speedup-10k
0, 0.0000153155, 0.0000002153, 11, 0.14, 0.21, 0.0000153155, 0.0000002153, 3, 0.0000153155, 0.0000002153, 3, 1.00, 1.00
1, 0.0004605562, 0.0000012815, 99, 2.48, 3.65, 0.0009567519, 0.0000034381, 8, 0.0003707163, 0.0000010520, 142, 2.08, 0.80
2, 0.0003423232, 0.0000001843, 93, 2.04, 3.21, 0.0003877637, 0.0000004796, 21, 0.0002192614, 0.0000016489, 174, 1.13, 0.64
3, 0.0002441957, 0.0000003350, 89, 3.34, 4.51, 0.0003388307, 0.0000002452, 22, 0.0001844685, 0.0000000448, 76, 1.39, 0.76
4, 0.0000159751, 0.0000000129, 11, 0.16, 0.23, 0.0000159751, 0.0000000129, 3, 0.0000159751, 0.0000000129, 3, 1.00, 1.00
5, 0.0001495143, 0.0000006772, 99, 1.77, 2.94, 0.0002282523, 0.0000009258, 18, 0.0001591705, 0.0000000525, 87, 1.53, 1.06
6, 0.0000151318, 0.0000004372, 11, 0.14, 0.18, 0.0000221104, 0.0000105175, 2, 0.0000221104, 0.0000105175, 2, 1.46, 1.46
7, 0.0003574985, 0.0000007197, 58, 2.36, 3.53, 0.0005777832, 0.0000000274, 36, 0.0004336730, 0.0000004883, 174, 1.62, 1.21
8, 0.0000188014, 0.0000000813, 16, 0.41, 0.52, 0.0000188014, 0.0000000813, 5, 0.0000188014, 0.0000000813, 5, 1.00, 1.00
9, 0.0000280551, 0.0000000081, 11, 0.15, 0.22, 0.0000280551, 0.0000000081, 3, 0.0000280551, 0.0000000081, 3, 1.00, 1.00
10, 0.0000757992, 0.0000002102, 100, 1.43, 2.60, 0.0001754386, 0.0000003067, 48, 0.0001279260, 0.0000001881, 57, 2.31, 1.69
11, 0.0000219349, 0.0000000207, 11, 0.14, 0.19, 0.0000219349, 0.0000000207, 2, 0.0000219349, 0.0000000207, 2, 1.00, 1.00
12, 0.0000233268, 0.0000009727, 11, 0.17, 0.22, 0.0000277888, 0.0000068514, 2, 0.0000277888, 0.0000068514, 2, 1.19, 1.19
13, 0.0002897412, 0.0000008897, 98, 1.78, 2.95, 0.0003967681, 0.0000008511, 43, 0.0001519179, 0.0000003338, 135, 1.37, 0.52
14, 0.0000207087, 0.0000000209, 11, 0.14, 0.17, 0.0000207087, 0.0000000209, 1, 0.0000207087, 0.0000000209, 1, 1.00, 1.00
15, 0.0006432678, 0.0000035886, 100, 1.94, 3.11, 0.0011488629, 0.0000011988, 32, 0.0002798070, 0.0000004527, 541, 1.79, 0.43
16, 0.0000143542, 0.0000000162, 11, 0.14, 0.19, 0.0000143542, 0.0000000162, 2, 0.0000143542, 0.0000000162, 2, 1.00, 1.00
17, 0.0003804053, 0.0000008058, 79, 2.00, 3.17, 0.0005394761, 0.0000010441, 10, 0.0001588110, 0.0000001035, 263, 1.42, 0.42
18, 0.0000264685, 0.0000000752, 11, 0.18, 0.23, 0.0000264685, 0.0000000752, 2, 0.0000264685, 0.0000000752, 2, 1.00, 1.00
19, 0.0009775575, 0.0000015558, 98, 2.09, 3.26, 0.0011353656, 0.0000009013, 13, 0.0004367769, 0.0000000966, 221, 1.16, 0.45
20, 0.0011650928, 0.0000007248, 100, 2.60, 3.77, 0.0017169708, 0.0000049205, 22, 0.0005602252, 0.0000006213, 209, 1.47, 0.48
