BENCH: alexnet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
0, 0.0000622928, 0.0000002414, 80, 1.26, 1.31, 0.0000789963, 0.0000036326, 17, 0.0000321362, 0.0000006014, 660, 1.27, 0.52
1, 0.0000393142, 0.0000018625, 7, 0.23, 0.28, 0.0000393142, 0.0000018625, 1, 0.0000031197, 0.0000000001, 27, 1.00, 0.08
2, 0.0002213543, 0.0000006385, 83, 1.72, 1.78, 0.0003243398, 0.0000146662, 1, 0.0000496284, 0.0000000021, 594, 1.47, 0.22
3, 0.0000052903, 0.0000002416, 7, 0.18, 0.23, 10000000000.0000000000, 0.0000000000, 1, 10000000000.0000000000, 0.0000000000, 1, 1890240060487682.00, 1890240060487682.00
4, 0.0000808955, 0.0000000000, 81, 1.50, 1.56, 0.0000998557, 0.0000010580, 29, 0.0000293001, 0.0000000025, 698, 1.23, 0.36
5, 0.0000829438, 0.0000004180, 92, 1.62, 1.67, 0.0000953961, 0.0000028582, 1, 0.0000320400, 0.0000000017, 645, 1.15, 0.39
6, 0.0001177597, 0.0000004180, 93, 1.64, 1.70, 0.0001647494, 0.0000018966, 1, 0.0000270344, 0.0000000012, 592, 1.40, 0.23
7, 0.0000126963, 0.0000005245, 7, 0.19, 0.25, 0.0000126963, 0.0000005245, 1, 0.0000029220, 0.0000000001, 64, 1.00, 0.23
8, 0.0000056367, 0.0000000224, 7, 0.18, 0.23, 0.0000056367, 0.0000000224, 1, 0.0000052334, 0.0000000001, 72, 1.00, 0.93
9, 0.0000028189, 0.0000001393, 2, 0.15, 0.21, 0.0000028189, 0.0000001393, 1, 0.0000026460, 0.0000000000, 5, 1.00, 0.94
10, 0.0016401062, 0.0000016895, 61, 1.52, 1.57, 0.0061161265, 0.0002179120, 1, 0.0001517571, 0.0000000940, 321, 3.73, 0.09
11, 0.0003119782, 0.0000002414, 56, 1.26, 1.31, 0.0003844978, 0.0000021260, 1, 0.0000944534, 0.0000000070, 858, 1.23, 0.30
12, 0.0013938347, 0.0000002414, 83, 2.30, 2.35, 10000000000.0000000000, 0.0000000000, 1, 10000000000.0000000000, 0.0000000000, 1, 7174452063181.09, 7174452063181.09
13, 0.0000171927, 0.0000004486, 12, 0.24, 0.29, 0.0000171927, 0.0000004486, 36, 0.0000035407, 0.0000000003, 80, 1.00, 0.21
TOP: 10
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-10 time(s), Meta-10 std(s), trials-10, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-10, speedup-10k
0, 0.0000621223, 0.0000006388, 80, 1.35, 1.90, 0.0000789963, 0.0000036326, 17, 0.0000321362, 0.0000006014, 660, 1.27, 0.52
1, 0.0000031209, 0.0000000000, 7, 0.22, 0.78, 0.0000031209, 0.0000000000, 6, 0.0000031197, 0.0000000001, 27, 1.00, 1.00
2, 0.0001324368, 0.0000002414, 60, 1.59, 2.14, 0.0002022932, 0.0000000163, 10, 0.0000496284, 0.0000000021, 594, 1.53, 0.37
3, 0.0000052903, 0.0000002416, 7, 0.17, 0.23, 10000000000.0000000000, 0.0000000000, 1, 10000000000.0000000000, 0.0000000000, 1, 1890240060487682.00, 1890240060487682.00
4, 0.0000887463, 0.0000006384, 81, 1.60, 2.15, 0.0000998557, 0.0000010580, 29, 0.0000293001, 0.0000000025, 698, 1.13, 0.33
5, 0.0000826025, 0.0000006388, 92, 1.58, 2.13, 0.0000953961, 0.0000028582, 1, 0.0000320400, 0.0000000017, 645, 1.15, 0.39
6, 0.0000573440, 0.0000004180, 85, 1.55, 2.11, 0.0000643420, 0.0000000036, 2, 0.0000270344, 0.0000000012, 592, 1.12, 0.47
7, 0.0000029499, 0.0000000002, 7, 0.19, 0.75, 0.0000029499, 0.0000000002, 4, 0.0000029220, 0.0000000001, 64, 1.00, 0.99
8, 0.0000054542, 0.0000000000, 6, 0.19, 0.75, 0.0000054542, 0.0000000000, 2, 0.0000052334, 0.0000000001, 72, 1.00, 0.96
9, 0.0000026460, 0.0000000000, 2, 0.17, 0.44, 0.0000026460, 0.0000000000, 5, 0.0000026460, 0.0000000000, 5, 1.00, 1.00
10, 0.0006993920, 0.0000004180, 74, 1.84, 2.39, 0.0007643730, 0.0000000616, 8, 0.0001517571, 0.0000000940, 321, 1.09, 0.22
11, 0.0003162448, 0.0000002414, 76, 1.90, 2.45, 0.0003844978, 0.0000021260, 1, 0.0000944534, 0.0000000070, 858, 1.22, 0.30
12, 0.0590230175, 0.0000221589, 70, 2.02, 2.08, 10000000000.0000000000, 0.0000000000, 1, 10000000000.0000000000, 0.0000000000, 1, 169425427969.69, 169425427969.69
13, 0.0000171927, 0.0000004486, 12, 0.23, 0.78, 0.0000171927, 0.0000004486, 36, 0.0000035407, 0.0000000003, 80, 1.00, 0.21
TOP: 25
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-25 time(s), Meta-25 std(s), trials-25, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-25, speedup-10k
0, 0.0000557682, 0.0000000270, 54, 0.86, 2.25, 0.0000557682, 0.0000000270, 18, 0.0000321362, 0.0000006014, 660, 1.00, 0.58
1, 0.0000031209, 0.0000000000, 7, 0.21, 1.59, 0.0000031209, 0.0000000000, 6, 0.0000031197, 0.0000000001, 27, 1.00, 1.00
2, 0.0000766290, 0.0000004830, 69, 1.71, 3.10, 0.0001122747, 0.0000000099, 12, 0.0000496284, 0.0000000021, 594, 1.47, 0.65
3, 0.0000054610, 0.0000004830, 7, 0.17, 0.23, 10000000000.0000000000, 0.0000000000, 1, 10000000000.0000000000, 0.0000000000, 1, 1831166453030580.50, 1831166453030580.50
4, 0.0000887463, 0.0000002416, 81, 1.48, 2.87, 0.0000998557, 0.0000010580, 29, 0.0000293001, 0.0000000025, 698, 1.13, 0.33
5, 0.0000925854, 0.0000000003, 66, 0.94, 2.32, 0.0000925854, 0.0000000003, 13, 0.0000320400, 0.0000000017, 645, 1.00, 0.35
6, 0.0000578560, 0.0000000000, 85, 1.32, 2.71, 0.0000643420, 0.0000000036, 2, 0.0000270344, 0.0000000012, 592, 1.11, 0.47
7, 0.0000029499, 0.0000000002, 7, 0.17, 1.55, 0.0000029499, 0.0000000002, 4, 0.0000029220, 0.0000000001, 64, 1.00, 0.99
8, 0.0000052923, 0.0000000001, 6, 0.17, 1.55, 0.0000052923, 0.0000000001, 15, 0.0000052334, 0.0000000001, 72, 1.00, 0.99
9, 0.0000026460, 0.0000000000, 2, 0.15, 0.43, 0.0000026460, 0.0000000000, 5, 0.0000026460, 0.0000000000, 5, 1.00, 1.00
10, 0.0003370663, 0.0000009657, 58, 1.58, 2.96, 0.0003769807, 0.0000000441, 11, 0.0001517571, 0.0000000940, 321, 1.12, 0.45
11, 0.0001959316, 0.0000000026, 45, 0.94, 2.32, 0.0001959316, 0.0000000026, 20, 0.0000944534, 0.0000000070, 858, 1.00, 0.48
12, 0.0589834235, 0.0000386841, 70, 2.25, 2.30, 10000000000.0000000000, 0.0000000000, 1, 10000000000.0000000000, 0.0000000000, 1, 169539158743.47, 169539158743.47
13, 0.0000171927, 0.0000004486, 12, 0.22, 1.61, 0.0000171927, 0.0000004486, 36, 0.0000035407, 0.0000000003, 80, 1.00, 0.21
TOP: 50
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-50 time(s), Meta-50 std(s), trials-50, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-50, speedup-10k
0, 0.0000486741, 0.0000000551, 41, 0.78, 3.54, 0.0000486741, 0.0000000551, 37, 0.0000321362, 0.0000006014, 660, 1.00, 0.66
1, 0.0000031197, 0.0000000001, 6, 0.18, 1.67, 0.0000031197, 0.0000000001, 27, 0.0000031197, 0.0000000001, 27, 1.00, 1.00
2, 0.0000880635, 0.0000007241, 67, 1.73, 4.49, 0.0001122747, 0.0000000099, 12, 0.0000496284, 0.0000000021, 594, 1.27, 0.56
3, 0.0000054610, 0.0000004830, 7, 0.18, 0.23, 10000000000.0000000000, 0.0000000000, 1, 10000000000.0000000000, 0.0000000000, 1, 1831166453030580.50, 1831166453030580.50
4, 0.0000438749, 0.0000000032, 34, 0.79, 3.55, 0.0000438749, 0.0000000032, 41, 0.0000293001, 0.0000000025, 698, 1.00, 0.67
5, 0.0000500050, 0.0000008701, 98, 1.68, 4.44, 0.0000552108, 0.0000000650, 36, 0.0000320400, 0.0000000017, 645, 1.10, 0.64
6, 0.0000470638, 0.0000000042, 66, 0.85, 3.61, 0.0000470638, 0.0000000042, 49, 0.0000270344, 0.0000000012, 592, 1.00, 0.57
7, 0.0000029493, 0.0000000003, 6, 0.17, 2.93, 0.0000029493, 0.0000000003, 31, 0.0000029220, 0.0000000001, 64, 1.00, 0.99
8, 0.0000052923, 0.0000000001, 6, 0.17, 2.93, 0.0000052923, 0.0000000001, 15, 0.0000052334, 0.0000000001, 72, 1.00, 0.99
9, 0.0000026460, 0.0000000000, 2, 0.15, 0.43, 0.0000026460, 0.0000000000, 5, 0.0000026460, 0.0000000000, 5, 1.00, 1.00
10, 0.0002874025, 0.0000002411, 88, 2.18, 4.95, 0.0003703161, 0.0000000250, 29, 0.0001517571, 0.0000000940, 321, 1.29, 0.53
11, 0.0001605972, 0.0000002416, 57, 1.23, 4.00, 0.0001959316, 0.0000000026, 20, 0.0000944534, 0.0000000070, 858, 1.22, 0.59
12, 0.0013119142, 0.0000002414, 94, 2.61, 2.66, 10000000000.0000000000, 0.0000000000, 1, 10000000000.0000000000, 0.0000000000, 1, 7622449893508.02, 7622449893508.02
13, 0.0000171927, 0.0000004486, 12, 0.21, 2.98, 0.0000171927, 0.0000004486, 36, 0.0000035407, 0.0000000003, 80, 1.00, 0.21
TOP: 100
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-100 time(s), Meta-100 std(s), trials-100, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-100, speedup-10k
0, 0.0000386510, 0.0000003624, 54, 0.86, 6.39, 0.0000386510, 0.0000003624, 53, 0.0000321362, 0.0000006014, 660, 1.00, 0.83
1, 0.0000031197, 0.0000000001, 6, 0.18, 1.67, 0.0000031197, 0.0000000001, 27, 0.0000031197, 0.0000000001, 27, 1.00, 1.00
2, 0.0000851623, 0.0000002416, 68, 1.81, 7.34, 0.0001122747, 0.0000000099, 12, 0.0000496284, 0.0000000021, 594, 1.32, 0.58
3, 0.0000047785, 0.0000002411, 7, 0.19, 0.25, 10000000000.0000000000, 0.0000000000, 1, 10000000000.0000000000, 0.0000000000, 1, 2092706916396359.00, 2092706916396359.00
4, 0.0000409832, 0.0000000013, 34, 0.93, 6.45, 0.0000409832, 0.0000000013, 100, 0.0000293001, 0.0000000025, 698, 1.00, 0.71
5, 0.0000469333, 0.0000004827, 76, 1.68, 7.21, 0.0000525941, 0.0000000002, 68, 0.0000320400, 0.0000000017, 645, 1.12, 0.68
6, 0.0000347941, 0.0000000005, 34, 0.99, 6.51, 0.0000347941, 0.0000000005, 72, 0.0000270344, 0.0000000012, 592, 1.00, 0.78
7, 0.0000029220, 0.0000000001, 6, 0.17, 3.71, 0.0000029220, 0.0000000001, 64, 0.0000029220, 0.0000000001, 64, 1.00, 1.00
8, 0.0000052334, 0.0000000001, 6, 0.18, 4.16, 0.0000052334, 0.0000000001, 72, 0.0000052334, 0.0000000001, 72, 1.00, 1.00
9, 0.0000026460, 0.0000000000, 2, 0.16, 0.43, 0.0000026460, 0.0000000000, 5, 0.0000026460, 0.0000000000, 5, 1.00, 1.00
10, 0.0001982878, 0.0000000072, 46, 1.13, 6.66, 0.0001982878, 0.0000000072, 89, 0.0001517571, 0.0000000940, 321, 1.00, 0.77
11, 0.0001005223, 0.0000002416, 90, 1.90, 7.43, 0.0001321551, 0.0000000070, 92, 0.0000944534, 0.0000000070, 858, 1.31, 0.94
12, 0.0590093648, 0.0000197553, 70, 1.99, 2.05, 10000000000.0000000000, 0.0000000000, 1, 10000000000.0000000000, 0.0000000000, 1, 169464626983.26, 169464626983.26
13, 0.0000035407, 0.0000000003, 12, 0.19, 4.62, 0.0000035407, 0.0000000003, 80, 0.0000035407, 0.0000000003, 80, 1.00, 1.00
TOP: 200
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-200 time(s), Meta-200 std(s), trials-200, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-200, speedup-10k
0, 0.0000386510, 0.0000003624, 54, 0.85, 11.90, 0.0000386510, 0.0000003624, 53, 0.0000321362, 0.0000006014, 660, 1.00, 0.83
1, 0.0000031197, 0.0000000001, 6, 0.17, 1.66, 0.0000031197, 0.0000000001, 27, 0.0000031197, 0.0000000001, 27, 1.00, 1.00
2, 0.0000969383, 0.0000002416, 70, 1.73, 12.78, 0.0001122747, 0.0000000099, 12, 0.0000496284, 0.0000000021, 594, 1.16, 0.51
3, 0.0000054612, 0.0000002416, 7, 0.18, 0.23, 10000000000.0000000000, 0.0000000000, 1, 10000000000.0000000000, 0.0000000000, 1, 1831110568559831.50, 1831110568559831.50
4, 0.0000409832, 0.0000000013, 35, 0.90, 11.95, 0.0000409832, 0.0000000013, 100, 0.0000293001, 0.0000000025, 698, 1.00, 0.71
5, 0.0000476160, 0.0000000000, 78, 1.69, 12.74, 0.0000525941, 0.0000000002, 68, 0.0000320400, 0.0000000017, 645, 1.10, 0.67
6, 0.0000347941, 0.0000000005, 35, 0.93, 11.98, 0.0000347941, 0.0000000005, 72, 0.0000270344, 0.0000000012, 592, 1.00, 0.78
7, 0.0000029220, 0.0000000001, 6, 0.17, 3.71, 0.0000029220, 0.0000000001, 64, 0.0000029220, 0.0000000001, 64, 1.00, 1.00
8, 0.0000052334, 0.0000000001, 6, 0.17, 4.15, 0.0000052334, 0.0000000001, 72, 0.0000052334, 0.0000000001, 72, 1.00, 1.00
9, 0.0000026460, 0.0000000000, 2, 0.15, 0.43, 0.0000026460, 0.0000000000, 5, 0.0000026460, 0.0000000000, 5, 1.00, 1.00
10, 0.0001459197, 0.0000004178, 64, 1.76, 12.82, 0.0001521613, 0.0000002075, 195, 0.0001517571, 0.0000000940, 321, 1.04, 1.04
11, 0.0001077723, 0.0000038400, 46, 0.94, 12.00, 0.0001077723, 0.0000038400, 129, 0.0000944534, 0.0000000070, 858, 1.00, 0.88
12, 0.0597181443, 0.0009903924, 81, 2.30, 2.36, 10000000000.0000000000, 0.0000000000, 1, 10000000000.0000000000, 0.0000000000, 1, 167453294331.82, 167453294331.82
13, 0.0000035407, 0.0000000003, 12, 0.19, 4.62, 0.0000035407, 0.0000000003, 80, 0.0000035407, 0.0000000003, 80, 1.00, 1.00
TOP: 300
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-300 time(s), Meta-300 std(s), trials-300, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-300, speedup-10k
0, 0.0000386510, 0.0000003624, 54, 0.89, 17.47, 0.0000386510, 0.0000003624, 53, 0.0000321362, 0.0000006014, 660, 1.00, 0.83
1, 0.0000031197, 0.0000000001, 6, 0.17, 1.66, 0.0000031197, 0.0000000001, 27, 0.0000031197, 0.0000000001, 27, 1.00, 1.00
2, 0.0001122747, 0.0000000099, 49, 0.95, 17.54, 0.0001122747, 0.0000000099, 12, 0.0000496284, 0.0000000021, 594, 1.00, 0.44
3, 0.0000054612, 0.0000002416, 7, 0.18, 0.23, 10000000000.0000000000, 0.0000000000, 1, 10000000000.0000000000, 0.0000000000, 1, 1831110568559831.50, 1831110568559831.50
4, 0.0000409832, 0.0000000013, 36, 0.93, 17.51, 0.0000409832, 0.0000000013, 100, 0.0000293001, 0.0000000025, 698, 1.00, 0.71
5, 0.0000479573, 0.0000004827, 67, 1.60, 18.18, 0.0000525941, 0.0000000002, 68, 0.0000320400, 0.0000000017, 645, 1.10, 0.67
