BENCH: googlenet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
23, 0.0000360554, 0.0000000525, 50, 0.58, 2.07, 0.0000360554, 0.0000000525, 80, 0.0000360554, 0.0000000525, 80, 1.00, 1.00
24, 0.0000411204, 0.0000000134, 16, 0.66, 2.97, 0.0000411204, 0.0000000134, 124, 0.0000411204, 0.0000000134, 124, 1.00, 1.00
25, 0.0002672439, 0.0000002019, 17, 0.62, 4.35, 0.0002672439, 0.0000002019, 151, 0.0002475495, 0.0000066715, 296, 1.00, 0.93
26, 0.0000212502, 0.0000005315, 11, 0.16, 1.09, 0.0000250105, 0.0000057513, 50, 0.0000250105, 0.0000057513, 50, 1.18, 1.18
27, 0.0000550475, 0.0000002695, 99, 1.30, 3.55, 0.0000577861, 0.0000000725, 121, 0.0000577861, 0.0000000725, 121, 1.05, 1.05
28, 0.0000306288, 0.0000008758, 100, 1.14, 1.59, 0.0000337015, 0.0000005161, 24, 0.0000337015, 0.0000005161, 24, 1.10, 1.10
29, 0.0000334216, 0.0000004422, 50, 0.65, 1.15, 0.0000334216, 0.0000004422, 27, 0.0000334216, 0.0000004422, 27, 1.00, 1.00
30, 0.0000552240, 0.0000003728, 98, 1.11, 2.60, 0.0000564597, 0.0000000765, 80, 0.0000564597, 0.0000000765, 80, 1.02, 1.02
31, 0.0001633105, 0.0000004942, 95, 1.44, 4.53, 0.0001638699, 0.0000001600, 166, 0.0001638699, 0.0000001600, 166, 1.00, 1.00
32, 0.0000520207, 0.0000013093, 32, 0.64, 1.61, 0.0000557057, 0.0000000605, 52, 0.0000557057, 0.0000000605, 52, 1.07, 1.07
33, 0.0001073748, 0.0000002001, 100, 1.38, 3.65, 0.0001275653, 0.0000013395, 122, 0.0001275653, 0.0000013395, 122, 1.19, 1.19
34, 0.0000736392, 0.0000000664, 50, 0.59, 2.36, 0.0000736392, 0.0000000664, 95, 0.0000736392, 0.0000000664, 95, 1.00, 1.00
35, 0.0000803962, 0.0000005901, 97, 1.66, 3.72, 0.0000937145, 0.0000000578, 111, 0.0000937145, 0.0000000578, 111, 1.17, 1.17
36, 0.0004286427, 0.0000007899, 99, 2.03, 5.75, 0.0004352393, 0.0000004048, 193, 0.0004344647, 0.0000008404, 324, 1.02, 1.01
37, 0.0000265049, 0.0000000448, 11, 0.23, 0.94, 0.0000265049, 0.0000000448, 38, 0.0000265049, 0.0000000448, 38, 1.00, 1.00
38, 0.0000513692, 0.0000004588, 100, 1.32, 3.42, 0.0000524889, 0.0000000300, 113, 0.0000524889, 0.0000000300, 113, 1.02, 1.02
39, 0.0000341005, 0.0000002395, 98, 1.16, 2.14, 0.0000399092, 0.0000001634, 53, 0.0000399092, 0.0000001634, 53, 1.17, 1.17
40, 0.0000589340, 0.0000003703, 97, 1.40, 1.90, 0.0000614221, 0.0000000611, 27, 0.0000614221, 0.0000000611, 27, 1.04, 1.04
41, 0.0000816262, 0.0000004962, 100, 1.30, 2.54, 0.0000836029, 0.0000000705, 67, 0.0000836029, 0.0000000705, 67, 1.02, 1.02
42, 0.0004756478, 0.0000030852, 50, 0.84, 4.57, 0.0004756478, 0.0000030852, 146, 0.0002143805, 0.0000005657, 442, 1.00, 0.45
43, 0.0001762407, 0.0000008259, 87, 2.39, 6.12, 0.0002580713, 0.0000000119, 194, 0.0002072822, 0.0000002658, 302, 1.46, 1.18
44, 0.0000205952, 0.0000009025, 16, 0.39, 0.69, 0.0000206166, 0.0000000109, 16, 0.0000206166, 0.0000000109, 16, 1.00, 1.00
45, 0.0000151590, 0.0000000189, 11, 0.14, 0.20, 0.0000151590, 0.0000000189, 3, 0.0000151590, 0.0000000189, 3, 1.00, 1.00
46, 0.0000464757, 0.0000003394, 97, 1.21, 2.33, 0.0000574556, 0.0000001693, 60, 0.0000574556, 0.0000001693, 60, 1.24, 1.24
47, 0.0000139144, 0.0000000074, 11, 0.21, 0.25, 0.0000139144, 0.0000000074, 2, 0.0000139144, 0.0000000074, 2, 1.00, 1.00
48, 0.0012926198, 0.0000031947, 49, 1.73, 5.45, 0.0013247849, 0.0000006850, 193, 0.0009692326, 0.0000012629, 671, 1.02, 0.75
49, 0.0000218101, 0.0000000950, 16, 0.23, 0.64, 0.0000218101, 0.0000000950, 22, 0.0000218101, 0.0000000950, 22, 1.00, 1.00
50, 0.0000633073, 0.0000003019, 100, 1.40, 3.19, 0.0000724427, 0.0000000277, 96, 0.0000724427, 0.0000000277, 96, 1.14, 1.14
51, 0.0001948493, 0.0000004594, 95, 1.24, 4.96, 0.0001954361, 0.0000001964, 139, 0.0001879841, 0.0000000813, 340, 1.00, 0.96
52, 0.0000188683, 0.0000000843, 14, 0.33, 1.50, 0.0000188683, 0.0000000843, 63, 0.0000188683, 0.0000000843, 63, 1.00, 1.00
53, 0.0001175117, 0.0000006992, 100, 1.34, 4.84, 0.0001229392, 0.0000000571, 188, 0.0001229392, 0.0000000571, 188, 1.05, 1.05
54, 0.0001198550, 0.0000015015, 100, 1.34, 3.80, 0.0001267504, 0.0000020888, 132, 0.0001267504, 0.0000020888, 132, 1.06, 1.06
55, 0.0001308488, 0.0000002021, 50, 0.56, 4.28, 0.0001308488, 0.0000002021, 137, 0.0001121873, 0.0000004047, 233, 1.00, 0.86
56, 0.0000757627, 0.0000005050, 87, 1.48, 4.91, 0.0000875255, 0.0000003116, 184, 0.0000875255, 0.0000003116, 184, 1.16, 1.16
57, 0.0002438102, 0.0000006383, 99, 1.41, 2.82, 0.0002454014, 0.0000005182, 76, 0.0002454014, 0.0000005182, 76, 1.01, 1.01
58, 0.0000116427, 0.0000000348, 11, 0.15, 0.97, 0.0000116427, 0.0000000348, 44, 0.0000116427, 0.0000000348, 44, 1.00, 1.00
59, 0.0000922430, 0.0000006304, 100, 1.19, 3.17, 0.0000934570, 0.0000000077, 106, 0.0000934570, 0.0000000077, 106, 1.01, 1.01
60, 0.0000895530, 0.0000003811, 100, 1.37, 4.87, 0.0000992586, 0.0000001658, 188, 0.0000992586, 0.0000001658, 188, 1.11, 1.11
61, 0.0000106461, 0.0000000192, 15, 0.17, 0.32, 0.0000106461, 0.0000000192, 8, 0.0000106461, 0.0000000192, 8, 1.00, 1.00
62, 0.0000012283, 0.0000002208, 11, 0.12, 0.14, 0.0000476715, 0.0000001874, 1, 0.0000476715, 0.0000001874, 1, 38.81, 38.81
63, 0.0000423130, 0.0000121497, 49, 0.67, 1.47, 0.0000423130, 0.0000121497, 43, 0.0000423130, 0.0000121497, 43, 1.00, 1.00
64, 0.0000227635, 0.0000007032, 55, 0.61, 1.69, 0.0000233113, 0.0000000409, 58, 0.0000233113, 0.0000000409, 58, 1.02, 1.02
TOP: 300
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-300 time(s), Meta-300 std(s), trials-300, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-300, speedup-10k
0, 0.0000389938, 0.0000004691, 99, 1.06, 1.13, 0.0000390949, 0.0000005498, 4, 0.0000390949, 0.0000005498, 4, 1.00, 1.00
1, 0.0000624445, 0.0000005299, 48, 0.70, 0.93, 0.0000624445, 0.0000005299, 12, 0.0000624445, 0.0000005299, 12, 1.00, 1.00
2, 0.0000768327, 0.0000001370, 100, 1.35, 2.65, 0.0000779184, 0.0000001362, 70, 0.0000779184, 0.0000001362, 70, 1.01, 1.01
3, 0.0001510287, 0.0000005962, 99, 1.63, 6.87, 0.0001513464, 0.0000001139, 281, 0.0001513464, 0.0000001139, 281, 1.00, 1.00
4, 0.0000140036, 0.0000000111, 11, 0.15, 0.86, 0.0000140036, 0.0000000111, 38, 0.0000140036, 0.0000000111, 38, 1.00, 1.00
5, 0.0000601640, 0.0000002051, 99, 1.11, 2.39, 0.0000606544, 0.0000000196, 69, 0.0000606544, 0.0000000196, 69, 1.01, 1.01
6, 0.0000350922, 0.0000005621, 100, 1.17, 1.84, 0.0000352304, 0.0000000445, 36, 0.0000352304, 0.0000000445, 36, 1.00, 1.00
7, 0.0000352405, 0.0000007169, 97, 1.50, 1.93, 0.0000438245, 0.0000000520, 23, 0.0000438245, 0.0000000520, 23, 1.24, 1.24
8, 0.0000592075, 0.0000005042, 100, 1.16, 2.43, 0.0000616674, 0.0000000597, 68, 0.0000616674, 0.0000000597, 68, 1.04, 1.04
9, 0.0001093700, 0.0000001934, 89, 1.30, 2.64, 0.0001200632, 0.0000021351, 72, 0.0001200632, 0.0000021351, 72, 1.10, 1.10
10, 0.0000211638, 0.0000009819, 14, 0.33, 1.50, 0.0000216552, 0.0000000592, 63, 0.0000216552, 0.0000000592, 63, 1.02, 1.02
11, 0.0000995998, 0.0000004442, 100, 1.42, 3.04, 0.0001187872, 0.0000064109, 87, 0.0001187872, 0.0000064109, 87, 1.19, 1.19
12, 0.0000507840, 0.0000010339, 100, 1.27, 1.98, 0.0000538165, 0.0000000418, 38, 0.0000538165, 0.0000000418, 38, 1.06, 1.06
13, 0.0000560196, 0.0000001371, 50, 0.74, 2.66, 0.0000560196, 0.0000001371, 103, 0.0000560196, 0.0000001371, 103, 1.00, 1.00
14, 0.0000994227, 0.0000009943, 94, 1.46, 3.11, 0.0001114071, 0.0000001967, 89, 0.0001114071, 0.0000001967, 89, 1.12, 1.12
15, 0.0003713620, 0.0000010895, 94, 1.89, 7.47, 0.0003749612, 0.0000007760, 231, 0.0003111460, 0.0000002036, 365, 1.01, 0.84
16, 0.0000610489, 0.0000000615, 49, 0.66, 0.86, 0.0000610489, 0.0000000615, 11, 0.0000610489, 0.0000000615, 11, 1.00, 1.00
17, 0.0000405422, 0.0000009870, 96, 1.51, 3.65, 0.0000461678, 0.0000000193, 115, 0.0000461678, 0.0000000193, 115, 1.14, 1.14
18, 0.0000842180, 0.0000006981, 91, 1.59, 3.91, 0.0000911369, 0.0000000349, 125, 0.0000911369, 0.0000000349, 125, 1.08, 1.08
