BENCH: alexnet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
0, 0.0000070950, 0.0000003447, 10, 0.023, 0.047, 0.0000070950, 0.0000003447, 1, 0.0000070950, 0.0000003447, 1, 0.024, 1.00, 1.00
1, 0.0062813392, 0.0000070990, 96, 0.659, 0.684, 0.0066238399, 0.0000420582, 1, 0.0005054778, 0.0000015024, 389, 9.486, 1.05, 0.08
2, 0.0000339410, 0.0000003542, 23, 0.057, 0.082, 0.0000350198, 0.0000023214, 1, 0.0000054541, 0.0000000170, 3, 0.073, 1.03, 0.16
3, 0.0029132950, 0.0000361504, 100, 0.427, 0.451, 0.0067725390, 0.0000096926, 1, 0.0016824018, 0.0000020666, 1494, 36.431, 2.32, 0.58
4, 0.0000244501, 0.0000000792, 18, 0.046, 0.071, 0.0000244501, 0.0000000792, 1, 0.0000047938, 0.0000000082, 13, 0.317, 1.00, 0.20
5, 0.0027078812, 0.0000404618, 100, 0.724, 0.749, 0.0035850413, 0.0000049537, 1, 0.0008110403, 0.0000021019, 642, 15.655, 1.32, 0.30
6, 0.0022581450, 0.0000154363, 58, 0.450, 0.474, 0.0046666024, 0.0000111055, 1, 0.0011727186, 0.0000015651, 1048, 25.555, 2.07, 0.52
7, 0.0027863632, 0.0000162165, 100, 0.497, 0.522, 0.0050055064, 0.0000057337, 1, 0.0007714263, 0.0000011495, 597, 14.558, 1.80, 0.28
8, 0.0000039975, 0.0000000531, 32, 0.121, 0.145, 0.0000072099, 0.0000000194, 1, 0.0000036077, 0.0000000061, 25, 0.610, 1.80, 0.90
9, 0.0000015312, 0.0000000152, 10, 0.026, 0.050, 0.0000035275, 0.0000000016, 1, 0.0000033043, 0.0000000018, 25, 0.610, 2.30, 2.16
10, 0.0000035283, 0.0000000200, 10, 0.023, 0.047, 0.0000067770, 0.0000000032, 1, 0.0000067770, 0.0000000032, 1, 0.024, 1.92, 1.92
11, 0.0048900912, 0.0001186139, 18, 0.183, 0.207, 0.0048900912, 0.0001186139, 1, 0.0041966158, 0.0000012039, 2630, 64.132, 1.00, 0.86
12, 0.0022006723, 0.0001492061, 18, 0.103, 0.127, 0.0022006723, 0.0001492061, 1, 0.0015660976, 0.0000005426, 1051, 25.629, 1.00, 0.71
13, 0.0001377315, 0.0000004787, 84, 0.302, 0.326, 0.0003092002, 0.0000140434, 1, 0.0000431422, 0.0000001165, 54, 1.317, 2.24, 0.31
14, 0.0000187888, 0.0000018903, 18, 0.035, 0.059, 0.0000187888, 0.0000018903, 1, 0.0000074649, 0.0000000043, 47, 1.146, 1.00, 0.40
TOP: 10
