BENCH: vgg16
TOP: 1
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000680, 0.00000001, 10, 0.02, 0.00000680, 0.00000001, 1, 0.00000680, 0.00000001, 1, 1.00, 1.00
1, 0.00094308, 0.00000247, 74, 0.25, 0.00100320, 0.00000185, 1, 0.00070303, 0.00000063, 104, 1.06, 0.75
2, 0.00069167, 0.00007988, 15, 0.06, 0.00069184, 0.00000040, 1, 0.00024358, 0.00000073, 2, 1.00, 0.35
3, 0.02063923, 0.00003196, 99, 2.73, 0.04207296, 0.00155839, 1, 0.01214060, 0.00000917, 768, 2.04, 0.59
4, 0.00014889, 0.00000024, 23, 0.06, 0.00014889, 0.00000024, 1, 0.00003238, 0.00000002, 8, 1.00, 0.22
5, 0.35853753, 0.00235613, 84, 8.85, 0.38552907, 0.00729092, 1, 0.00623709, 0.00000451, 464, 1.08, 0.02
6, 0.02252882, 0.00000681, 99, 2.41, 0.06008571, 0.00012038, 1, 0.01238074, 0.00000419, 833, 2.67, 0.55
7, 0.00003389, 0.00000050, 80, 0.20, 0.00003698, 0.00000006, 1, 0.00001760, 0.00000005, 28, 1.09, 0.52
8, 0.00001588, 0.00000005, 11, 0.03, 0.00001588, 0.00000005, 1, 0.00000889, 0.00000001, 2, 1.00, 0.56
9, 0.03862698, 0.00002741, 72, 0.76, 0.03868150, 0.00001250, 1, 0.00613623, 0.00000184, 400, 1.00, 0.16
10, 0.00007149, 0.00000026, 11, 0.03, 0.00007415, 0.00000016, 1, 0.00006805, 0.00000006, 2, 1.04, 0.95
11, 0.03994544, 0.00004029, 81, 2.11, 0.10189010, 0.00014282, 1, 0.01238309, 0.00001230, 1409, 2.55, 0.31
12, 0.00004480, 0.00000031, 77, 0.30, 0.00005057, 0.00000009, 1, 0.00000796, 0.00000000, 49, 1.13, 0.18
13, 0.00001877, 0.00000005, 10, 0.03, 0.00001877, 0.00000005, 1, 0.00001877, 0.00000005, 1, 1.00, 1.00
14, 0.02267979, 0.00008685, 100, 1.29, 0.03664819, 0.00213521, 1, 0.00623398, 0.00000170, 449, 1.62, 0.27
15, 0.00003400, 0.00000006, 10, 0.02, 0.00003526, 0.00000111, 1, 0.00003526, 0.00000111, 1, 1.04, 1.04
16, 0.00003543, 0.00000002, 10, 0.02, 0.00003543, 0.00000002, 1, 0.00003543, 0.00000002, 1, 1.00, 1.00
17, 0.02026958, 0.00003816, 72, 0.71, 0.02034106, 0.00004631, 1, 0.01231063, 0.00000150, 868, 1.00, 0.61
18, 0.00002036, 0.00000003, 43, 0.12, 0.00002036, 0.00000003, 1, 0.00000532, 0.00000001, 27, 1.00, 0.26
19, 0.00001221, 0.00000004, 11, 0.03, 0.00001221, 0.00000004, 1, 0.00001185, 0.00000004, 2, 1.00, 0.97
20, 0.02697675, 0.00000140, 88, 1.13, 0.03145988, 0.00003176, 1, 0.00310026, 0.00000354, 704, 1.17, 0.11
21, 0.00001013, 0.00000001, 43, 0.11, 0.00001013, 0.00000001, 1, 0.00000397, 0.00000001, 45, 1.00, 0.39
22, 0.00000247, 0.00000002, 16, 0.03, 0.00000354, 0.00000001, 1, 0.00000349, 0.00000001, 18, 1.43, 1.41
23, 0.00000784, 0.00000001, 10, 0.02, 0.00000784, 0.00000001, 1, 0.00000784, 0.00000001, 1, 1.00, 1.00
24, 0.01305246, 0.00001462, 1, 0.85, 0.01305246, 0.00001462, 1, 0.01143665, 0.00000256, 934, 1.00, 0.88
25, 0.00210427, 0.00000222, 1, 0.17, 0.00210427, 0.00000222, 1, 0.00157072, 0.00000299, 98, 1.00, 0.75
26, 0.00008365, 0.00000016, 1, 0.09, 0.00008365, 0.00000016, 1, 0.00004745, 0.00000008, 48, 1.00, 0.57
27, 0.00055978, 0.00000077, 46, 0.08, 0.00055978, 0.00000077, 1, 0.00000754, 0.00000001, 35, 1.00, 0.01
TOP: 10
TOP: 50
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000680, 0.00000001, 10, 0.02, 0.00000680, 0.00000001, 1, 0.00000680, 0.00000001, 1, 1.00, 1.00
1, 0.00078433, 0.00000870, 80, 0.40, 0.00084424, 0.00000117, 27, 0.00070303, 0.00000063, 104, 1.08, 0.90
2, 0.00012717, 0.00000870, 10, 0.04, 0.00024358, 0.00000073, 2, 0.00024358, 0.00000073, 2, 1.92, 1.92
3, 0.01683881, 0.00001067, 100, 1.18, 0.01992995, 0.00041736, 12, 0.01214060, 0.00000917, 768, 1.18, 0.72
4, 0.00003108, 0.00000050, 25, 0.08, 0.00003238, 0.00000002, 8, 0.00003238, 0.00000002, 8, 1.04, 1.04
5, 0.00834962, 0.00000875, 74, 0.51, 0.00838103, 0.00000845, 42, 0.00623709, 0.00000451, 464, 1.00, 0.75
6, 0.01705360, 0.00003062, 72, 1.81, 0.01706376, 0.00001956, 19, 0.01238074, 0.00000419, 833, 1.00, 0.73
7, 0.00001760, 0.00000005, 16, 0.05, 0.00001760, 0.00000005, 28, 0.00001760, 0.00000005, 28, 1.00, 1.00
8, 0.00000889, 0.00000001, 10, 0.02, 0.00000889, 0.00000001, 2, 0.00000889, 0.00000001, 2, 1.00, 1.00
9, 0.00841570, 0.00002396, 71, 1.47, 0.00867725, 0.00000469, 35, 0.00613623, 0.00000184, 400, 1.03, 0.73
10, 0.00006547, 0.00000182, 10, 0.03, 0.00006805, 0.00000006, 2, 0.00006805, 0.00000006, 2, 1.04, 1.04
11, 0.01592051, 0.00005143, 69, 1.18, 0.01595777, 0.00000997, 10, 0.01238309, 0.00001230, 1409, 1.00, 0.78
12, 0.00000796, 0.00000000, 16, 0.04, 0.00000796, 0.00000000, 49, 0.00000796, 0.00000000, 49, 1.00, 1.00
13, 0.00001877, 0.00000005, 10, 0.02, 0.00001877, 0.00000005, 1, 0.00001877, 0.00000005, 1, 1.00, 1.00
14, 0.00874784, 0.00001863, 100, 0.85, 0.00910823, 0.00000068, 3, 0.00623398, 0.00000170, 449, 1.04, 0.71
15, 0.00003458, 0.00000047, 14, 0.04, 0.00003526, 0.00000111, 1, 0.00003526, 0.00000111, 1, 1.02, 1.02
16, 0.00003543, 0.00000002, 10, 0.02, 0.00003543, 0.00000002, 1, 0.00003543, 0.00000002, 1, 1.00, 1.00
17, 0.01634479, 0.00000929, 100, 1.65, 0.01711276, 0.00001267, 31, 0.01231063, 0.00000150, 868, 1.05, 0.75
18, 0.00000532, 0.00000001, 16, 0.03, 0.00000532, 0.00000001, 27, 0.00000532, 0.00000001, 27, 1.00, 1.00
19, 0.00001185, 0.00000004, 10, 0.02, 0.00001185, 0.00000004, 2, 0.00001185, 0.00000004, 2, 1.00, 1.00
20, 0.00482862, 0.00001052, 99, 1.08, 0.00515414, 0.00000300, 17, 0.00310026, 0.00000354, 704, 1.07, 0.64
21, 0.00000397, 0.00000001, 24, 0.07, 0.00000397, 0.00000001, 45, 0.00000397, 0.00000001, 45, 1.00, 1.00
22, 0.00000245, 0.00000003, 35, 0.07, 0.00000349, 0.00000001, 18, 0.00000349, 0.00000001, 18, 1.42, 1.42
23, 0.00000784, 0.00000001, 10, 0.02, 0.00000784, 0.00000001, 1, 0.00000784, 0.00000001, 1, 1.00, 1.00
24, 0.01148704, 0.00000497, 1, 0.90, 0.01148704, 0.00000497, 30, 0.01143665, 0.00000256, 934, 1.00, 1.00
25, 0.00185439, 0.00000263, 1, 0.22, 0.00185439, 0.00000263, 39, 0.00157072, 0.00000299, 98, 1.00, 0.85
26, 0.00004745, 0.00000008, 1, 0.08, 0.00004745, 0.00000008, 48, 0.00004745, 0.00000008, 48, 1.00, 1.00
27, 0.00000754, 0.00000001, 35, 0.05, 0.00000754, 0.00000001, 35, 0.00000754, 0.00000001, 35, 1.00, 1.00
TOP: 100
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000680, 0.00000001, 10, 0.02, 0.00000680, 0.00000001, 1, 0.00000680, 0.00000001, 1, 1.00, 1.00
1, 0.00069000, 0.00000502, 87, 0.53, 0.00071968, 0.00000171, 76, 0.00070303, 0.00000063, 104, 1.04, 1.02
2, 0.00011568, 0.00000733, 20, 0.10, 0.00024358, 0.00000073, 2, 0.00024358, 0.00000073, 2, 2.11, 2.11
3, 0.01466088, 0.00000893, 99, 1.76, 0.01479515, 0.00000046, 91, 0.01214060, 0.00000917, 768, 1.01, 0.83
4, 0.00003150, 0.00000041, 24, 0.08, 0.00003238, 0.00000002, 8, 0.00003238, 0.00000002, 8, 1.03, 1.03
5, 0.00754199, 0.00003628, 72, 0.45, 0.00757180, 0.00000074, 75, 0.00623709, 0.00000451, 464, 1.00, 0.83
6, 0.01342491, 0.00001332, 74, 0.92, 0.01343459, 0.00001628, 65, 0.01238074, 0.00000419, 833, 1.00, 0.92
7, 0.00001760, 0.00000005, 16, 0.05, 0.00001760, 0.00000005, 28, 0.00001760, 0.00000005, 28, 1.00, 1.00
8, 0.00000889, 0.00000001, 10, 0.02, 0.00000889, 0.00000001, 2, 0.00000889, 0.00000001, 2, 1.00, 1.00
9, 0.00762106, 0.00000408, 76, 0.84, 0.00780979, 0.00000562, 77, 0.00613623, 0.00000184, 400, 1.02, 0.81
10, 0.00006487, 0.00000064, 10, 0.03, 0.00006805, 0.00000006, 2, 0.00006805, 0.00000006, 2, 1.05, 1.05
11, 0.01394068, 0.00009422, 78, 1.67, 0.01410024, 0.00001644, 64, 0.01238309, 0.00001230, 1409, 1.01, 0.89
12, 0.00000796, 0.00000000, 16, 0.05, 0.00000796, 0.00000000, 49, 0.00000796, 0.00000000, 49, 1.00, 1.00
13, 0.00001877, 0.00000005, 10, 0.02, 0.00001877, 0.00000005, 1, 0.00001877, 0.00000005, 1, 1.00, 1.00
14, 0.00790268, 0.00000474, 100, 0.97, 0.00805634, 0.00000621, 86, 0.00623398, 0.00000170, 449, 1.02, 0.79
15, 0.00003441, 0.00000013, 14, 0.04, 0.00003526, 0.00000111, 1, 0.00003526, 0.00000111, 1, 1.02, 1.02
16, 0.00003487, 0.00000056, 10, 0.03, 0.00003543, 0.00000002, 1, 0.00003543, 0.00000002, 1, 1.02, 1.02
17, 0.01622360, 0.00001105, 40, 0.47, 0.01622360, 0.00001105, 69, 0.01231063, 0.00000150, 868, 1.00, 0.76
18, 0.00000532, 0.00000001, 16, 0.03, 0.00000532, 0.00000001, 27, 0.00000532, 0.00000001, 27, 1.00, 1.00
19, 0.00001185, 0.00000004, 10, 0.02, 0.00001185, 0.00000004, 2, 0.00001185, 0.00000004, 2, 1.00, 1.00
20, 0.00387800, 0.00001600, 99, 0.58, 0.00402431, 0.00000487, 90, 0.00310026, 0.00000354, 704, 1.04, 0.80
21, 0.00000397, 0.00000001, 24, 0.07, 0.00000397, 0.00000001, 45, 0.00000397, 0.00000001, 45, 1.00, 1.00
22, 0.00000248, 0.00000003, 24, 0.06, 0.00000349, 0.00000001, 18, 0.00000349, 0.00000001, 18, 1.41, 1.41
23, 0.00000784, 0.00000001, 10, 0.02, 0.00000784, 0.00000001, 1, 0.00000784, 0.00000001, 1, 1.00, 1.00
24, 0.01147026, 0.00000292, 1, 0.78, 0.01147026, 0.00000292, 85, 0.01143665, 0.00000256, 934, 1.00, 1.00
25, 0.00157072, 0.00000299, 1, 0.20, 0.00157072, 0.00000299, 98, 0.00157072, 0.00000299, 98, 1.00, 1.00
26, 0.00004745, 0.00000008, 1, 0.08, 0.00004745, 0.00000008, 48, 0.00004745, 0.00000008, 48, 1.00, 1.00
27, 0.00000754, 0.00000001, 35, 0.05, 0.00000754, 0.00000001, 35, 0.00000754, 0.00000001, 35, 1.00, 1.00
TOP: 200
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000680, 0.00000001, 10, 0.02, 0.00000680, 0.00000001, 1, 0.00000680, 0.00000001, 1, 1.00, 1.00
1, 0.00065847, 0.00000843, 76, 0.24, 0.00070303, 0.00000063, 104, 0.00070303, 0.00000063, 104, 1.07, 1.07
2, 0.00010687, 0.00000872, 14, 0.06, 0.00024358, 0.00000073, 2, 0.00024358, 0.00000073, 2, 2.28, 2.28
3, 0.01416649, 0.00001641, 40, 0.95, 0.01416649, 0.00001641, 194, 0.01214060, 0.00000917, 768, 1.00, 0.86
4, 0.00003137, 0.00000089, 24, 0.08, 0.00003238, 0.00000002, 8, 0.00003238, 0.00000002, 8, 1.03, 1.03
5, 0.00670489, 0.00000562, 40, 0.38, 0.00670489, 0.00000562, 133, 0.00623709, 0.00000451, 464, 1.00, 0.93
6, 0.01258034, 0.00002434, 100, 0.94, 0.01291921, 0.00001652, 193, 0.01238074, 0.00000419, 833, 1.03, 0.98
7, 0.00001760, 0.00000005, 16, 0.05, 0.00001760, 0.00000005, 28, 0.00001760, 0.00000005, 28, 1.00, 1.00
8, 0.00000889, 0.00000001, 10, 0.02, 0.00000889, 0.00000001, 2, 0.00000889, 0.00000001, 2, 1.00, 1.00
9, 0.00747215, 0.00001048, 68, 1.17, 0.00759028, 0.00000426, 130, 0.00613623, 0.00000184, 400, 1.02, 0.82
10, 0.00006458, 0.00000037, 10, 0.03, 0.00006805, 0.00000006, 2, 0.00006805, 0.00000006, 2, 1.05, 1.05
11, 0.01298189, 0.00001254, 40, 0.51, 0.01298189, 0.00001254, 136, 0.01238309, 0.00001230, 1409, 1.00, 0.95
12, 0.00000796, 0.00000000, 16, 0.04, 0.00000796, 0.00000000, 49, 0.00000796, 0.00000000, 49, 1.00, 1.00
13, 0.00001877, 0.00000005, 10, 0.02, 0.00001877, 0.00000005, 1, 0.00001877, 0.00000005, 1, 1.00, 1.00
14, 0.00703047, 0.00000840, 86, 1.06, 0.00705077, 0.00000605, 195, 0.00623398, 0.00000170, 449, 1.00, 0.89
15, 0.00003466, 0.00000028, 10, 0.02, 0.00003526, 0.00000111, 1, 0.00003526, 0.00000111, 1, 1.02, 1.02
16, 0.00003543, 0.00000002, 10, 0.02, 0.00003543, 0.00000002, 1, 0.00003543, 0.00000002, 1, 1.00, 1.00
17, 0.01608761, 0.00002703, 40, 0.36, 0.01608761, 0.00002703, 130, 0.01231063, 0.00000150, 868, 1.00, 0.77
18, 0.00000532, 0.00000001, 16, 0.03, 0.00000532, 0.00000001, 27, 0.00000532, 0.00000001, 27, 1.00, 1.00
19, 0.00001185, 0.00000004, 10, 0.02, 0.00001185, 0.00000004, 2, 0.00001185, 0.00000004, 2, 1.00, 1.00
20, 0.00320161, 0.00000920, 72, 0.33, 0.00324032, 0.00000402, 194, 0.00310026, 0.00000354, 704, 1.01, 0.97
