BENCH: alexnet
TOP: 1
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000678, 0.00000001, 10, 0.02, 0.00000678, 0.00000001, 1, 0.00000678, 0.00000001, 1, 1.00, 1.00
1, 0.00070061, 0.00000680, 100, 0.75, 0.00074202, 0.00000109, 111, 0.00074202, 0.00000109, 111, 1.06, 1.06
2, 0.00008545, 0.00000571, 14, 0.06, 0.00014861, 0.00000018, 2, 0.00014861, 0.00000018, 2, 1.74, 1.74
3, 0.01218366, 0.00001030, 82, 2.50, 0.01225479, 0.00001961, 708, 0.01222441, 0.00003078, 1026, 1.01, 1.00
4, 0.00003131, 0.00000074, 25, 0.08, 0.00003215, 0.00000002, 27, 0.00003215, 0.00000002, 27, 1.03, 1.03
5, 0.00666646, 0.00001453, 100, 0.83, 0.00674377, 0.00000290, 115, 0.00674377, 0.00000290, 115, 1.01, 1.01
6, 0.01425855, 0.00001484, 97, 1.65, 0.01441590, 0.00001432, 711, 0.01339986, 0.00000362, 1350, 1.01, 0.94
7, 0.00001676, 0.00000008, 16, 0.05, 0.00001676, 0.00000008, 18, 0.00001676, 0.00000008, 18, 1.00, 1.00
8, 0.00000846, 0.00000000, 10, 0.02, 0.00000846, 0.00000000, 2, 0.00000846, 0.00000000, 2, 1.00, 1.00
9, 0.00688400, 0.00000628, 71, 0.67, 0.00693513, 0.00000138, 698, 0.00693513, 0.00000138, 698, 1.01, 1.01
10, 0.00006482, 0.00000021, 10, 0.03, 0.00006751, 0.00000013, 2, 0.00006751, 0.00000013, 2, 1.04, 1.04
11, 0.01399630, 0.00000720, 81, 1.06, 0.01408430, 0.00000475, 901, 0.01339213, 0.00000273, 1359, 1.01, 0.96
12, 0.00000818, 0.00000013, 16, 0.04, 0.00000818, 0.00000013, 17, 0.00000818, 0.00000013, 17, 1.00, 1.00
13, 0.00001877, 0.00000000, 10, 0.02, 0.00001877, 0.00000000, 2, 0.00001877, 0.00000000, 2, 1.00, 1.00
14, 0.00700857, 0.00000283, 100, 0.77, 0.00704128, 0.00000238, 673, 0.00704128, 0.00000238, 673, 1.00, 1.00
15, 0.00003424, 0.00000037, 10, 0.02, 0.00003454, 0.00000004, 1, 0.00003454, 0.00000004, 1, 1.01, 1.01
16, 0.01401102, 0.00001790, 74, 0.83, 0.01407927, 0.00000574, 920, 0.01332228, 0.00001239, 1314, 1.00, 0.95
17, 0.00000531, 0.00000001, 16, 0.03, 0.00000531, 0.00000001, 40, 0.00000531, 0.00000001, 40, 1.00, 1.00
18, 0.00001187, 0.00000001, 10, 0.02, 0.00001187, 0.00000001, 2, 0.00001187, 0.00000001, 2, 1.00, 1.00
19, 0.00338911, 0.00000892, 77, 0.39, 0.00341606, 0.00000167, 669, 0.00341606, 0.00000167, 669, 1.01, 1.01
20, 0.00000374, 0.00000001, 24, 0.07, 0.00000374, 0.00000001, 5, 0.00000374, 0.00000001, 5, 1.00, 1.00
21, 0.00000244, 0.00000003, 40, 0.12, 0.00000334, 0.00000001, 17, 0.00000334, 0.00000001, 17, 1.37, 1.37
22, 0.00000750, 0.00000002, 10, 0.03, 0.00000750, 0.00000002, 1, 0.00000750, 0.00000002, 1, 1.00, 1.00
23, 0.01142182, 0.00000368, 1, 0.74, 0.01142182, 0.00000368, 815, 0.01142182, 0.00000368, 815, 1.00, 1.00
24, 0.00157382, 0.00000016, 1, 0.20, 0.00157382, 0.00000016, 168, 0.00157382, 0.00000016, 168, 1.00, 1.00
25, 0.00005016, 0.00000002, 1, 0.08, 0.00005016, 0.00000002, 19, 0.00005016, 0.00000002, 19, 1.00, 1.00
26, 0.00000777, 0.00000002, 37, 0.05, 0.00000777, 0.00000002, 13, 0.00000777, 0.00000002, 13, 1.00, 1.00
BENCH: vgg16
TOP: 1
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000680, 0.00000001, 10, 0.02, 0.00000680, 0.00000001, 1, 0.00000680, 0.00000001, 1, 1.00, 1.00
1, 0.00093918, 0.00000699, 100, 0.36, 0.00100320, 0.00000185, 1, 0.00070303, 0.00000063, 104, 1.07, 0.75
2, 0.00062300, 0.00005110, 19, 0.08, 0.00069184, 0.00000040, 1, 0.00024358, 0.00000073, 2, 1.11, 0.39
3, 0.02094037, 0.00008757, 71, 1.90, 0.04207296, 0.00155839, 1, 0.01214060, 0.00000917, 768, 2.01, 0.58
4, 0.00014889, 0.00000024, 23, 0.05, 0.00014889, 0.00000024, 1, 0.00003238, 0.00000002, 8, 1.00, 0.22
5, 0.35507264, 0.00647256, 78, 9.11, 0.38552907, 0.00729092, 1, 0.00623709, 0.00000451, 464, 1.09, 0.02
6, 0.02245533, 0.00001411, 100, 3.31, 0.06008571, 0.00012038, 1, 0.01238074, 0.00000419, 833, 2.68, 0.55
7, 0.00002990, 0.00000048, 99, 0.26, 0.00003698, 0.00000006, 1, 0.00001760, 0.00000005, 28, 1.24, 0.59
8, 0.00001588, 0.00000005, 11, 0.03, 0.00001588, 0.00000005, 1, 0.00000889, 0.00000001, 2, 1.00, 0.56
9, 0.03855598, 0.00008213, 72, 0.85, 0.03868150, 0.00001250, 1, 0.00613623, 0.00000184, 400, 1.00, 0.16
10, 0.00007146, 0.00000048, 11, 0.03, 0.00007415, 0.00000016, 1, 0.00006805, 0.00000006, 2, 1.04, 0.95
11, 0.04008240, 0.00008008, 83, 2.18, 0.10189010, 0.00014282, 1, 0.01238309, 0.00001230, 1409, 2.54, 0.31
12, 0.00003727, 0.00000090, 74, 0.30, 0.00005057, 0.00000009, 1, 0.00000796, 0.00000000, 49, 1.36, 0.21
