BENCH: alexnet
TOP: 1
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000678, 0.00000001, 10, 0.02, 0.00000678, 0.00000001, 1, 0.00000678, 0.00000001, 1, 1.00, 1.00
1, 0.00085518, 0.00001083, 84, 0.33, 0.00089942, 0.00000163, 39, 0.00074202, 0.00000109, 111, 1.05, 0.87
2, 0.00008819, 0.00000975, 14, 0.06, 0.00014861, 0.00000018, 2, 0.00014861, 0.00000018, 2, 1.69, 1.69
3, 0.01550346, 0.00002235, 95, 1.43, 0.01704041, 0.00001025, 1, 0.01222441, 0.00003078, 1026, 1.10, 0.79
4, 0.00003087, 0.00000078, 27, 0.09, 0.00003215, 0.00000002, 27, 0.00003215, 0.00000002, 27, 1.04, 1.04
5, 0.00938096, 0.00001330, 77, 1.68, 0.00949128, 0.00000968, 19, 0.00674377, 0.00000290, 115, 1.01, 0.72
6, 0.01746897, 0.00002201, 75, 1.28, 0.01756873, 0.00010740, 19, 0.01339986, 0.00000362, 1350, 1.01, 0.77
7, 0.00001676, 0.00000008, 16, 0.05, 0.00001676, 0.00000008, 18, 0.00001676, 0.00000008, 18, 1.00, 1.00
8, 0.00000846, 0.00000000, 10, 0.02, 0.00000846, 0.00000000, 2, 0.00000846, 0.00000000, 2, 1.00, 1.00
9, 0.00968940, 0.00000602, 100, 0.81, 0.01001922, 0.00000427, 18, 0.00693513, 0.00000138, 698, 1.03, 0.72
10, 0.00006432, 0.00000051, 17, 0.06, 0.00006751, 0.00000013, 2, 0.00006751, 0.00000013, 2, 1.05, 1.05
11, 0.01715811, 0.00002300, 100, 1.07, 0.01735926, 0.00000730, 11, 0.01339213, 0.00000273, 1359, 1.01, 0.78
12, 0.00000818, 0.00000013, 16, 0.04, 0.00000818, 0.00000013, 17, 0.00000818, 0.00000013, 17, 1.00, 1.00
13, 0.00001877, 0.00000000, 10, 0.02, 0.00001877, 0.00000000, 2, 0.00001877, 0.00000000, 2, 1.00, 1.00
14, 0.00802742, 0.00005849, 72, 0.71, 0.00812999, 0.00001818, 32, 0.00704128, 0.00000238, 673, 1.01, 0.88
15, 0.00003444, 0.00000039, 14, 0.04, 0.00003454, 0.00000004, 1, 0.00003454, 0.00000004, 1, 1.00, 1.00
16, 0.01764129, 0.00000659, 79, 1.13, 0.01938702, 0.00056144, 21, 0.01332228, 0.00001239, 1314, 1.10, 0.76
17, 0.00000531, 0.00000001, 16, 0.04, 0.00000531, 0.00000001, 40, 0.00000531, 0.00000001, 40, 1.00, 1.00
18, 0.00001187, 0.00000001, 10, 0.02, 0.00001187, 0.00000001, 2, 0.00001187, 0.00000001, 2, 1.00, 1.00
19, 0.00421004, 0.00003455, 100, 0.54, 0.00548563, 0.00000289, 36, 0.00341606, 0.00000167, 669, 1.30, 0.81
20, 0.00000374, 0.00000001, 24, 0.07, 0.00000374, 0.00000001, 5, 0.00000374, 0.00000001, 5, 1.00, 1.00
21, 0.00000245, 0.00000004, 50, 0.15, 0.00000334, 0.00000001, 17, 0.00000334, 0.00000001, 17, 1.36, 1.36
22, 0.00000750, 0.00000002, 10, 0.02, 0.00000750, 0.00000002, 1, 0.00000750, 0.00000002, 1, 1.00, 1.00
23, 0.01155365, 0.00000535, 1, 0.86, 0.01155365, 0.00000535, 13, 0.01142182, 0.00000368, 815, 1.00, 0.99
24, 0.00184791, 0.00000085, 1, 0.22, 0.00184791, 0.00000085, 12, 0.00157382, 0.00000016, 168, 1.00, 0.85
25, 0.00005016, 0.00000002, 1, 0.08, 0.00005016, 0.00000002, 19, 0.00005016, 0.00000002, 19, 1.00, 1.00
26, 0.00000777, 0.00000002, 37, 0.05, 0.00000777, 0.00000002, 13, 0.00000777, 0.00000002, 13, 1.00, 1.00
TOP: 100
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000678, 0.00000001, 10, 0.02, 0.00000678, 0.00000001, 1, 0.00000678, 0.00000001, 1, 1.00, 1.00
1, 0.00077591, 0.00000487, 100, 0.72, 0.00081747, 0.00000181, 100, 0.00074202, 0.00000109, 111, 1.05, 0.96
2, 0.00010557, 0.00002519, 14, 0.06, 0.00014861, 0.00000018, 2, 0.00014861, 0.00000018, 2, 1.41, 1.41
3, 0.01433176, 0.00005624, 74, 0.84, 0.01451083, 0.00000219, 86, 0.01222441, 0.00003078, 1026, 1.01, 0.85
4, 0.00003176, 0.00000107, 34, 0.11, 0.00003215, 0.00000002, 27, 0.00003215, 0.00000002, 27, 1.01, 1.01
5, 0.00747982, 0.00003422, 74, 1.35, 0.00759532, 0.00000947, 76, 0.00674377, 0.00000290, 115, 1.02, 0.90
6, 0.01745264, 0.00001546, 78, 0.95, 0.01756873, 0.00010740, 19, 0.01339986, 0.00000362, 1350, 1.01, 0.77
7, 0.00001676, 0.00000008, 16, 0.05, 0.00001676, 0.00000008, 18, 0.00001676, 0.00000008, 18, 1.00, 1.00
8, 0.00000846, 0.00000000, 10, 0.02, 0.00000846, 0.00000000, 2, 0.00000846, 0.00000000, 2, 1.00, 1.00
9, 0.00748909, 0.00001173, 72, 0.55, 0.00764334, 0.00001243, 73, 0.00693513, 0.00000138, 698, 1.02, 0.93
10, 0.00006465, 0.00000027, 10, 0.03, 0.00006751, 0.00000013, 2, 0.00006751, 0.00000013, 2, 1.04, 1.04
