BENCH: densenet121
TOP: 300
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-300 time(s), Meta-300 std(s), trials-300, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-300, speedup-10k
0, 0.0000776102, 0.0000001555, 50, 0.57, 1.32, 0.0000776102, 0.0000001555, 52, 0.0000776102, 0.0000001555, 52, 1.00, 1.00
1, 0.0001149027, 0.0000001143, 99, 1.14, 1.51, 0.0001157527, 0.0000000899, 26, 0.0001157527, 0.0000000899, 26, 1.01, 1.01
2, 0.0001118031, 0.0000003096, 50, 0.54, 1.01, 0.0001118031, 0.0000003096, 33, 0.0001118031, 0.0000003096, 33, 1.00, 1.00
3, 0.0000737692, 0.0000003355, 100, 1.22, 1.25, 0.0000774148, 0.0000002297, 2, 0.0000774148, 0.0000002297, 2, 1.05, 1.05
4, 0.0000562373, 0.0000000640, 99, 1.28, 1.40, 0.0000988113, 0.0000002293, 8, 0.0000988113, 0.0000002293, 8, 1.76, 1.76
5, 0.0000797560, 0.0000003634, 97, 1.21, 2.04, 0.0000803750, 0.0000001176, 57, 0.0000803750, 0.0000001176, 57, 1.01, 1.01
6, 0.0000997928, 0.0000008286, 99, 1.19, 1.94, 0.0000997974, 0.0000017241, 52, 0.0000997974, 0.0000017241, 52, 1.00, 1.00
7, 0.0000847262, 0.0000000784, 50, 0.61, 1.45, 0.0000847262, 0.0000000784, 58, 0.0000847262, 0.0000000784, 58, 1.00, 1.00
8, 0.0000566873, 0.0000005078, 100, 1.31, 1.43, 0.0000613661, 0.0000001146, 8, 0.0000613661, 0.0000001146, 8, 1.08, 1.08
9, 0.0000947147, 0.0000002559, 98, 1.36, 1.54, 0.0001126830, 0.0000006447, 12, 0.0001126830, 0.0000006447, 12, 1.19, 1.19
10, 0.0000778573, 0.0000000331, 50, 0.66, 1.15, 0.0000778573, 0.0000000331, 34, 0.0000778573, 0.0000000331, 34, 1.00, 1.00
11, 0.0000779840, 0.0000000871, 50, 0.59, 1.16, 0.0000779840, 0.0000000871, 39, 0.0000779840, 0.0000000871, 39, 1.00, 1.00
12, 0.0000422705, 0.0000006551, 100, 1.17, 1.89, 0.0000714122, 0.0000000711, 50, 0.0000714122, 0.0000000711, 50, 1.69, 1.69
13, 0.0000748993, 0.0000000516, 50, 0.63, 1.15, 0.0000748993, 0.0000000516, 36, 0.0000748993, 0.0000000516, 36, 1.00, 1.00
