BENCH: alexnet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
19, 0.0028598490, 0.0000024102, 98, 2.34, 2.38, 0.0092044235, 0.0000019617, 1, 0.0002726487, 0.0000001831, 580, 3.22, 0.10
20, 0.0000129602, 0.0000006403, 11, 0.13, 0.17, 0.0000243210, 0.0000002776, 1, 0.0000101582, 0.0000000423, 4, 1.88, 0.78
21, 0.0051605783, 0.0000020771, 95, 2.39, 2.43, 0.0464533137, 0.0030515314, 1, 0.0002557951, 0.0000004536, 1025, 9.00, 0.05
22, 0.0000117442, 0.0000000032, 11, 0.13, 0.17, 0.0000117442, 0.0000000032, 1, 0.0000098437, 0.0000000243, 2, 1.00, 0.84
23, 0.0002317787, 0.0000008229, 97, 2.05, 2.09, 0.0002504843, 0.0000004544, 1, 0.0001418498, 0.0000001882, 323, 1.08, 0.61
24, 0.0032904123, 0.0000020367, 96, 3.31, 3.35, 0.0278642518, 0.0007208939, 1, 0.0002749489, 0.0000003750, 449, 8.47, 0.08
25, 0.0000131300, 0.0000009381, 11, 0.13, 0.17, 0.0000230874, 0.0000001468, 1, 0.0000110339, 0.0000000132, 3, 1.76, 0.84
26, 0.0036517818, 0.0000247007, 95, 2.69, 2.73, 0.0095547612, 0.0000093319, 1, 0.0002801498, 0.0000007041, 385, 2.62, 0.08
27, 0.0000104775, 0.0000000211, 30, 0.40, 0.45, 0.0000104775, 0.0000000211, 1, 0.0000094594, 0.0000000049, 52, 1.00, 0.90
28, 0.0000011300, 0.0000002128, 11, 0.17, 0.21, 0.0000208777, 0.0000000600, 1, 0.0000208777, 0.0000000600, 1, 18.48, 18.48
29, 0.0000455938, 0.0000010732, 69, 1.34, 1.38, 0.0000753138, 0.0000003835, 1, 0.0000185393, 0.0000000136, 11, 1.65, 0.41
30, 0.0000282770, 0.0000011159, 39, 0.45, 0.49, 0.0000290387, 0.0000000110, 1, 0.0000235190, 0.0000001284, 53, 1.03, 0.83
TOP: 10
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-10 time(s), Meta-10 std(s), trials-10, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-10, speedup-10k
0, 0.0000587755, 0.0000003679, 100, 1.18, 1.58, 0.0001958432, 0.0000120053, 3, 0.0000546699, 0.0000001060, 143, 3.33, 0.93
1, 0.0000226935, 0.0000007097, 11, 0.14, 0.22, 0.0000236384, 0.0000002053, 2, 0.0000236384, 0.0000002053, 2, 1.04, 1.04
2, 0.0000978428, 0.0000000729, 12, 0.49, 0.89, 0.0000978428, 0.0000000729, 5, 0.0000455743, 0.0000000472, 94, 1.00, 0.47
3, 0.0000141082, 0.0000001332, 11, 0.15, 0.27, 0.0000141082, 0.0000001332, 3, 0.0000141082, 0.0000001332, 3, 1.00, 1.00
4, 0.0000591823, 0.0000037583, 100, 1.29, 1.70, 0.0000797478, 0.0000003328, 7, 0.0000316923, 0.0000000373, 85, 1.35, 0.54
5, 0.0000154935, 0.0000005360, 11, 0.14, 0.18, 0.0000301035, 0.0000000842, 1, 0.0000301035, 0.0000000842, 1, 1.94, 1.94
6, 0.0012126692, 0.0000037293, 96, 2.39, 2.80, 0.0021669069, 0.0000006381, 9, 0.0002042228, 0.0000002152, 645, 1.79, 0.17
7, 0.0000346887, 0.0000003713, 34, 0.78, 1.18, 0.0000355989, 0.0000000322, 10, 0.0000195375, 0.0000000067, 28, 1.03, 0.56
8, 0.0010179148, 0.0000008456, 86, 1.92, 2.33, 0.0012606578, 0.0000032671, 5, 0.0002179982, 0.0000004541, 902, 1.24, 0.21
9, 0.0000226052, 0.0000004200, 11, 0.14, 0.18, 0.0000687889, 0.0000019545, 1, 0.0000687889, 0.0000019545, 1, 3.04, 3.04
10, 0.0012524967, 0.0000060401, 86, 1.95, 2.35, 0.0019217125, 0.0000148463, 1, 0.0002145986, 0.0000001080, 833, 1.53, 0.17
11, 0.0004788575, 0.0000006210, 90, 1.66, 2.06, 0.0007201813, 0.0000007867, 9, 0.0001953302, 0.0000004341, 402, 1.50, 0.41
12, 0.0000133952, 0.0000010076, 11, 0.13, 0.21, 0.0000135990, 0.0000000172, 2, 0.0000135990, 0.0000000172, 2, 1.02, 1.02
13, 0.0021312995, 0.0000027799, 89, 1.71, 2.11, 0.0021419688, 0.0000027446, 10, 0.0002100534, 0.0000001183, 468, 1.01, 0.10
14, 0.0000133083, 0.0000000127, 11, 0.13, 0.21, 0.0000133083, 0.0000000127, 2, 0.0000133083, 0.0000000127, 2, 1.00, 1.00
15, 0.0015712185, 0.0000022873, 98, 1.96, 2.36, 0.0037106301, 0.0000000890, 2, 0.0002135138, 0.0000001050, 874, 2.36, 0.14
16, 0.0000128984, 0.0000000065, 11, 0.14, 0.26, 0.0000128984, 0.0000000065, 3, 0.0000128984, 0.0000000065, 3, 1.00, 1.00
17, 0.0009540245, 0.0000009054, 10, 0.78, 1.19, 0.0009540245, 0.0000009054, 3, 0.0001947782, 0.0000001242, 450, 1.00, 0.20
18, 0.0000130139, 0.0000000259, 11, 0.14, 0.30, 0.0000130139, 0.0000000259, 4, 0.0000130139, 0.0000000259, 4, 1.00, 1.00
19, 0.0008056428, 0.0000010465, 96, 1.90, 2.31, 0.0010339668, 0.0000003628, 9, 0.0002726487, 0.0000001831, 580, 1.28, 0.34
20, 0.0000101582, 0.0000000423, 11, 0.13, 0.29, 0.0000101582, 0.0000000423, 4, 0.0000101582, 0.0000000423, 4, 1.00, 1.00
21, 0.0016539985, 0.0000026882, 94, 1.94, 2.34, 0.0032887940, 0.0000187155, 2, 0.0002557951, 0.0000004536, 1025, 1.99, 0.15
22, 0.0000098437, 0.0000000243, 10, 0.12, 0.20, 0.0000098437, 0.0000000243, 2, 0.0000098437, 0.0000000243, 2, 1.00, 1.00
23, 0.0001971467, 0.0000009398, 94, 2.16, 2.56, 0.0002504843, 0.0000004544, 1, 0.0001418498, 0.0000001882, 323, 1.27, 0.72
24, 0.0016299712, 0.0000035012, 47, 1.47, 1.87, 0.0021180156, 0.0000324358, 5, 0.0002749489, 0.0000003750, 449, 1.30, 0.17
25, 0.0000110339, 0.0000000132, 11, 0.13, 0.25, 0.0000110339, 0.0000000132, 3, 0.0000110339, 0.0000000132, 3, 1.00, 1.00
26, 0.0037206320, 0.0000015284, 91, 2.72, 3.13, 0.0043873228, 0.0000037397, 5, 0.0002801498, 0.0000007041, 385, 1.18, 0.08
27, 0.0000095811, 0.0000000357, 24, 0.38, 0.79, 0.0000095811, 0.0000000357, 3, 0.0000094594, 0.0000000049, 52, 1.00, 0.99
28, 0.0000011067, 0.0000001828, 11, 0.16, 0.20, 0.0000208777, 0.0000000600, 1, 0.0000208777, 0.0000000600, 1, 18.87, 18.87
