BENCH: densenet201
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
0, 0.0002181677, 0.0000004135, 63, 1.53, 1.54, 0.0010856039, 0.0003054005, 1, 0.0001524546, 0.0000001360, 30, 4.98, 0.70
1, 0.0003210223, 0.0000006008, 100, 1.48, 1.49, 0.0007431677, 0.0002622801, 1, 0.0001430836, 0.0000004773, 32, 2.32, 0.45
2, 0.0003098822, 0.0000014898, 100, 1.35, 1.36, 0.0023174765, 0.0003761715, 1, 0.0001619337, 0.0000004406, 23, 7.48, 0.52
3, 0.0001584620, 0.0000003344, 93, 1.35, 1.36, 0.0003134919, 0.0000063880, 1, 0.0001404985, 0.0000001543, 13, 1.98, 0.89
4, 0.0006508080, 0.0000008451, 100, 1.47, 1.48, 0.0048992170, 0.0000025910, 1, 0.0001579556, 0.0000003172, 44, 7.53, 0.24
5, 0.0011699017, 0.0000024363, 99, 1.34, 1.34, 0.0022854785, 0.0000005365, 1, 0.0001817848, 0.0000074631, 21, 1.95, 0.16
6, 0.0001466518, 0.0000003465, 100, 1.36, 1.37, 0.0002914010, 0.0000001860, 1, 0.0001206120, 0.0000001759, 28, 1.99, 0.82
7, 0.0001805655, 0.0000001907, 90, 1.37, 1.38, 0.0003572950, 0.0000005245, 1, 0.0001263768, 0.0000000109, 21, 1.98, 0.70
8, 0.0001569487, 0.0000009702, 66, 1.43, 1.44, 0.0009651219, 0.0000004720, 1, 0.0001460183, 0.0000003918, 16, 6.15, 0.93
9, 0.0002720465, 0.0000034898, 97, 1.57, 1.58, 0.0006037675, 0.0000002071, 1, 0.0001274277, 0.0000003155, 9, 2.22, 0.47
10, 0.0032408030, 0.0000037767, 96, 1.54, 1.55, 0.0037072484, 0.0000006674, 1, 0.0001147655, 0.0000000799, 60, 1.14, 0.04
11, 0.0001426800, 0.0000031149, 100, 1.48, 1.49, 0.0005828764, 0.0000008413, 1, 0.0001642451, 0.0000006741, 24, 4.09, 1.15
12, 0.0001401615, 0.0000003769, 99, 1.29, 1.30, 0.0001754746, 0.0000000195, 1, 0.0001550703, 0.0000003563, 34, 1.25, 1.11
13, 0.0001582652, 0.0000003267, 100, 1.33, 1.34, 0.0002661408, 0.0000000767, 1, 0.0001384362, 0.0000005561, 54, 1.68, 0.87
14, 0.0021922585, 0.0000155391, 100, 1.42, 1.43, 0.0299371248, 0.0000741872, 1, 0.0001431403, 0.0000003163, 30, 13.66, 0.07
15, 0.0008096583, 0.0000002345, 63, 1.41, 1.42, 0.0013177521, 0.0000001587, 2, 0.0001116605, 0.0000051538, 23, 1.63, 0.14
16, 0.0002965255, 0.0000017351, 92, 1.43, 1.44, 0.0014539622, 0.0000002890, 1, 0.0001999873, 0.0000052352, 58, 4.90, 0.67
17, 0.0001151532, 0.0000002277, 100, 1.33, 1.34, 0.0002568841, 0.0000009682, 1, 0.0001141573, 0.0000001707, 61, 2.23, 0.99
18, 0.0001805005, 0.0000007278, 98, 1.46, 1.47, 0.0006730714, 0.0000016905, 1, 0.0001078656, 0.0000001567, 57, 3.73, 0.60
19, 0.0003118403, 0.0000010320, 54, 1.21, 1.22, 0.0020934960, 0.0000010314, 1, 0.0001279575, 0.0000000718, 24, 6.71, 0.41
20, 0.0001321417, 0.0000003739, 100, 1.54, 1.55, 0.0006880549, 0.0003477789, 1, 0.0001404641, 0.0000002167, 46, 5.21, 1.06
21, 0.0002086925, 0.0000004185, 96, 1.48, 1.49, 0.0002697176, 0.0000010241, 1, 0.0001011585, 0.0000000298, 59, 1.29, 0.48
22, 0.0001281132, 0.0000005311, 100, 1.35, 1.36, 0.0002715201, 0.0000024834, 1, 0.0001728204, 0.0000002492, 36, 2.12, 1.35
23, 0.0006248343, 0.0000003967, 98, 1.46, 1.47, 0.0035009989, 0.0006864765, 1, 0.0001115860, 0.0000001220, 19, 5.60, 0.18
24, 0.0001194278, 0.0000004348, 100, 1.47, 1.48, 0.0011009863, 0.0000004800, 1, 0.0000967273, 0.0000000302, 41, 9.22, 0.81
25, 0.0003233720, 0.0000016394, 91, 1.43, 1.44, 0.0012747661, 0.0000062223, 1, 0.0001353649, 0.0000001613, 5, 3.94, 0.42
