BENCH: googlenet
TOP: 50
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-50 time(s), Meta-50 std(s), trials-50, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-50, speedup-10k
38, 0.0000108670, 0.0000000015, 56, 0.95, 2.24, 0.0000108670, 0.0000000015, 32, 0.0000068297, 0.0000000036, 249, 1.00, 0.63
39, 0.0000064895, 0.0000000006, 61, 0.97, 2.26, 0.0000064895, 0.0000000006, 9, 0.0000055650, 0.0000000018, 62, 1.00, 0.86
40, 0.0000130707, 0.0000000014, 64, 0.91, 2.19, 0.0000130707, 0.0000000014, 32, 0.0000120376, 0.0000000007, 60, 1.00, 0.92
41, 0.0000139947, 0.0000002414, 81, 1.26, 2.55, 0.0000146639, 0.0000000042, 14, 0.0000103235, 0.0000000011, 159, 1.05, 0.74
42, 0.0000309885, 0.0000000180, 31, 0.87, 2.16, 0.0000309885, 0.0000000180, 22, 0.0000224198, 0.0000000014, 233, 1.00, 0.72
43, 0.0000028748, 0.0000000000, 2, 0.15, 0.36, 0.0000028748, 0.0000000000, 8, 0.0000028748, 0.0000000000, 8, 1.00, 1.00
44, 0.0000418128, 0.0000004827, 96, 1.37, 2.65, 0.0000640388, 0.0000018557, 23, 0.0000224230, 0.0000000191, 592, 1.53, 0.54
45, 0.0000041132, 0.0000000052, 2, 0.15, 1.26, 0.0000041132, 0.0000000052, 43, 0.0000041132, 0.0000000052, 43, 1.00, 1.00
46, 0.0000068993, 0.0000000009, 52, 0.95, 1.06, 0.0000068993, 0.0000000009, 4, 0.0000068993, 0.0000000009, 4, 1.00, 1.00
47, 0.0000508582, 0.0000006386, 79, 1.42, 2.71, 0.0000569276, 0.0000000138, 4, 0.0000348678, 0.0000000283, 680, 1.12, 0.69
48, 0.0000040454, 0.0000000004, 2, 0.15, 1.44, 0.0000040454, 0.0000000004, 30, 0.0000038455, 0.0000000006, 101, 1.00, 0.95
49, 0.0000109168, 0.0000000027, 54, 0.96, 1.86, 0.0000109168, 0.0000000027, 35, 0.0000109168, 0.0000000027, 35, 1.00, 1.00
50, 0.0000031142, 0.0000000015, 2, 0.15, 0.46, 0.0000031142, 0.0000000015, 12, 0.0000031142, 0.0000000015, 12, 1.00, 1.00
51, 0.0000179200, 0.0000004180, 63, 1.50, 2.79, 0.0000206383, 0.0000000016, 5, 0.0000127340, 0.0000000010, 504, 1.15, 0.71
52, 0.0000036585, 0.0000001438, 2, 0.15, 0.20, 0.0000036585, 0.0000001438, 2, 0.0000036585, 0.0000001438, 2, 1.00, 1.00
