BENCH: alexnet
SIZE: 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
8, 0.00008539, 16.53, 41.61, 22, 0.00021038, 25.07, 25, 0.00011142, 577.71, 576, 2.46, 1.30, 0.60, 13.89
9, 0.00012473, 16.78, 41.86, 22, 0.00025521, 25.07, 25, 0.00023705, 64.19, 64, 2.05, 1.90, 0.60, 1.53
10, 0.00004367, 26.36, 51.44, 40, 0.00007543, 25.07, 25, 0.00007196, 64.19, 64, 1.73, 1.65, 0.49, 1.25
11, 0.00002516, 86.82, 111.89, 11, 0.00002516, 25.07, 25, 0.00002313, 64.19, 64, 1.00, 0.92, 0.22, 0.57
12, 0.00126825, 15.89, 40.97, 20, 0.00241354, 25.07, 25, 0.00095556, 1219.61, 1216, 1.90, 0.75, 0.61, 29.77
13, 0.00010629, 14.37, 39.44, 22, 0.00020209, 25.07, 25, 0.00020209, 64.19, 64, 1.90, 1.90, 0.64, 1.63
14, 0.00028244, 4.84, 29.92, 10, 0.00049943, 25.07, 25, 0.00036293, 128.38, 128, 1.77, 1.28, 0.84, 4.29
15, 0.00000321, 0.79, 25.86, 2, 0.00000321, 25.07, 25, 0.00000313, 64.19, 64, 1.00, 0.97, 0.97, 2.48
16, 0.00008034, 17.54, 42.62, 22, 0.00018147, 25.07, 25, 0.00017694, 64.19, 64, 2.26, 2.20, 0.59, 1.51
17, 0.00024276, 7.24, 32.31, 13, 0.00047071, 25.07, 25, 0.00038635, 128.38, 128, 1.94, 1.59, 0.78, 3.97
18, 0.00006269, 15.78, 40.86, 22, 0.00011517, 25.07, 25, 0.00011517, 64.19, 64, 1.84, 1.84, 0.61, 1.57
19, 0.00027279, 12.17, 37.24, 20, 0.00045881, 25.07, 25, 0.00036766, 898.66, 896, 1.68, 1.35, 0.67, 24.13
20, 0.00007869, 20.57, 45.64, 26, 0.00016487, 25.07, 25, 0.00015538, 64.19, 64, 2.10, 1.97, 0.55, 1.41
21, 0.00022743, 26.15, 51.23, 32, 0.00041796, 25.07, 25, 0.00033759, 128.38, 128, 1.84, 1.48, 0.49, 2.51
22, 0.00005232, 26.42, 51.50, 32, 0.00013021, 25.07, 25, 0.00011337, 64.19, 64, 2.49, 2.17, 0.49, 1.25
23, 0.00087346, 25.34, 50.42, 32, 0.00129970, 25.07, 25, 0.00097549, 256.76, 256, 1.49, 1.12, 0.50, 5.09
24, 0.00008053, 15.50, 40.57, 21, 0.00015028, 25.07, 25, 0.00015028, 64.19, 64, 1.87, 1.87, 0.62, 1.58
25, 0.00018816, 29.72, 54.79, 35, 0.00034117, 25.07, 25, 0.00028043, 128.38, 128, 1.81, 1.49, 0.46, 2.34
26, 0.00000451, 0.73, 25.80, 2, 0.00000501, 25.07, 25, 0.00000493, 64.19, 64, 1.11, 1.09, 0.97, 2.49
27, 0.00005729, 26.77, 51.84, 34, 0.00012434, 25.07, 25, 0.00010028, 64.19, 64, 2.17, 1.75, 0.48, 1.24
28, 0.00037638, 40.31, 65.38, 41, 0.00084147, 25.07, 25, 0.00058769, 128.38, 128, 2.24, 1.56, 0.38, 1.96
29, 0.00019610, 32.68, 57.75, 36, 0.00036611, 25.07, 25, 0.00029005, 128.38, 128, 1.87, 1.48, 0.43, 2.22
30, 0.00005166, 24.96, 50.04, 32, 0.00017282, 25.07, 25, 0.00008995, 64.19, 64, 3.35, 1.74, 0.50, 1.28
31, 0.00000737, 20.72, 45.80, 30, 0.00002427, 25.07, 25, 0.00002286, 64.19, 64, 3.29, 3.10, 0.55, 1.40
32, 0.00037937, 17.74, 42.81, 24, 0.00060339, 25.07, 25, 0.00051614, 128.38, 128, 1.59, 1.36, 0.59, 3.00
33, 0.00018797, 33.34, 58.42, 42, 0.00037574, 25.07, 25, 0.00024797, 128.38, 128, 2.00, 1.32, 0.43, 2.20
34, 0.00032338, 5.63, 30.71, 10, 0.00075472, 25.07, 25, 0.00051045, 128.38, 128, 2.33, 1.58, 0.82, 4.18
35, 0.00033496, 53.48, 78.55, 56, 0.00098890, 25.07, 25, 0.00043365, 128.38, 128, 2.95, 1.29, 0.32, 1.63
36, 0.00014397, 23.83, 48.90, 24, 0.00028186, 25.07, 25, 0.00028186, 64.19, 64, 1.96, 1.96, 0.51, 1.31
37, 0.00005006, 6.48, 31.55, 10, 0.00011369, 25.07, 25, 0.00009283, 64.19, 64, 2.27, 1.85, 0.79, 2.03
38, 0.00015091, 5.66, 30.73, 11, 0.00027705, 25.07, 25, 0.00026378, 64.19, 64, 1.84, 1.75, 0.82, 2.09
