BENCH: googlenet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
38, 0.0000130267, 0.0000001298, 66, 0.59, 0.61, 0.0000130267, 0.0000001298, 1, 0.0000068297, 0.0000000036, 249, 1.00, 0.52
39, 0.0000440318, 0.0000004183, 96, 1.00, 1.02, 0.0000966309, 0.0000018023, 1, 0.0000055650, 0.0000000018, 62, 2.19, 0.13
40, 0.0000164506, 0.0000006138, 44, 0.63, 0.66, 0.0000164506, 0.0000006138, 1, 0.0000120376, 0.0000000007, 60, 1.00, 0.73
41, 0.0000779947, 0.0000009654, 81, 1.17, 1.19, 0.0010095981, 0.0000488401, 1, 0.0000103235, 0.0000000011, 159, 12.94, 0.13
42, 0.0000259408, 0.0000002414, 83, 0.94, 0.96, 0.0000522766, 0.0000004488, 1, 0.0000224198, 0.0000000014, 233, 2.02, 0.86
43, 0.0000030361, 0.0000000494, 2, 0.09, 0.12, 0.0000030361, 0.0000000494, 1, 0.0000028748, 0.0000000000, 8, 1.00, 0.95
44, 0.0001829545, 0.0000006384, 84, 1.09, 1.11, 0.0003468431, 0.0000028432, 1, 0.0000224230, 0.0000000191, 592, 1.90, 0.12
45, 0.0001537311, 0.0000022320, 7, 0.11, 0.14, 0.0001537311, 0.0000022320, 3, 0.0000041132, 0.0000000052, 43, 1.00, 0.03
46, 0.0003700052, 0.0000012066, 93, 0.97, 1.00, 0.0005987864, 0.0000244152, 1, 0.0000068993, 0.0000000009, 4, 1.62, 0.02
47, 0.0000701438, 0.0000004180, 61, 1.02, 1.05, 0.0026694271, 0.0001245644, 1, 0.0000348678, 0.0000000283, 680, 38.06, 0.50
48, 0.0001162628, 0.0000028073, 2, 0.09, 0.12, 0.0001162628, 0.0000028073, 1, 0.0000038455, 0.0000000006, 101, 1.00, 0.03
49, 0.0000225346, 0.0000003358, 66, 0.55, 0.57, 0.0000225346, 0.0000003358, 1, 0.0000109168, 0.0000000027, 35, 1.00, 0.48
50, 0.0000074548, 0.0000000926, 2, 0.09, 0.12, 0.0000074548, 0.0000000926, 1, 0.0000031142, 0.0000000015, 12, 1.00, 0.42
51, 0.0000242345, 0.0000006384, 49, 1.04, 1.06, 0.0000557938, 0.0000006801, 1, 0.0000127340, 0.0000000010, 504, 2.30, 0.53
52, 0.0000037750, 0.0000000016, 2, 0.09, 0.12, 0.0000037750, 0.0000000016, 1, 0.0000036585, 0.0000001438, 2, 1.00, 0.97
53, 0.0002072681, 0.0000087363, 6, 0.11, 0.13, 0.0002072681, 0.0000087363, 1, 0.0000035285, 0.0000000007, 95, 1.00, 0.02
54, 0.0000887463, 0.0000002416, 98, 1.02, 1.04, 0.0003448881, 0.0000080553, 1, 0.0000152808, 0.0000000026, 353, 3.89, 0.17
55, 0.0000032187, 0.0000000017, 2, 0.10, 0.13, 0.0000032187, 0.0000000017, 1, 0.0000032187, 0.0000000017, 1, 1.00, 1.00
56, 0.0001187837, 0.0000007243, 99, 1.07, 1.09, 0.0004760752, 0.0000103068, 1, 0.0000129359, 0.0000000005, 365, 4.01, 0.11
57, 0.0000031751, 0.0000000027, 2, 0.09, 0.12, 0.0000031751, 0.0000000027, 1, 0.0000030958, 0.0000000000, 10, 1.00, 0.98
58, 0.0001911462, 0.0000002414, 90, 1.13, 1.16, 0.0003027184, 0.0000128332, 1, 0.0000106796, 0.0000000083, 459, 1.58, 0.06
59, 0.0000052003, 0.0000001202, 2, 0.09, 0.12, 0.0000052003, 0.0000001202, 1, 0.0000030994, 0.0000000014, 9, 1.00, 0.60
60, 0.0001182715, 0.0000000000, 97, 0.98, 1.00, 0.0001264783, 0.0000047109, 1, 0.0000104848, 0.0000000008, 568, 1.07, 0.09
61, 0.0000031229, 0.0000000110, 2, 0.11, 0.13, 0.0000031229, 0.0000000110, 1, 0.0000028655, 0.0000000001, 9, 1.00, 0.92
62, 0.0001000361, 0.0000046622, 59, 0.47, 0.49, 0.0001000361, 0.0000046622, 1, 0.0000184067, 0.0000000052, 338, 1.00, 0.18
63, 0.0000034722, 0.0000000934, 2, 0.10, 0.13, 0.0000034722, 0.0000000934, 5, 0.0000031840, 0.0000000027, 6, 1.00, 0.92
64, 0.0000037125, 0.0000001613, 2, 0.09, 0.12, 0.0000037125, 0.0000001613, 1, 0.0000029879, 0.0000000014, 93, 1.00, 0.80
65, 0.0000220158, 0.0000004183, 97, 0.77, 0.79, 0.0000410524, 0.0000011690, 8, 0.0000154885, 0.0000000008, 278, 1.86, 0.70
66, 0.0000031048, 0.0000001377, 2, 0.10, 0.12, 0.0000031048, 0.0000001377, 7, 0.0000029180, 0.0000000019, 10, 1.00, 0.94
67, 0.0002286930, 0.0000004830, 97, 0.92, 0.94, 0.0002856261, 0.0000129912, 65, 0.0000167387, 0.0000000001, 214, 1.25, 0.07
68, 0.0000029298, 0.0000001448, 2, 0.09, 0.12, 0.0000029298, 0.0000001448, 7, 0.0000028248, 0.0000000000, 8, 1.00, 0.96
69, 0.0000062654, 0.0000001555, 2, 0.09, 0.12, 0.0000062654, 0.0000001555, 14, 0.0000034509, 0.0000000005, 35, 1.00, 0.55
70, 0.0000031504, 0.0000000029, 2, 0.09, 0.11, 0.0000031504, 0.0000000029, 1, 0.0000023580, 0.0000000000, 12, 1.00, 0.75
71, 0.0000232107, 0.0000002414, 54, 0.82, 0.84, 0.0000238545, 0.0000001085, 1, 0.0000195670, 0.0000000007, 386, 1.03, 0.84
72, 0.0000415185, 0.0000001761, 2, 0.13, 0.15, 0.0000415185, 0.0000001761, 63, 0.0000035889, 0.0000000000, 84, 1.00, 0.09
TOP: 10
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-10 time(s), Meta-10 std(s), trials-10, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-10, speedup-10k
