BENCH: alexnet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
6, 0.0179956028, 0.0000097606, 98, 2.485, 5.759, 0.0195711040, 0.0001315797, 95, 0.0174059682, 0.0000006654, 618, 20.232, 1.09, 0.97
7, 0.0001719801, 0.0000001901, 10, 0.079, 0.112, 0.0001719801, 0.0000001901, 1, 0.0001719801, 0.0000001901, 1, 0.033, 1.00, 1.00
8, 0.0351831940, 0.0000721664, 100, 6.450, 9.723, 0.0381868263, 0.0001441701, 83, 0.0349032073, 0.0000035902, 451, 14.765, 1.09, 0.99
9, 0.0000211620, 0.0000006496, 15, 0.146, 0.473, 0.0000337091, 0.0000003952, 10, 0.0000337091, 0.0000003952, 10, 0.327, 1.59, 1.59
10, 0.0000445685, 0.0000001018, 10, 0.075, 0.140, 0.0000445685, 0.0000001018, 2, 0.0000445685, 0.0000001018, 2, 0.065, 1.00, 1.00
11, 0.0192805452, 0.0000122152, 100, 2.117, 5.390, 0.0203350984, 0.0000753175, 26, 0.0175102084, 0.0000025736, 788, 25.797, 1.05, 0.91
12, 0.0000856021, 0.0000000826, 10, 0.077, 0.142, 0.0000856021, 0.0000000826, 2, 0.0000856021, 0.0000000826, 2, 0.065, 1.00, 1.00
13, 0.0381389892, 0.0000056843, 100, 1.887, 5.161, 0.0385449893, 0.0001318874, 71, 0.0347967882, 0.0000069069, 1351, 44.228, 1.01, 0.91
14, 0.0000149025, 0.0000001716, 10, 0.077, 0.928, 0.0000175983, 0.0000012747, 26, 0.0000175983, 0.0000012747, 26, 0.851, 1.18, 1.18
15, 0.0000232735, 0.0000002357, 10, 0.077, 0.110, 0.0000238671, 0.0000000467, 1, 0.0000238671, 0.0000000467, 1, 0.033, 1.03, 1.03
16, 0.0097349938, 0.0000512310, 92, 1.228, 4.502, 0.0133248543, 0.0008829861, 79, 0.0088566570, 0.0000016726, 672, 21.999, 1.37, 0.91
17, 0.0000042582, 0.0000000451, 10, 0.078, 1.092, 0.0000042582, 0.0000000451, 31, 0.0000042582, 0.0000000451, 31, 1.015, 1.00, 1.00
18, 0.0000034128, 0.0000000054, 10, 0.082, 1.195, 0.0000034128, 0.0000000054, 34, 0.0000034128, 0.0000000054, 34, 1.113, 1.00, 1.00
19, 0.0000079845, 0.0000001585, 10, 0.076, 0.108, 0.0000080121, 0.0000000036, 1, 0.0000080121, 0.0000000036, 1, 0.033, 1.00, 1.00
20, 0.0262325547, 0.0000046301, 15, 0.453, 3.727, 0.0262325547, 0.0000046301, 87, 0.0261823001, 0.0000045680, 919, 30.086, 1.00, 1.00
21, 0.0039971580, 0.0000051242, 15, 0.144, 3.418, 0.0039971580, 0.0000051242, 47, 0.0039951375, 0.0000048841, 213, 6.973, 1.00, 1.00
22, 0.0006414312, 0.0000002607, 15, 0.098, 1.309, 0.0006414312, 0.0000002607, 37, 0.0006414312, 0.0000002607, 37, 1.211, 1.00, 1.00
23, 0.0000063160, 0.0000000298, 42, 0.332, 0.397, 0.0000073484, 0.0000000118, 2, 0.0000073484, 0.0000000118, 2, 0.065, 1.16, 1.16
TOP: 200
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-200 time(s), Meta-200 std(s), trials-200, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-200, speedup-10k
0, 0.0000151880, 0.0000000050, 10, 0.076, 0.109, 0.0000151880, 0.0000000050, 1, 0.0000151880, 0.0000000050, 1, 0.033, 1.00, 1.00
1, 0.0019692953, 0.0000072114, 100, 0.906, 3.067, 0.0020858081, 0.0000017271, 66, 0.0020858081, 0.0000017271, 66, 2.161, 1.06, 1.06
2, 0.0007645965, 0.0000303146, 19, 0.226, 1.601, 0.0008100146, 0.0000001143, 42, 0.0008100146, 0.0000001143, 42, 1.375, 1.06, 1.06
3, 0.0191305598, 0.0000405579, 31, 0.503, 7.050, 0.0191305598, 0.0000405579, 117, 0.0179632524, 0.0000121662, 953, 31.199, 1.00, 0.94
