BENCH: vgg13
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
0, 0.0000160318, 0.0000005370, 11, 0.14, 0.21, 0.0001121822, 0.0000009593, 1, 0.0000456555, 0.0000202265, 2, 7.00, 2.85
1, 0.0010995543, 0.0000078746, 98, 4.42, 4.49, 0.0382556910, 0.0083417808, 1, 0.0004191233, 0.0000008247, 206, 34.79, 0.38
2, 0.0000912208, 0.0000001372, 11, 0.31, 0.38, 0.0000912208, 0.0000001372, 1, 0.0000912208, 0.0000001372, 1, 1.00, 1.00
3, 0.0468043543, 0.0000214927, 98, 19.31, 19.37, 0.2475295724, 0.0021091790, 1, 0.0021683221, 0.0000050128, 769, 5.29, 0.05
4, 0.0000470622, 0.0000006881, 30, 0.82, 0.88, 0.0001020233, 0.0000001471, 1, 0.0000231667, 0.0000006883, 29, 2.17, 0.49
5, 0.0448614868, 0.0011632210, 64, 5.30, 5.37, 0.1558112821, 0.0045685637, 1, 0.0011673194, 0.0000004795, 386, 3.47, 0.03
6, 0.0165150408, 0.0000027237, 94, 15.14, 15.21, 0.2563287600, 0.0233116029, 1, 0.0022861601, 0.0000079264, 1013, 15.52, 0.14
7, 0.0011815862, 0.0000046789, 25, 0.62, 0.69, 0.0029463934, 0.0000412221, 1, 0.0000177476, 0.0000000044, 42, 2.49, 0.02
8, 0.0000457252, 0.0000000717, 11, 0.16, 0.23, 0.0000457252, 0.0000000717, 1, 0.0000150222, 0.0000000119, 2, 1.00, 0.33
9, 0.0041576857, 0.0000027908, 95, 4.90, 4.96, 0.0581549500, 0.0012716366, 2, 0.0011077176, 0.0000000766, 405, 13.99, 0.27
10, 0.0000222588, 0.0000000013, 11, 0.17, 0.24, 0.0000222588, 0.0000000013, 1, 0.0000222588, 0.0000000013, 1, 1.00, 1.00
11, 0.0786791535, 0.0006919024, 97, 20.80, 20.87, 0.5249443787, 0.0007268593, 1, 0.0028661080, 0.0000067739, 899, 6.67, 0.04
12, 0.0000348385, 0.0000009945, 31, 0.47, 0.53, 0.0000913559, 0.0000269438, 1, 0.0000168371, 0.0000000447, 26, 2.62, 0.48
13, 0.0000163985, 0.0000011857, 11, 0.14, 0.21, 0.0000169807, 0.0000001792, 1, 0.0000148529, 0.0000000092, 2, 1.04, 0.91
14, 0.0262100693, 0.0000013730, 96, 5.75, 5.81, 0.0756439791, 0.0000160043, 1, 0.0014048760, 0.0000034823, 712, 2.89, 0.05
15, 0.0000181861, 0.0000000333, 11, 0.15, 0.22, 0.0000181861, 0.0000000333, 1, 0.0000181861, 0.0000000333, 1, 1.00, 1.00
16, 0.0172361823, 0.0000204511, 99, 18.68, 18.74, 1.4757185792, 0.0036911522, 1, 0.0061063600, 0.0000024805, 2182, 85.62, 0.35
17, 0.0000139209, 0.0000000311, 16, 0.19, 0.26, 0.0000139209, 0.0000000311, 1, 0.0000139209, 0.0000000311, 1, 1.00, 1.00
18, 0.0000152185, 0.0000006339, 11, 0.20, 0.27, 0.0000214226, 0.0000000650, 1, 0.0000123356, 0.0000000998, 3, 1.41, 0.81
19, 0.0208214097, 0.0000360507, 96, 13.92, 13.99, 0.3327034447, 0.0005538693, 1, 0.0012228544, 0.0000034540, 1089, 15.98, 0.06
20, 0.0000241135, 0.0000009063, 33, 0.43, 0.50, 0.0000554840, 0.0000002205, 1, 0.0000096179, 0.0000000357, 58, 2.30, 0.40
21, 0.0000137835, 0.0000002066, 15, 0.31, 0.38, 0.0000236115, 0.0000000138, 1, 0.0000089923, 0.0000000153, 4, 1.71, 0.65
22, 0.0000255385, 0.0000002042, 11, 0.16, 0.22, 0.0000920235, 0.0000002321, 1, 0.0000920235, 0.0000002321, 1, 3.60, 3.60
23, 0.0026299795, 0.0000208403, 85, 25.66, 25.73, 0.0198654873, 0.0000655355, 1, 0.0007390946, 0.0000021845, 349, 7.55, 0.28
24, 0.0005172460, 0.0000005737, 95, 6.58, 6.65, 0.0026170454, 0.0000067892, 1, 0.0001861467, 0.0000001123, 126, 5.06, 0.36
25, 0.0001361430, 0.0000007363, 100, 2.28, 2.35, 0.0005637375, 0.0001749362, 1, 0.0000713949, 0.0000000617, 16, 4.14, 0.52
26, 0.0006347157, 0.0000003101, 56, 1.30, 1.36, 0.0007097794, 0.0000038522, 1, 0.0000250809, 0.0000000328, 64, 1.12, 0.04
TOP: 10
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-10 time(s), Meta-10 std(s), trials-10, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-10, speedup-10k
0, 0.0000152752, 0.0000003407, 11, 0.14, 0.27, 0.0000456555, 0.0000202265, 2, 0.0000456555, 0.0000202265, 2, 2.99, 2.99
1, 0.0010186578, 0.0000009235, 100, 2.86, 3.54, 0.0024095891, 0.0006085592, 7, 0.0004191233, 0.0000008247, 206, 2.37, 0.41
2, 0.0000839692, 0.0000013916, 11, 0.31, 0.38, 0.0000912208, 0.0000001372, 1, 0.0000912208, 0.0000001372, 1, 1.09, 1.09
3, 0.0170416190, 0.0000119637, 59, 6.92, 7.60, 0.0170741109, 0.0000024739, 7, 0.0021683221, 0.0000050128, 769, 1.00, 0.13
4, 0.0000423497, 0.0000000214, 32, 0.73, 1.41, 0.0000423497, 0.0000000214, 5, 0.0000231667, 0.0000006883, 29, 1.00, 0.55
5, 0.0093525530, 0.0000085955, 98, 4.47, 5.15, 0.0112523540, 0.0000007960, 5, 0.0011673194, 0.0000004795, 386, 1.20, 0.12
6, 0.0107564590, 0.0000043869, 97, 7.92, 8.60, 0.0269203739, 0.0000109866, 10, 0.0022861601, 0.0000079264, 1013, 2.50, 0.21
7, 0.0000317502, 0.0000005572, 32, 0.62, 1.30, 0.0000336277, 0.0000000379, 5, 0.0000177476, 0.0000000044, 42, 1.06, 0.56
8, 0.0000150222, 0.0000000119, 11, 0.16, 0.30, 0.0000150222, 0.0000000119, 2, 0.0000150222, 0.0000000119, 2, 1.00, 1.00
9, 0.0084970241, 0.0000022416, 16, 1.41, 2.09, 0.0084970241, 0.0000022416, 3, 0.0011077176, 0.0000000766, 405, 1.00, 0.13
10, 0.0000222588, 0.0000000013, 11, 0.17, 0.24, 0.0000222588, 0.0000000013, 1, 0.0000222588, 0.0000000013, 1, 1.00, 1.00
11, 0.0148574630, 0.0001171314, 100, 7.62, 8.30, 0.0167760957, 0.0000397006, 6, 0.0028661080, 0.0000067739, 899, 1.13, 0.19
12, 0.0000315422, 0.0000008947, 32, 0.42, 1.10, 0.0000315422, 0.0000008947, 7, 0.0000168371, 0.0000000447, 26, 1.00, 0.53
13, 0.0000148529, 0.0000000092, 11, 0.14, 0.27, 0.0000148529, 0.0000000092, 2, 0.0000148529, 0.0000000092, 2, 1.00, 1.00
14, 0.0075390433, 0.0000049444, 96, 5.10, 5.78, 0.0194760763, 0.0000076959, 9, 0.0014048760, 0.0000034823, 712, 2.58, 0.19
15, 0.0000181861, 0.0000000333, 11, 0.15, 0.22, 0.0000181861, 0.0000000333, 1, 0.0000181861, 0.0000000333, 1, 1.00, 1.00
16, 0.0323693043, 0.0000223144, 95, 15.54, 16.22, 0.0637936264, 0.0006299485, 7, 0.0061063600, 0.0000024805, 2182, 1.97, 0.19
17, 0.0000139209, 0.0000000311, 16, 0.20, 0.26, 0.0000139209, 0.0000000311, 1, 0.0000139209, 0.0000000311, 1, 1.00, 1.00
18, 0.0000123356, 0.0000000998, 11, 0.13, 0.34, 0.0000123356, 0.0000000998, 3, 0.0000123356, 0.0000000998, 3, 1.00, 1.00
19, 0.0039487690, 0.0000105858, 92, 3.11, 3.79, 0.0147187041, 0.0032039304, 4, 0.0012228544, 0.0000034540, 1089, 3.73, 0.31
20, 0.0000207072, 0.0000000430, 26, 0.37, 1.05, 0.0000207072, 0.0000000430, 3, 0.0000096179, 0.0000000357, 58, 1.00, 0.46
21, 0.0000089183, 0.0000001430, 15, 0.18, 0.45, 0.0000089923, 0.0000000153, 4, 0.0000089923, 0.0000000153, 4, 1.01, 1.01
22, 0.0000238335, 0.0000005212, 11, 0.17, 0.24, 0.0000920235, 0.0000002321, 1, 0.0000920235, 0.0000002321, 1, 3.86, 3.86
23, 0.0025335445, 0.0000009778, 46, 14.04, 14.72, 0.0025335445, 0.0000009778, 4, 0.0007390946, 0.0000021845, 349, 1.00, 0.29
24, 0.0002017006, 0.0000000149, 50, 3.08, 3.76, 0.0002017006, 0.0000000149, 2, 0.0001861467, 0.0000001123, 126, 1.00, 0.92
25, 0.0001369728, 0.0000002320, 100, 2.80, 3.48, 0.0001433057, 0.0000020493, 3, 0.0000713949, 0.0000000617, 16, 1.05, 0.52
26, 0.0000283153, 0.0000007525, 39, 0.43, 1.11, 0.0000309489, 0.0000001262, 7, 0.0000250809, 0.0000000328, 64, 1.09, 0.89
TOP: 25
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-25 time(s), Meta-25 std(s), trials-25, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-25, speedup-10k
0, 0.0000152483, 0.0000005577, 11, 0.14, 0.27, 0.0000456555, 0.0000202265, 2, 0.0000456555, 0.0000202265, 2, 2.99, 2.99
1, 0.0006541543, 0.0000009009, 95, 2.61, 4.31, 0.0013929149, 0.0000017032, 24, 0.0004191233, 0.0000008247, 206, 2.13, 0.64
2, 0.0000803807, 0.0000021327, 11, 0.31, 0.38, 0.0000912208, 0.0000001372, 1, 0.0000912208, 0.0000001372, 1, 1.13, 1.13
3, 0.0066907084, 0.0000008991, 16, 3.07, 4.77, 0.0066907084, 0.0000008991, 11, 0.0021683221, 0.0000050128, 769, 1.00, 0.32
4, 0.0000234422, 0.0000002161, 16, 0.37, 2.07, 0.0000234422, 0.0000002161, 25, 0.0000231667, 0.0000006883, 29, 1.00, 0.99
5, 0.0105684619, 0.0000017560, 15, 2.95, 4.65, 0.0105684619, 0.0000017560, 13, 0.0011673194, 0.0000004795, 386, 1.00, 0.11
6, 0.0034695058, 0.0000036157, 88, 5.99, 7.69, 0.0163749822, 0.0000012527, 11, 0.0022861601, 0.0000079264, 1013, 4.72, 0.66
7, 0.0000180878, 0.0000000262, 15, 0.40, 2.10, 0.0000180878, 0.0000000262, 15, 0.0000177476, 0.0000000044, 42, 1.00, 0.98
8, 0.0000150222, 0.0000000119, 11, 0.17, 0.31, 0.0000150222, 0.0000000119, 2, 0.0000150222, 0.0000000119, 2, 1.00, 1.00
9, 0.0076885307, 0.0000025337, 99, 4.43, 6.12, 0.0078530120, 0.0001134128, 24, 0.0011077176, 0.0000000766, 405, 1.02, 0.14
10, 0.0000222588, 0.0000000013, 11, 0.17, 0.24, 0.0000222588, 0.0000000013, 1, 0.0000222588, 0.0000000013, 1, 1.00, 1.00
11, 0.0051753453, 0.0000023644, 93, 11.79, 13.49, 0.0057288459, 0.0000002660, 22, 0.0028661080, 0.0000067739, 899, 1.11, 0.55
12, 0.0000164470, 0.0000009085, 11, 0.16, 1.86, 0.0000172728, 0.0000000266, 25, 0.0000168371, 0.0000000447, 26, 1.05, 1.02
13, 0.0000145217, 0.0000016084, 11, 0.20, 0.33, 0.0000148529, 0.0000000092, 2, 0.0000148529, 0.0000000092, 2, 1.02, 1.02
14, 0.0093533530, 0.0000072456, 94, 4.13, 5.83, 0.0133607788, 0.0000023176, 17, 0.0014048760, 0.0000034823, 712, 1.43, 0.15
15, 0.0000181861, 0.0000000333, 11, 0.15, 0.22, 0.0000181861, 0.0000000333, 1, 0.0000181861, 0.0000000333, 1, 1.00, 1.00
16, 0.0205821340, 0.0001261553, 91, 8.98, 10.68, 0.0577298778, 0.0004974561, 17, 0.0061063600, 0.0000024805, 2182, 2.80, 0.30
17, 0.0000139209, 0.0000000311, 16, 0.19, 0.26, 0.0000139209, 0.0000000311, 1, 0.0000139209, 0.0000000311, 1, 1.00, 1.00
18, 0.0000123356, 0.0000000998, 11, 0.14, 0.34, 0.0000123356, 0.0000000998, 3, 0.0000123356, 0.0000000998, 3, 1.00, 1.00
19, 0.0060802060, 0.0000062748, 58, 2.94, 4.63, 0.0132080238, 0.0000082220, 22, 0.0012228544, 0.0000034540, 1089, 2.17, 0.20
20, 0.0000100081, 0.0000000176, 16, 0.18, 1.87, 0.0000100081, 0.0000000176, 13, 0.0000096179, 0.0000000357, 58, 1.00, 0.96
21, 0.0000089923, 0.0000000153, 15, 0.24, 0.51, 0.0000089923, 0.0000000153, 4, 0.0000089923, 0.0000000153, 4, 1.00, 1.00
22, 0.0000240018, 0.0000005675, 11, 0.14, 0.21, 0.0000920235, 0.0000002321, 1, 0.0000920235, 0.0000002321, 1, 3.83, 3.83
23, 0.0017291114, 0.0000229537, 50, 14.74, 16.44, 0.0017291114, 0.0000229537, 14, 0.0007390946, 0.0000021845, 349, 1.00, 0.43
