BENCH: alexnet
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta time(s), Meta std(s), speedup
11, 0.00619269, 0.00000977, 72, 0.50, 0.00619687, 0.00000448, 1.00
12, 0.00003387, 0.00000028, 17, 0.06, 0.00003447, 0.00000007, 1.02
13, 0.01236229, 0.00001464, 72, 0.98, 0.01236692, 0.00000163, 1.00
14, 0.00000540, 0.00000004, 16, 0.04, 0.00000540, 0.00000004, 1.00
15, 0.00001242, 0.00000001, 11, 0.03, 0.00001242, 0.00000001, 1.00
16, 0.00313175, 0.00001159, 74, 0.40, 0.00314639, 0.00000040, 1.00
17, 0.00000390, 0.00000000, 16, 0.06, 0.00000390, 0.00000000, 1.00
18, 0.00000246, 0.00000003, 35, 0.11, 0.00000350, 0.00000001, 1.43
19, 0.00000793, 0.00000000, 10, 0.02, 0.00000793, 0.00000000, 1.00
20, 0.01141526, 0.00000371, 1, 0.72, 0.01141526, 0.00000371, 1.00
21, 0.00158389, 0.00000340, 1, 0.21, 0.00158389, 0.00000340, 1.00
22, 0.00004302, 0.00000180, 1, 0.08, 0.00004302, 0.00000180, 1.00
23, 0.00000465, 0.00000002, 100, 0.17, 0.00000753, 0.00000002, 1.62
BENCH: resnet18
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta time(s), Meta std(s), speedup
0, 0.00005968, 0.00000034, 64, 0.11, 0.00006431, 0.00000012, 1.08
1, 0.00000922, 0.00000000, 10, 0.02, 0.00000922, 0.00000000, 1.00
2, 0.00005607, 0.00000036, 100, 0.37, 0.00006803, 0.00000004, 1.21
3, 0.00000574, 0.00000001, 10, 0.02, 0.00000574, 0.00000001, 1.00
4, 0.00006212, 0.00000063, 73, 0.33, 0.00006413, 0.00000019, 1.03
5, 0.00000681, 0.00000002, 10, 0.02, 0.00000681, 0.00000002, 1.00
6, 0.00080294, 0.00001297, 83, 0.37, 0.00085022, 0.00000113, 1.06
7, 0.00001612, 0.00000053, 39, 0.16, 0.00001735, 0.00000003, 1.08
8, 0.00072809, 0.00000748, 100, 0.26, 0.00076894, 0.00000102, 1.06
9, 0.00001373, 0.00000068, 10, 0.02, 0.00001373, 0.00000068, 1.00
10, 0.00073473, 0.00000547, 80, 0.20, 0.00077328, 0.00000065, 1.05
11, 0.00040181, 0.00000047, 72, 0.17, 0.00042626, 0.00000028, 1.06
12, 0.00001111, 0.00000004, 10, 0.02, 0.00001111, 0.00000004, 1.00
