BENCH: alexnet
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta time(s), Meta std(s), speedup
13, 0.00036819, 0.00000005, 100, 0.19, 0.00039320, 0.00000115, 1.07
14, 0.00001364, 0.00000008, 10, 0.02, 0.00001364, 0.00000008, 1.00
15, 0.00075148, 0.00000749, 74, 0.21, 0.00078564, 0.00000103, 1.05
16, 0.00001076, 0.00000003, 11, 0.02, 0.00001076, 0.00000003, 1.00
17, 0.00039252, 0.00000480, 69, 0.19, 0.00041320, 0.00000077, 1.05
18, 0.00003978, 0.00000004, 11, 0.03, 0.00003978, 0.00000004, 1.00
19, 0.00077906, 0.00001149, 99, 0.53, 0.00084577, 0.00000132, 1.09
20, 0.00110754, 0.00001002, 99, 0.30, 0.00114927, 0.00000054, 1.04
21, 0.00003406, 0.00000056, 10, 0.03, 0.00003495, 0.00000002, 1.03
22, 0.00035638, 0.00000941, 68, 0.29, 0.00037306, 0.00000048, 1.05
23, 0.00001106, 0.00000002, 10, 0.02, 0.00001106, 0.00000002, 1.00
24, 0.00084520, 0.00001512, 100, 0.31, 0.00088971, 0.00000046, 1.05
25, 0.00000500, 0.00000000, 10, 0.02, 0.00000500, 0.00000000, 1.00
26, 0.00037820, 0.00000200, 79, 0.21, 0.00040157, 0.00000051, 1.06
27, 0.00001112, 0.00000002, 11, 0.03, 0.00001112, 0.00000002, 1.00
28, 0.00086828, 0.00002435, 100, 0.27, 0.00090184, 0.00000213, 1.04
29, 0.00096554, 0.00002511, 77, 0.36, 0.00100266, 0.00000115, 1.04
30, 0.00000783, 0.00000000, 11, 0.02, 0.00000783, 0.00000000, 1.00
31, 0.00001834, 0.00000003, 10, 0.02, 0.00001834, 0.00000003, 1.00
32, 0.00036501, 0.00000621, 87, 0.28, 0.00036867, 0.00000027, 1.01
33, 0.00000717, 0.00000012, 10, 0.02, 0.00000717, 0.00000012, 1.00
34, 0.00079327, 0.00001238, 81, 0.31, 0.00082494, 0.00000144, 1.04
35, 0.00000743, 0.00000001, 10, 0.02, 0.00000743, 0.00000001, 1.00
36, 0.00033391, 0.00000199, 61, 0.31, 0.00035638, 0.00000028, 1.07
37, 0.00000705, 0.00000001, 10, 0.02, 0.00000705, 0.00000001, 1.00
38, 0.00078501, 0.00001395, 75, 0.25, 0.00080981, 0.00000079, 1.03
39, 0.00101013, 0.00000859, 72, 0.26, 0.00103510, 0.00000094, 1.02
40, 0.00000450, 0.00000000, 10, 0.02, 0.00000450, 0.00000000, 1.00
41, 0.00038830, 0.00000164, 96, 0.37, 0.00041331, 0.00000062, 1.06
42, 0.00000563, 0.00000002, 11, 0.02, 0.00000563, 0.00000002, 1.00
43, 0.00078308, 0.00001322, 100, 0.31, 0.00085571, 0.00005131, 1.09
44, 0.00000253, 0.00000005, 16, 0.04, 0.00000359, 0.00000001, 1.42
45, 0.00035466, 0.00000055, 70, 0.31, 0.00036347, 0.00000046, 1.02
46, 0.00000429, 0.00000000, 35, 0.05, 0.00000429, 0.00000000, 1.00
47, 0.00000036, 0.00000002, 14, 0.04, 0.00000670, 0.00000001, 18.49
48, 0.00002690, 0.00000002, 1, 0.06, 0.00002690, 0.00000002, 1.00
49, 0.00000747, 0.00000003, 37, 0.05, 0.00000747, 0.00000003, 1.00
BENCH: resnet50
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta time(s), Meta std(s), speedup
0, 0.00001963, 0.00000033, 10, 0.02, 0.00001965, 0.00000003, 1.00
1, 0.00070715, 0.00000133, 33, 0.10, 0.00070715, 0.00000133, 1.00
2, 0.00070554, 0.00000700, 68, 0.41, 0.00073782, 0.00000075, 1.05
3, 0.00067933, 0.00000553, 66, 0.22, 0.00070989, 0.00000012, 1.04
4, 0.00000853, 0.00000001, 10, 0.03, 0.00000853, 0.00000001, 1.00
5, 0.00039141, 0.00000064, 84, 0.65, 0.00040453, 0.00000053, 1.03
6, 0.00000703, 0.00000001, 10, 0.02, 0.00000703, 0.00000001, 1.00
7, 0.00079313, 0.00001423, 100, 0.43, 0.00083119, 0.00000025, 1.05
8, 0.00001651, 0.00000055, 31, 0.12, 0.00001699, 0.00000003, 1.03
9, 0.00000506, 0.00000000, 10, 0.02, 0.00000506, 0.00000000, 1.00
10, 0.00010854, 0.00000009, 46, 0.18, 0.00010854, 0.00000009, 1.00
11, 0.00001356, 0.00000002, 10, 0.02, 0.00001356, 0.00000002, 1.00
12, 0.00006449, 0.00000035, 20, 0.08, 0.00006767, 0.00000015, 1.05
13, 0.00033533, 0.00000193, 81, 0.18, 0.00035901, 0.00000084, 1.07
14, 0.00001334, 0.00000001, 10, 0.02, 0.00001334, 0.00000001, 1.00
15, 0.00074209, 0.00001661, 72, 0.18, 0.00077939, 0.00000168, 1.05
16, 0.00000838, 0.00000000, 11, 0.03, 0.00000838, 0.00000000, 1.00
17, 0.00034151, 0.00000151, 100, 0.23, 0.00036747, 0.00000024, 1.08
18, 0.00004024, 0.00000004, 11, 0.03, 0.00004024, 0.00000004, 1.00
19, 0.00070006, 0.00000721, 100, 0.34, 0.00073220, 0.00000074, 1.05
20, 0.00093045, 0.00002213, 78, 0.43, 0.00096157, 0.00000113, 1.03
21, 0.00003428, 0.00000002, 10, 0.03, 0.00003428, 0.00000002, 1.00
22, 0.00037924, 0.00000428, 81, 0.21, 0.00039289, 0.00000050, 1.04
23, 0.00001117, 0.00000002, 10, 0.02, 0.00001117, 0.00000002, 1.00
24, 0.00074926, 0.00001023, 72, 0.33, 0.00077744, 0.00000045, 1.04
25, 0.00000512, 0.00000001, 11, 0.02, 0.00000512, 0.00000001, 1.00
26, 0.00036672, 0.00000318, 80, 0.55, 0.00038219, 0.00000044, 1.04
27, 0.00001132, 0.00000005, 11, 0.04, 0.00001132, 0.00000005, 1.00
28, 0.00073648, 0.00000618, 66, 0.20, 0.00075592, 0.00000098, 1.03
29, 0.00093938, 0.00002673, 100, 0.48, 0.00100090, 0.00000143, 1.07
30, 0.00000784, 0.00000001, 11, 0.03, 0.00000784, 0.00000001, 1.00
31, 0.00001840, 0.00000002, 10, 0.02, 0.00001840, 0.00000002, 1.00
32, 0.00036175, 0.00000396, 86, 0.19, 0.00037249, 0.00000039, 1.03
33, 0.00000722, 0.00000000, 10, 0.02, 0.00000722, 0.00000000, 1.00
34, 0.00080081, 0.00001678, 66, 0.21, 0.00083860, 0.00000043, 1.05
35, 0.00000742, 0.00000001, 10, 0.02, 0.00000742, 0.00000001, 1.00
36, 0.00034345, 0.00000250, 66, 0.35, 0.00036678, 0.00000013, 1.07
37, 0.00000701, 0.00000000, 10, 0.03, 0.00000701, 0.00000000, 1.00
38, 0.00079060, 0.00001364, 77, 0.19, 0.00081873, 0.00000043, 1.04
39, 0.00089904, 0.00001613, 100, 0.40, 0.00092640, 0.00000053, 1.03
40, 0.00000461, 0.00000000, 10, 0.02, 0.00000461, 0.00000000, 1.00
41, 0.00038433, 0.00000744, 82, 0.16, 0.00040071, 0.00000053, 1.04
42, 0.00000567, 0.00000000, 11, 0.02, 0.00000567, 0.00000000, 1.00
43, 0.00075728, 0.00000880, 75, 0.23, 0.00079612, 0.00000307, 1.05
44, 0.00000254, 0.00000004, 15, 0.04, 0.00000360, 0.00000001, 1.42
45, 0.00035053, 0.00000328, 79, 0.18, 0.00036525, 0.00000016, 1.04
46, 0.00000427, 0.00000001, 40, 0.05, 0.00000427, 0.00000001, 1.00
47, 0.00000037, 0.00000003, 14, 0.04, 0.00001417, 0.00001080, 38.58
48, 0.00002169, 0.00000004, 1, 0.06, 0.00002169, 0.00000004, 1.00
49, 0.00000765, 0.00000000, 33, 0.05, 0.00000765, 0.00000000, 1.00
BENCH: mobilenet_v2
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta time(s), Meta std(s), speedup
0, 0.00000678, 0.00000003, 10, 0.02, 0.00000678, 0.00000003, 1.00
1, 0.00008699, 0.00000047, 100, 0.22, 0.00009160, 0.00000002, 1.05
2, 0.00003877, 0.00000044, 100, 0.34, 0.00004191, 0.00000001, 1.08
3, 0.00006616, 0.00000004, 46, 0.09, 0.00006616, 0.00000004, 1.00
4, 0.00016520, 0.00000068, 66, 0.33, 0.00016961, 0.00000027, 1.03
5, 0.00003892, 0.00000016, 75, 0.20, 0.00004140, 0.00000012, 1.06
6, 0.00006173, 0.00000002, 37, 0.06, 0.00006173, 0.00000002, 1.00
7, 0.00003984, 0.00000030, 100, 0.41, 0.00004319, 0.00000011, 1.08
8, 0.00009109, 0.00000003, 37, 0.07, 0.00009109, 0.00000003, 1.00
9, 0.00007992, 0.00000041, 82, 0.14, 0.00008255, 0.00000016, 1.03
10, 0.00002076, 0.00000002, 40, 0.10, 0.00002076, 0.00000002, 1.00
11, 0.00003359, 0.00000009, 37, 0.06, 0.00003359, 0.00000009, 1.00
12, 0.00001657, 0.00000018, 72, 0.19, 0.00001721, 0.00000001, 1.04
13, 0.00004049, 0.00000012, 36, 0.08, 0.00004049, 0.00000012, 1.00
14, 0.00003670, 0.00000045, 93, 0.34, 0.00003892, 0.00000002, 1.06
15, 0.00001043, 0.00000004, 40, 0.14, 0.00001043, 0.00000004, 1.00
16, 0.00002203, 0.00000002, 37, 0.06, 0.00002203, 0.00000002, 1.00
17, 0.00004018, 0.00000002, 37, 0.06, 0.00004018, 0.00000002, 1.00
18, 0.00003399, 0.00000016, 68, 0.13, 0.00003588, 0.00000002, 1.06
19, 0.00001355, 0.00000005, 40, 0.10, 0.00001355, 0.00000005, 1.00
20, 0.00005780, 0.00000037, 72, 0.12, 0.00006132, 0.00000003, 1.06
21, 0.00001171, 0.00000002, 40, 0.08, 0.00001171, 0.00000002, 1.00
22, 0.00008254, 0.00000035, 37, 0.06, 0.00008254, 0.00000035, 1.00
23, 0.00007556, 0.00000089, 100, 0.26, 0.00007799, 0.00000008, 1.03
24, 0.00000651, 0.00000018, 100, 0.26, 0.00000884, 0.00000001, 1.36
25, 0.00003556, 0.00000031, 100, 0.17, 0.00003762, 0.00000008, 1.06
26, 0.00005498, 0.00000042, 81, 0.14, 0.00005831, 0.00000029, 1.06
27, 0.00005248, 0.00000007, 69, 0.22, 0.00005609, 0.00000033, 1.07
28, 0.00000716, 0.00000001, 40, 0.07, 0.00000716, 0.00000001, 1.00
29, 0.00010627, 0.00000164, 82, 0.14, 0.00011024, 0.00000034, 1.04
30, 0.00014104, 0.00000154, 73, 0.19, 0.00014467, 0.00000066, 1.03
31, 0.00000346, 0.00000001, 37, 0.05, 0.00000346, 0.00000001, 1.00
32, 0.00000025, 0.00000001, 14, 0.04, 0.00000667, 0.00000002, 26.64
33, 0.00001459, 0.00000003, 1, 0.06, 0.00001459, 0.00000003, 1.00
34, 0.00000716, 0.00000001, 46, 0.06, 0.00000716, 0.00000001, 1.00
BENCH: mnasnet1_0
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta time(s), Meta std(s), speedup
0, 0.00000699, 0.00000002, 10, 0.02, 0.00000699, 0.00000002, 1.00
1, 0.00008945, 0.00000179, 75, 0.17, 0.00009510, 0.00000004, 1.06
2, 0.00003851, 0.00000088, 74, 0.21, 0.00003869, 0.00000007, 1.00
3, 0.00005235, 0.00000003, 33, 0.06, 0.00005235, 0.00000003, 1.00
4, 0.00008337, 0.00000012, 69, 0.14, 0.00008740, 0.00000008, 1.05
5, 0.00002601, 0.00000005, 40, 0.11, 0.00002601, 0.00000005, 1.00
6, 0.00003358, 0.00000003, 37, 0.08, 0.00003358, 0.00000003, 1.00
7, 0.00002499, 0.00000032, 74, 0.19, 0.00002677, 0.00000020, 1.07
8, 0.00004509, 0.00000027, 75, 0.21, 0.00004660, 0.00000007, 1.03
9, 0.00004183, 0.00000003, 37, 0.07, 0.00004183, 0.00000003, 1.00
10, 0.00001830, 0.00000036, 100, 0.32, 0.00001924, 0.00000003, 1.05
11, 0.00002299, 0.00000026, 100, 0.35, 0.00002403, 0.00000003, 1.05
12, 0.00003094, 0.00000002, 37, 0.07, 0.00003094, 0.00000002, 1.00
13, 0.00002107, 0.00000022, 74, 0.18, 0.00002230, 0.00000005, 1.06
14, 0.00003135, 0.00000008, 40, 0.07, 0.00003135, 0.00000008, 1.00
15, 0.00006585, 0.00000023, 37, 0.06, 0.00006585, 0.00000023, 1.00
16, 0.00001476, 0.00000024, 73, 0.19, 0.00001484, 0.00000002, 1.01
17, 0.00003180, 0.00000020, 96, 0.35, 0.00003499, 0.00000010, 1.10
18, 0.00002334, 0.00000090, 100, 0.25, 0.00002429, 0.00000023, 1.04
19, 0.00005735, 0.00000038, 82, 0.13, 0.00005801, 0.00000006, 1.01
20, 0.00005241, 0.00000050, 79, 0.15, 0.00005589, 0.00000012, 1.07
21, 0.00001646, 0.00000030, 72, 0.21, 0.00001996, 0.00000001, 1.21
22, 0.00006901, 0.00000180, 82, 0.14, 0.00007052, 0.00000024, 1.02
23, 0.00001271, 0.00000035, 72, 0.16, 0.00001285, 0.00000016, 1.01
24, 0.00008188, 0.00000260, 82, 0.14, 0.00008449, 0.00000028, 1.03
25, 0.00007224, 0.00000035, 80, 0.21, 0.00007753, 0.00000005, 1.07
26, 0.00001229, 0.00000007, 99, 0.44, 0.00001288, 0.00000001, 1.05
27, 0.00004383, 0.00000034, 70, 0.12, 0.00004411, 0.00000001, 1.01
28, 0.00001381, 0.00000026, 100, 0.22, 0.00001478, 0.00000002, 1.07
29, 0.00007966, 0.00000011, 77, 0.13, 0.00008174, 0.00000004, 1.03
30, 0.00007375, 0.00000021, 96, 0.33, 0.00007820, 0.00000008, 1.06
31, 0.00001349, 0.00000039, 43, 0.15, 0.00001364, 0.00000054, 1.01
32, 0.00013212, 0.00000110, 78, 0.15, 0.00013690, 0.00000020, 1.04
33, 0.00014009, 0.00000070, 74, 0.14, 0.00014261, 0.00000007, 1.02
34, 0.00000253, 0.00000007, 100, 0.15, 0.00000351, 0.00000000, 1.39
35, 0.00000010, 0.00000002, 17, 0.05, 0.00000327, 0.00000010, 33.69
36, 0.00001861, 0.00000001, 1, 0.06, 0.00001861, 0.00000001, 1.00
37, 0.00000716, 0.00000001, 36, 0.05, 0.00000716, 0.00000001, 1.00
BENCH: inception_v3
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta time(s), Meta std(s), speedup
0, 0.00000809, 0.00000002, 10, 0.03, 0.00000809, 0.00000002, 1.00
1, 0.00000567, 0.00000001, 40, 0.06, 0.00000567, 0.00000001, 1.00
2, 0.00008212, 0.00000026, 82, 0.15, 0.00008452, 0.00000011, 1.03
3, 0.00021142, 0.00000083, 37, 0.08, 0.00021142, 0.00000083, 1.00
4, 0.00016437, 0.00000059, 100, 0.33, 0.00017687, 0.00000027, 1.08
5, 0.00000587, 0.00000001, 10, 0.02, 0.00000624, 0.00000001, 1.06
6, 0.00000469, 0.00000000, 40, 0.06, 0.00000469, 0.00000000, 1.00
7, 0.00008013, 0.00000069, 100, 0.20, 0.00008441, 0.00000008, 1.05
8, 0.00015737, 0.00000034, 75, 0.18, 0.00017000, 0.00000026, 1.08
9, 0.00029400, 0.00000212, 100, 0.28, 0.00031747, 0.00000056, 1.08
10, 0.00008624, 0.00000027, 72, 0.22, 0.00009212, 0.00000004, 1.07
11, 0.00013055, 0.00000040, 100, 0.21, 0.00014268, 0.00000033, 1.09
12, 0.00008529, 0.00000309, 72, 0.15, 0.00009120, 0.00000026, 1.07
13, 0.00000396, 0.00000000, 16, 0.14, 0.00000396, 0.00000000, 1.00
14, 0.00008678, 0.00000141, 100, 0.21, 0.00009786, 0.00000019, 1.13
15, 0.00025725, 0.00000135, 69, 0.35, 0.00027606, 0.00000030, 1.07
16, 0.00026060, 0.00000216, 99, 0.42, 0.00027660, 0.00000033, 1.06
17, 0.00019060, 0.00000340, 79, 0.17, 0.00019793, 0.00000015, 1.04
18, 0.00022766, 0.00000366, 72, 0.25, 0.00024333, 0.00000025, 1.07
19, 0.00013362, 0.00000233, 100, 0.35, 0.00014246, 0.00000031, 1.07
20, 0.00019089, 0.00000132, 70, 0.34, 0.00020192, 0.00000055, 1.06
21, 0.00021557, 0.00000052, 98, 0.55, 0.00024897, 0.00000120, 1.15
22, 0.00001210, 0.00000020, 10, 0.02, 0.00001210, 0.00000020, 1.00
23, 0.00000814, 0.00000001, 35, 0.07, 0.00000814, 0.00000001, 1.00
24, 0.00011763, 0.00000041, 91, 0.57, 0.00012846, 0.00000013, 1.09
25, 0.00018837, 0.00000081, 79, 0.38, 0.00020042, 0.00000043, 1.06
26, 0.00011217, 0.00000452, 72, 0.17, 0.00011582, 0.00000008, 1.03
27, 0.00012508, 0.00000144, 97, 0.53, 0.00013460, 0.00000022, 1.08
28, 0.00017935, 0.00000044, 71, 0.32, 0.00019469, 0.00000079, 1.09
29, 0.00000506, 0.00000002, 16, 0.07, 0.00000506, 0.00000002, 1.00
30, 0.00014906, 0.00000056, 100, 0.60, 0.00016160, 0.00000341, 1.08
31, 0.00000517, 0.00000001, 10, 0.03, 0.00000517, 0.00000001, 1.00
32, 0.00001342, 0.00000002, 37, 0.06, 0.00001342, 0.00000002, 1.00
33, 0.00010210, 0.00000068, 100, 0.34, 0.00011103, 0.00000012, 1.09
34, 0.00000483, 0.00000001, 11, 0.03, 0.00000483, 0.00000001, 1.00
35, 0.00001133, 0.00000001, 38, 0.06, 0.00001133, 0.00000001, 1.00
36, 0.00007444, 0.00000024, 100, 0.17, 0.00008492, 0.00000029, 1.14
37, 0.00000446, 0.00000001, 10, 0.03, 0.00000446, 0.00000001, 1.00
38, 0.00000988, 0.00000001, 38, 0.06, 0.00000988, 0.00000001, 1.00
39, 0.00005574, 0.00000020, 37, 0.07, 0.00005574, 0.00000020, 1.00
40, 0.00024534, 0.00000413, 78, 0.29, 0.00025206, 0.00000038, 1.03
41, 0.00037965, 0.00000021, 40, 0.10, 0.00037965, 0.00000021, 1.00
42, 0.00006720, 0.00000031, 100, 0.30, 0.00007317, 0.00000019, 1.09
43, 0.00035203, 0.00000558, 100, 0.40, 0.00036165, 0.00000010, 1.03
44, 0.00013721, 0.00000013, 89, 0.56, 0.00014905, 0.00000022, 1.09
45, 0.00077997, 0.00000752, 79, 0.20, 0.00078659, 0.00000048, 1.01
46, 0.00150298, 0.00002458, 100, 0.57, 0.00155203, 0.00000399, 1.03
47, 0.00001144, 0.00000001, 16, 0.03, 0.00001144, 0.00000001, 1.00
48, 0.00015640, 0.00000095, 64, 0.36, 0.00016759, 0.00000050, 1.07
49, 0.00261663, 0.00002481, 100, 0.54, 0.00264319, 0.00000806, 1.01
50, 0.00000846, 0.00000000, 16, 0.03, 0.00000846, 0.00000000, 1.00
51, 0.00007394, 0.00000013, 100, 0.24, 0.00008090, 0.00000033, 1.09
52, 0.00008751, 0.00000012, 63, 0.16, 0.00009291, 0.00000004, 1.06
53, 0.00009487, 0.00000041, 74, 0.12, 0.00010102, 0.00000041, 1.06
54, 0.00114896, 0.00002800, 83, 0.34, 0.00119967, 0.00000091, 1.04
55, 0.00016460, 0.00000011, 37, 0.07, 0.00016460, 0.00000011, 1.00
56, 0.00016727, 0.00000045, 40, 0.09, 0.00016727, 0.00000045, 1.00
57, 0.00010486, 0.00000270, 100, 0.21, 0.00012368, 0.00000007, 1.18
58, 0.00014044, 0.00000904, 79, 0.16, 0.00015977, 0.00000007, 1.14
59, 0.00000230, 0.00000006, 77, 0.10, 0.00000343, 0.00000001, 1.49
60, 0.00000037, 0.00000003, 14, 0.04, 0.00000670, 0.00000001, 18.16
61, 0.00002812, 0.00000002, 1, 0.07, 0.00002812, 0.00000002, 1.00
62, 0.00000727, 0.00000000, 46, 0.06, 0.00000727, 0.00000000, 1.00
BENCH: googlenet
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta time(s), Meta std(s), speedup
0, 0.00002423, 0.00000019, 100, 0.16, 0.00002587, 0.00000003, 1.07
1, 0.00003028, 0.00000042, 82, 0.23, 0.00003162, 0.00000002, 1.04
2, 0.00007584, 0.00000010, 100, 0.21, 0.00008198, 0.00000016, 1.08
3, 0.00021586, 0.00000054, 100, 0.39, 0.00024070, 0.00000047, 1.12
4, 0.00000544, 0.00000022, 25, 0.07, 0.00000552, 0.00000001, 1.02
5, 0.00004923, 0.00000011, 37, 0.06, 0.00004923, 0.00000011, 1.00
6, 0.00001823, 0.00000033, 100, 0.15, 0.00001898, 0.00000005, 1.04
7, 0.00002179, 0.00000027, 100, 0.32, 0.00002314, 0.00000006, 1.06
8, 0.00005253, 0.00000004, 82, 0.13, 0.00005408, 0.00000014, 1.03
9, 0.00017834, 0.00000733, 84, 0.21, 0.00018689, 0.00000021, 1.05
10, 0.00001075, 0.00000058, 29, 0.10, 0.00002335, 0.00000003, 2.17
11, 0.00009227, 0.00000015, 77, 0.13, 0.00011406, 0.00000019, 1.24
12, 0.00003654, 0.00000040, 75, 0.19, 0.00003911, 0.00000001, 1.07
13, 0.00007130, 0.00000072, 72, 0.32, 0.00007443, 0.00000012, 1.04
14, 0.00013109, 0.00000026, 74, 0.22, 0.00014011, 0.00000013, 1.07
15, 0.00065364, 0.00001233, 74, 0.28, 0.00068801, 0.00000066, 1.05
16, 0.00003780, 0.00000023, 76, 0.28, 0.00003935, 0.00000007, 1.04
17, 0.00004497, 0.00000048, 72, 0.14, 0.00004774, 0.00000012, 1.06
18, 0.00011841, 0.00000062, 65, 0.27, 0.00012849, 0.00000008, 1.09
19, 0.00050958, 0.00000620, 72, 0.26, 0.00053477, 0.00000060, 1.05
20, 0.00039906, 0.00000328, 72, 0.41, 0.00043471, 0.00000059, 1.09
21, 0.00001046, 0.00000049, 34, 0.12, 0.00002153, 0.00000003, 2.06
22, 0.00005641, 0.00000007, 72, 0.28, 0.00005943, 0.00000004, 1.05
23, 0.00002910, 0.00000020, 46, 0.10, 0.00002910, 0.00000020, 1.00
24, 0.00002971, 0.00000051, 40, 0.11, 0.00002971, 0.00000051, 1.00
25, 0.00035779, 0.00000005, 100, 0.54, 0.00039328, 0.00000124, 1.10
26, 0.00000970, 0.00000017, 34, 0.19, 0.00002382, 0.00000011, 2.46
27, 0.00005440, 0.00000039, 80, 0.15, 0.00006008, 0.00000010, 1.10
28, 0.00001979, 0.00000002, 37, 0.07, 0.00001979, 0.00000002, 1.00
29, 0.00002915, 0.00000002, 40, 0.10, 0.00002915, 0.00000002, 1.00
30, 0.00008030, 0.00000017, 39, 0.06, 0.00008030, 0.00000017, 1.00
31, 0.00028291, 0.00000207, 75, 0.21, 0.00029969, 0.00000025, 1.06
32, 0.00002699, 0.00000008, 16, 0.04, 0.00002817, 0.00000007, 1.04
33, 0.00011314, 0.00000015, 46, 0.11, 0.00011314, 0.00000015, 1.00
34, 0.00006614, 0.00000106, 73, 0.32, 0.00008410, 0.00000008, 1.27
35, 0.00017787, 0.00000004, 40, 0.12, 0.00017787, 0.00000004, 1.00
36, 0.00122103, 0.00001421, 100, 0.56, 0.00127887, 0.00000150, 1.05
37, 0.00002733, 0.00000031, 17, 0.06, 0.00002890, 0.00000058, 1.06
38, 0.00004976, 0.00000036, 81, 0.15, 0.00005190, 0.00000016, 1.04
39, 0.00002992, 0.00000061, 69, 0.15, 0.00003210, 0.00000001, 1.07
40, 0.00003300, 0.00000019, 72, 0.16, 0.00003408, 0.00000004, 1.03
41, 0.00013729, 0.00000138, 100, 0.19, 0.00015219, 0.00000008, 1.11
42, 0.00064095, 0.00000052, 40, 0.17, 0.00064095, 0.00000052, 1.00
43, 0.00087264, 0.00000886, 100, 0.46, 0.00091497, 0.00000039, 1.05
44, 0.00002989, 0.00000013, 40, 0.15, 0.00002989, 0.00000013, 1.00
45, 0.00000513, 0.00000001, 10, 0.02, 0.00000513, 0.00000001, 1.00
46, 0.00010872, 0.00000035, 95, 0.52, 0.00012397, 0.00000013, 1.14
47, 0.00000782, 0.00000001, 11, 0.03, 0.00000782, 0.00000001, 1.00
48, 0.00234163, 0.00002944, 78, 0.42, 0.00236695, 0.00000106, 1.01
49, 0.00002120, 0.00000007, 16, 0.04, 0.00002120, 0.00000007, 1.00
50, 0.00008628, 0.00000108, 100, 0.53, 0.00009834, 0.00000014, 1.14
51, 0.00019035, 0.00000027, 43, 0.16, 0.00019035, 0.00000027, 1.00
52, 0.00001683, 0.00000002, 16, 0.08, 0.00001683, 0.00000002, 1.00
53, 0.00013630, 0.00000126, 100, 0.19, 0.00014847, 0.00000010, 1.09
54, 0.00014310, 0.00000017, 46, 0.10, 0.00014310, 0.00000017, 1.00
55, 0.00010347, 0.00000025, 73, 0.28, 0.00010547, 0.00000028, 1.02
56, 0.00009425, 0.00000035, 72, 0.12, 0.00010139, 0.00000010, 1.08
57, 0.00021850, 0.00000021, 72, 0.15, 0.00023632, 0.00000069, 1.08
58, 0.00000447, 0.00000001, 16, 0.03, 0.00000447, 0.00000001, 1.00
59, 0.00009079, 0.00000017, 73, 0.14, 0.00009460, 0.00000014, 1.04
60, 0.00012492, 0.00000105, 100, 0.23, 0.00013086, 0.00000017, 1.05
61, 0.00000202, 0.00000006, 100, 0.15, 0.00000361, 0.00000000, 1.79
62, 0.00000023, 0.00000002, 17, 0.06, 0.00000648, 0.00000001, 28.77
63, 0.00001613, 0.00000002, 1, 0.07, 0.00001613, 0.00000002, 1.00
64, 0.00000783, 0.00000002, 33, 0.05, 0.00000783, 0.00000002, 1.00
BENCH: densenet121
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta time(s), Meta std(s), speedup
0, 0.00007863, 0.00000037, 96, 0.49, 0.00011457, 0.00000005, 1.46
1, 0.00006142, 0.00000118, 75, 0.14, 0.00007825, 0.00000018, 1.27
2, 0.00005468, 0.00000024, 72, 0.14, 0.00006608, 0.00000012, 1.21
3, 0.00005804, 0.00000027, 100, 0.18, 0.00006950, 0.00000013, 1.20
4, 0.00005423, 0.00000009, 100, 0.19, 0.00006234, 0.00000007, 1.15
5, 0.00006501, 0.00000217, 100, 0.27, 0.00006901, 0.00000020, 1.06
6, 0.00007180, 0.00000218, 100, 0.36, 0.00009984, 0.00000027, 1.39
7, 0.00003985, 0.00000021, 100, 0.18, 0.00005424, 0.00000005, 1.36
8, 0.00004219, 0.00000010, 79, 0.13, 0.00004512, 0.00000008, 1.07
9, 0.00004748, 0.00000023, 75, 0.14, 0.00005497, 0.00000013, 1.16
10, 0.00004212, 0.00000019, 82, 0.16, 0.00004367, 0.00000009, 1.04
11, 0.00004140, 0.00000032, 79, 0.19, 0.00004234, 0.00000025, 1.02
12, 0.00004494, 0.00000007, 100, 0.30, 0.00005193, 0.00000006, 1.16
13, 0.00005229, 0.00000013, 37, 0.07, 0.00005229, 0.00000013, 1.00
14, 0.00002804, 0.00000036, 99, 0.17, 0.00003581, 0.00000007, 1.28
15, 0.00003424, 0.00000026, 66, 0.14, 0.00003673, 0.00000004, 1.07
16, 0.00001903, 0.00000027, 72, 0.15, 0.00002004, 0.00000002, 1.05
17, 0.00017216, 0.00000050, 100, 0.21, 0.00020070, 0.00000053, 1.17
18, 0.00020201, 0.00000062, 71, 0.31, 0.00021088, 0.00000053, 1.04
19, 0.00017962, 0.00000102, 81, 0.15, 0.00018769, 0.00000003, 1.04
20, 0.00018199, 0.00000030, 37, 0.10, 0.00018199, 0.00000030, 1.00
21, 0.00017552, 0.00000290, 100, 0.34, 0.00018099, 0.00000012, 1.03
22, 0.00020301, 0.00000291, 86, 0.16, 0.00021146, 0.00000023, 1.04
23, 0.00015675, 0.00000136, 79, 0.16, 0.00016716, 0.00000016, 1.07
24, 0.00017390, 0.00000130, 100, 0.34, 0.00019329, 0.00000022, 1.11
25, 0.00017377, 0.00000205, 80, 0.41, 0.00018755, 0.00000045, 1.08
