BENCH: densenet169
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
38, 0.0003456675, 0.0000008494, 100, 1.47, 1.48, 0.0024893783, 0.0000029905, 1, 0.0002711151, 0.0000004801, 123, 7.20, 0.78
39, 0.0004710690, 0.0000003739, 100, 1.56, 1.57, 0.0089679195, 0.0000143710, 1, 0.0002925075, 0.0000004276, 76, 19.04, 0.62
40, 0.0002846802, 0.0000039127, 100, 1.36, 1.37, 0.0004785688, 0.0000001034, 1, 0.0002778315, 0.0000112849, 85, 1.68, 0.98
41, 0.0004613872, 0.0000000539, 99, 1.53, 1.54, 0.0010851539, 0.0003598313, 1, 0.0001620116, 0.0000005113, 105, 2.35, 0.35
42, 0.0012405510, 0.0000056300, 100, 1.64, 1.65, 0.0053119448, 0.0000022674, 1, 0.0002194684, 0.0000001661, 85, 4.28, 0.18
43, 0.0116170100, 0.0000024047, 99, 2.10, 2.11, 0.1008353249, 0.0063262032, 1, 0.0002260257, 0.0000018238, 53, 8.68, 0.02
44, 0.0003372957, 0.0000009597, 100, 1.42, 1.44, 0.0011483377, 0.0002239103, 1, 0.0002144442, 0.0000003872, 34, 3.40, 0.64
45, 0.0002867365, 0.0000010003, 100, 1.38, 1.39, 0.0102524059, 0.0000452362, 1, 0.0001654408, 0.0000001206, 110, 35.76, 0.58
46, 0.0002885668, 0.0000006589, 62, 1.36, 1.37, 0.0017441188, 0.0000055726, 1, 0.0001179953, 0.0000023846, 7, 6.04, 0.41
47, 0.0003224757, 0.0000010941, 100, 1.30, 1.31, 0.0011712243, 0.0004213950, 1, 0.0002797067, 0.0000000307, 35, 3.63, 0.87
48, 0.0003158703, 0.0000004644, 94, 1.39, 1.40, 0.0012835518, 0.0000005938, 1, 0.0001091096, 0.0000000681, 80, 4.06, 0.35
49, 0.0017892707, 0.0000005857, 98, 1.71, 1.73, 0.0078814467, 0.0014102336, 1, 0.0002741955, 0.0000005799, 24, 4.40, 0.15
50, 0.0006086545, 0.0000024844, 100, 1.36, 1.37, 0.0024392251, 0.0000000498, 1, 0.0002065911, 0.0000002639, 41, 4.01, 0.34
51, 0.0017614703, 0.0000028459, 97, 1.77, 1.78, 0.0205317393, 0.0003179071, 1, 0.0002812965, 0.0000027495, 9, 11.66, 0.16
52, 0.0006683497, 0.0000029318, 100, 1.35, 1.36, 0.0017312915, 0.0000034549, 1, 0.0001596217, 0.0000000753, 39, 2.59, 0.24
53, 0.0010527343, 0.0000052526, 94, 1.43, 1.44, 0.0011188376, 0.0000022730, 1, 0.0002132304, 0.0000011747, 61, 1.06, 0.20
54, 0.0001366735, 0.0000003269, 97, 1.60, 1.61, 0.0023333437, 0.0000009572, 1, 0.0001997338, 0.0000003931, 44, 17.07, 1.46
55, 0.0002121492, 0.0000003714, 96, 1.43, 1.44, 0.0018803096, 0.0000000970, 1, 0.0001900211, 0.0000000202, 55, 8.86, 0.90
56, 0.0006136342, 0.0000012549, 97, 1.52, 1.53, 0.0050551075, 0.0000985586, 1, 0.0001756921, 0.0000000470, 38, 8.24, 0.29
57, 0.0002417497, 0.0000006852, 100, 1.36, 1.37, 0.0008705009, 0.0000016587, 1, 0.0001772436, 0.0000001391, 56, 3.60, 0.73
