BENCH: resnet34
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
0, 0.0000129702, 0.0000002414, 91, 1.31, 1.34, 0.0000203444, 0.0000008922, 1, 0.0000111676, 0.0000000001, 86, 1.57, 0.86
1, 0.0000116792, 0.0000001959, 66, 0.65, 0.68, 0.0000116792, 0.0000001959, 65, 0.0000092888, 0.0000000012, 77, 1.00, 0.80
2, 0.0001897812, 0.0000002416, 70, 1.38, 1.41, 0.0003765645, 0.0000174445, 55, 0.0000078430, 0.0000000014, 160, 1.98, 0.04
3, 0.0000380587, 0.0000002414, 78, 1.53, 1.56, 0.0002372451, 0.0000068825, 1, 0.0000249168, 0.0000000183, 781, 6.23, 0.65
4, 0.0000042948, 0.0000000011, 2, 0.16, 0.18, 0.0000042948, 0.0000000011, 64, 0.0000040923, 0.0000000010, 111, 1.00, 0.95
5, 0.0003271677, 0.0000004178, 72, 1.54, 1.57, 0.0004839215, 0.0000229176, 43, 0.0000196722, 0.0000000008, 1743, 1.48, 0.06
6, 0.0000409595, 0.0000004180, 86, 1.26, 1.28, 0.0000691191, 0.0000026551, 1, 0.0000180756, 0.0000000017, 1709, 1.69, 0.44
7, 0.0000587093, 0.0000002414, 93, 1.65, 1.68, 0.0001000232, 0.0000000155, 10, 0.0000254438, 0.0000000013, 431, 1.70, 0.43
8, 0.0000580267, 0.0000002414, 74, 1.45, 1.47, 0.0000730789, 0.0000027962, 65, 0.0000234245, 0.0000000159, 962, 1.26, 0.40
9, 0.0000657062, 0.0000002414, 60, 1.29, 1.32, 0.0003264820, 0.0000119779, 65, 0.0000206096, 0.0000000064, 1122, 4.97, 0.31
10, 0.0007782400, 0.0000000000, 94, 1.21, 1.23, 0.0015050105, 0.0000735752, 14, 0.0000280341, 0.0000000018, 1262, 1.93, 0.04
11, 0.0001186568, 0.0000000004, 1, 1.41, 1.44, 10000000000.0000000000, 0.0000000000, 1, 10000000000.0000000000, 0.0000000000, 1, 84276676135818.25, 84276676135818.25
12, 0.0000155989, 0.0000005066, 15, 1.32, 1.35, 0.0001873556, 0.0000012245, 39, 0.0000256432, 0.0000000019, 3950, 12.01, 1.64
13, 0.0000211907, 0.0000008796, 26, 0.70, 0.72, 0.0076957014, 0.0000006765, 10, 0.0000508083, 0.0000000030, 875, 363.16, 2.40
14, 0.0000460800, 0.0000007241, 102, 1.53, 1.56, 0.0018299622, 0.0000045019, 118, 0.0000263245, 0.0000000019, 780, 39.71, 0.57
15, 0.0001496745, 0.0000002411, 140, 1.58, 1.61, 0.0006659663, 0.0000296701, 23, 0.0000273040, 0.0000000031, 2198, 4.45, 0.18
16, 0.0000034549, 0.0000000005, 7, 0.17, 0.19, 0.0000034549, 0.0000000005, 1, 0.0000031201, 0.0000000000, 63, 1.00, 0.90
