BENCH: alexnet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
0, 0.0001266558, 0.0000006336, 35, 0.230, 0.267, 0.0003219847, 0.0000215864, 11, 0.0000261827, 0.0000000231, 621, 23.016, 2.54, 0.21
1, 0.0000302010, 0.0000013797, 2, 0.020, 0.057, 0.0000302010, 0.0000013797, 1, 0.0000022393, 0.0000000004, 23, 0.852, 1.00, 0.07
2, 0.0014160212, 0.0000048988, 17, 1.518, 1.555, 0.0218753646, 0.0014033680, 1, 0.0000532323, 0.0000000782, 1245, 46.143, 15.45, 0.04
3, 0.0000022401, 0.0000000021, 2, 0.020, 0.057, 0.0000022401, 0.0000000021, 5, 0.0000022373, 0.0000000006, 29, 1.075, 1.00, 1.00
4, 0.0000611949, 0.0000043138, 18, 0.100, 0.137, 0.0000611949, 0.0000043138, 1, 0.0000241029, 0.0000000107, 645, 23.906, 1.00, 0.39
5, 0.0010879623, 0.0000033356, 29, 0.454, 0.491, 0.0017347554, 0.0001108005, 1, 0.0000371399, 0.0000000026, 857, 31.763, 1.59, 0.03
6, 0.0000663942, 0.0000004811, 51, 0.313, 0.350, 0.0000696827, 0.0000040814, 1, 0.0000221686, 0.0000000314, 206, 7.635, 1.05, 0.33
7, 0.0000075340, 0.0000005724, 2, 0.020, 0.057, 0.0000075340, 0.0000005724, 1, 0.0000022376, 0.0000000007, 55, 2.038, 1.00, 0.30
8, 0.0000045220, 0.0000000262, 2, 0.020, 0.057, 0.0000045220, 0.0000000262, 1, 0.0000044096, 0.0000000056, 64, 2.372, 1.00, 0.98
9, 0.0000023057, 0.0000000017, 2, 0.020, 0.057, 0.0000023057, 0.0000000017, 1, 0.0000022708, 0.0000000006, 6, 0.222, 1.00, 0.98
10, 0.0002677222, 0.0000004396, 35, 0.383, 0.420, 0.0002741072, 0.0000066162, 13, 0.0001854967, 0.0000002183, 1025, 37.990, 1.02, 0.69
