BENCH: vgg19
TOP: 1
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000701, 0.00000000, 10, 0.02, 0.00000701, 0.00000000, 1, 0.00000701, 0.00000000, 1, 1.00, 1.00
1, 0.00201180, 0.00002317, 78, 0.39, 0.00207601, 0.00000753, 1, 0.00086577, 0.00000034, 55, 1.03, 0.43
2, 0.00068672, 0.00005656, 15, 0.06, 0.00078561, 0.00000137, 1, 0.00023682, 0.00000110, 2, 1.14, 0.34
3, 0.03536583, 0.00001498, 75, 2.46, 0.03656932, 0.00003055, 1, 0.01313428, 0.00000236, 591, 1.03, 0.37
4, 0.00003144, 0.00000098, 32, 0.11, 0.00003228, 0.00000003, 1, 0.00003224, 0.00000003, 27, 1.03, 1.03
5, 0.01119486, 0.00001273, 100, 1.45, 0.03222104, 0.00008224, 1, 0.00654899, 0.00000072, 345, 2.88, 0.58
6, 0.06672405, 0.00007628, 87, 4.21, 0.06702206, 0.00004749, 1, 0.01332918, 0.00001283, 455, 1.00, 0.20
7, 0.00009696, 0.00000145, 28, 0.07, 0.00010224, 0.00000026, 1, 0.00001654, 0.00000001, 6, 1.05, 0.17
8, 0.00001774, 0.00000336, 16, 0.04, 0.00002260, 0.00000009, 1, 0.00000835, 0.00000000, 2, 1.27, 0.47
9, 0.02012822, 0.00002755, 72, 0.89, 0.02230383, 0.00064259, 1, 0.00670901, 0.00000520, 372, 1.11, 0.33
10, 0.00007124, 0.00000035, 11, 0.03, 0.00007441, 0.00000010, 1, 0.00006801, 0.00000022, 2, 1.04, 0.95
11, 0.06878957, 0.00011771, 100, 3.73, 0.11265314, 0.00638921, 1, 0.01293754, 0.00001969, 1962, 1.64, 0.19
12, 0.00004150, 0.00000033, 42, 0.09, 0.00006873, 0.00000007, 1, 0.00000795, 0.00000002, 12, 1.66, 0.19
13, 0.00001879, 0.00000005, 10, 0.02, 0.00001879, 0.00000005, 1, 0.00001879, 0.00000005, 1, 1.00, 1.00
14, 0.02258590, 0.00007583, 98, 1.39, 0.02472759, 0.00060539, 1, 0.00666516, 0.00000521, 387, 1.09, 0.30
15, 0.00003726, 0.00000027, 11, 0.03, 0.00003781, 0.00000006, 1, 0.00003457, 0.00000001, 2, 1.01, 0.93
16, 0.00003541, 0.00000005, 10, 0.02, 0.00003541, 0.00000005, 1, 0.00003541, 0.00000005, 1, 1.00, 1.00
17, 0.12670295, 0.00036301, 100, 4.59, 0.13936868, 0.00288554, 1, 0.01280353, 0.00000681, 1635, 1.10, 0.10
18, 0.00000523, 0.00000001, 16, 0.03, 0.00000523, 0.00000001, 1, 0.00000523, 0.00000001, 1, 1.00, 1.00
19, 0.00001146, 0.00000003, 10, 0.02, 0.00001146, 0.00000003, 1, 0.00001146, 0.00000003, 1, 1.00, 1.00
20, 0.00971221, 0.00001148, 100, 1.06, 0.01029948, 0.00000707, 1, 0.00329449, 0.00000164, 769, 1.06, 0.34
21, 0.00000773, 0.00000002, 23, 0.04, 0.00000773, 0.00000002, 1, 0.00000379, 0.00000000, 8, 1.00, 0.49
22, 0.00000375, 0.00000006, 23, 0.08, 0.00000440, 0.00000001, 1, 0.00000350, 0.00000001, 7, 1.18, 0.93
23, 0.00000758, 0.00000002, 10, 0.02, 0.00000758, 0.00000002, 1, 0.00000758, 0.00000002, 1, 1.00, 1.00
24, 0.01201143, 0.00000554, 1, 0.96, 0.01201143, 0.00000554, 1, 0.01143325, 0.00000529, 569, 1.00, 0.95
25, 0.00206997, 0.00000050, 1, 0.18, 0.00206997, 0.00000050, 1, 0.00160330, 0.00000009, 92, 1.00, 0.77
26, 0.00055090, 0.00001181, 1, 0.11, 0.00055090, 0.00001181, 1, 0.00004659, 0.00000004, 37, 1.00, 0.08
