BENCH: densenet161
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
0, 0.0001032530, 0.0000020479, 100, 1.39, 1.40, 0.0010921525, 0.0000003813, 1, 0.0002658189, 0.0000009188, 26, 10.58, 2.57
1, 0.0006627743, 0.0000002737, 99, 1.41, 1.42, 0.0011459239, 0.0000002500, 1, 0.0001701885, 0.0000007689, 43, 1.73, 0.26
2, 0.0002320065, 0.0000007840, 100, 1.69, 1.70, 0.0004825436, 0.0000017582, 1, 0.0002032932, 0.0000003392, 56, 2.08, 0.88
3, 0.0004287660, 0.0000003386, 99, 1.33, 1.34, 0.0103798776, 0.0000181800, 1, 0.0003111478, 0.0000079500, 49, 24.21, 0.73
4, 0.0006133372, 0.0000006742, 69, 1.47, 1.48, 0.0014453708, 0.0000000874, 1, 0.0001939309, 0.0000002639, 60, 2.36, 0.32
5, 0.0002609772, 0.0000005489, 94, 1.59, 1.60, 0.0009388646, 0.0000003134, 1, 0.0002556783, 0.0000007127, 36, 3.60, 0.98
6, 0.0001980897, 0.0000007145, 100, 1.40, 1.41, 0.0002430593, 0.0000001359, 1, 0.0001718673, 0.0000000696, 33, 1.23, 0.87
7, 0.0002191448, 0.0000062187, 93, 1.59, 1.60, 0.0006978239, 0.0000006615, 1, 0.0002478253, 0.0000010178, 60, 3.18, 1.13
8, 0.0002179830, 0.0000013792, 100, 1.53, 1.55, 0.0003485904, 0.0000002711, 1, 0.0001944383, 0.0000002440, 35, 1.60, 0.89
9, 0.0002148513, 0.0000009606, 100, 1.37, 1.38, 0.0005630725, 0.0000003933, 1, 0.0001064496, 0.0000001218, 31, 2.62, 0.50
10, 0.0004063843, 0.0000013731, 97, 1.54, 1.55, 0.0022275702, 0.0004757641, 1, 0.0002322056, 0.0000004967, 53, 5.48, 0.57
11, 0.0001846125, 0.0000004348, 93, 1.64, 1.65, 0.0002178325, 0.0000009753, 1, 0.0001678021, 0.0000002769, 35, 1.18, 0.91
12, 0.0004845127, 0.0000004876, 100, 1.35, 1.37, 0.0017428480, 0.0000935876, 1, 0.0001496315, 0.0000002941, 23, 3.60, 0.31
13, 0.0001715025, 0.0000005270, 100, 1.31, 1.32, 0.0007093348, 0.0000000244, 1, 0.0001633828, 0.0000018889, 17, 4.14, 0.95
14, 0.0002598987, 0.0000027037, 100, 1.40, 1.41, 0.0005045433, 0.0000004329, 1, 0.0001974399, 0.0000003163, 47, 1.94, 0.76
15, 0.0004523433, 0.0000037396, 99, 1.42, 1.43, 0.0017992164, 0.0000482934, 1, 0.0001447752, 0.0000000378, 59, 3.98, 0.32
16, 0.0001366520, 0.0000005162, 100, 1.34, 1.36, 0.0007975562, 0.0000000511, 1, 0.0001721019, 0.0000003847, 6, 5.84, 1.26
17, 0.0006898168, 0.0000008877, 99, 1.42, 1.43, 0.0015174065, 0.0002174711, 1, 0.0001625610, 0.0000003090, 62, 2.20, 0.24
