BENCH: resnet152
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
0, 0.0000209803, 0.0000004638, 11, 0.15, 0.17, 0.0000426532, 0.0000000159, 1, 0.0000141961, 0.0000000168, 3, 2.03, 0.68
1, 0.0014471755, 0.0000058024, 96, 2.63, 2.65, 0.0041673136, 0.0000061861, 1, 0.0002127522, 0.0000001441, 98, 2.88, 0.15
2, 0.0010777097, 0.0000045235, 98, 2.04, 2.07, 0.0026033639, 0.0000510083, 1, 0.0002404882, 0.0000000522, 218, 2.42, 0.22
3, 0.0025823730, 0.0000017413, 99, 3.19, 3.22, 0.0223976383, 0.0006466375, 1, 0.0002652938, 0.0000001938, 101, 8.67, 0.10
4, 0.0000153785, 0.0000002073, 11, 0.16, 0.18, 0.0000326626, 0.0000000120, 1, 0.0000228048, 0.0000003968, 3, 2.12, 1.48
5, 0.0004170693, 0.0000048262, 91, 1.72, 1.74, 0.0010672528, 0.0000002780, 1, 0.0001733228, 0.0000001092, 178, 2.56, 0.42
6, 0.0000155017, 0.0000009536, 11, 0.14, 0.16, 0.0000315984, 0.0000004551, 1, 0.0000164771, 0.0000035242, 2, 2.04, 1.06
7, 0.0025815003, 0.0000022686, 96, 2.58, 2.60, 0.0303592334, 0.0012905925, 1, 0.0004659476, 0.0000046650, 193, 11.76, 0.18
8, 0.0010837510, 0.0000001428, 34, 0.76, 0.78, 0.0015042182, 0.0000002741, 1, 0.0000213926, 0.0000000158, 6, 1.39, 0.02
9, 0.0000142952, 0.0000004301, 11, 0.15, 0.17, 0.0000279825, 0.0000003855, 1, 0.0000135658, 0.0000000247, 2, 1.96, 0.95
10, 0.0009887108, 0.0000244554, 100, 1.48, 1.50, 0.0100719321, 0.0000002317, 1, 0.0001255076, 0.0000058631, 12, 10.19, 0.13
11, 0.0000317649, 0.0000003982, 11, 0.14, 0.17, 0.0000317649, 0.0000003982, 1, 0.0000206855, 0.0000000087, 2, 1.00, 0.65
12, 0.0000281372, 0.0000002361, 11, 0.17, 0.19, 0.0000289913, 0.0000000151, 1, 0.0000223748, 0.0000001133, 2, 1.03, 0.80
13, 0.0015711610, 0.0000104055, 100, 2.02, 2.04, 0.0047918832, 0.0000010606, 1, 0.0001366210, 0.0000000383, 96, 3.05, 0.09
14, 0.0000217503, 0.0000004472, 11, 0.14, 0.16, 0.0000353810, 0.0000101045, 1, 0.0000299472, 0.0000000071, 2, 1.63, 1.38
15, 0.0049633187, 0.0000010097, 93, 2.04, 2.06, 0.0306524328, 0.0000065115, 1, 0.0002761217, 0.0000005345, 565, 6.18, 0.06
16, 0.0000152137, 0.0000004230, 11, 0.14, 0.16, 0.0000327230, 0.0000001345, 1, 0.0000327230, 0.0000001345, 1, 2.15, 2.15
17, 0.0003032692, 0.0000014891, 100, 2.29, 2.31, 0.0052168761, 0.0000012212, 1, 0.0001810306, 0.0000054279, 217, 17.20, 0.60
18, 0.0000286418, 0.0000003814, 11, 0.18, 0.20, 0.0000337674, 0.0000000125, 1, 0.0000260009, 0.0000000184, 2, 1.18, 0.91
19, 0.0020627267, 0.0000056053, 99, 2.21, 2.23, 0.0536899213, 0.0000171699, 1, 0.0005772185, 0.0000005633, 220, 26.03, 0.28
20, 0.0013731660, 0.0000036564, 86, 2.40, 2.42, 0.0100502490, 0.0000087943, 1, 0.0004229541, 0.0000001242, 291, 7.32, 0.31
21, 0.0000198670, 0.0000008388, 11, 0.15, 0.17, 0.0000361488, 0.0000003105, 1, 0.0000205377, 0.0000000312, 2, 1.82, 1.03
