BENCH: resnet101
layer, grid-300 exec, grid-300 tuning, grid-300 trials
0, 0.00061601, 144.22, 100
1, 0.00161679, 149.73, 100
2, 0.00018727, 141.01, 100
3, 0.00003185, 56.22, 36
4, 0.00000524, 134.64, 100
5, 0.00125224, 144.27, 100
6, 0.00132869, 148.16, 100
7, 0.00067903, 147.10, 100
8, 0.00134383, 145.86, 100
9, 0.00192703, 153.81, 100
10, 0.00065320, 145.89, 100
11, 0.00074693, 144.96, 100
12, 0.00057287, 150.95, 100
13, 0.00136020, 145.60, 100
14, 0.00161337, 150.12, 100
15, 0.00000455, 152.49, 100
16, 0.00074183, 141.97, 100
17, 0.00062168, 147.04, 100
18, 0.00199487, 154.22, 100
19, 0.00172407, 150.55, 100
20, 0.00130467, 145.66, 100
21, 0.00069894, 143.63, 100
22, 0.00066537, 143.14, 100
23, 0.00068303, 145.41, 100
24, 0.00000501, 49.29, 36
25, 0.00170041, 147.55, 100
26, 0.00175090, 149.66, 100
27, 0.00138852, 145.01, 100
