BENCH: vgg16
layer, grid-300 exec, grid-300 tuning, grid-300 trials
0, 0.01971190, 179.98, 100
1, 0.02145213, 184.99, 100
2, 0.00037433, 147.86, 100
3, 0.00000501, 48.44, 36
4, 0.00563359, 160.21, 100
5, 0.00961616, 163.78, 100
6, 0.00049311, 170.83, 100
7, 0.00001206, 54.61, 40
8, 0.00038569, 151.44, 100
9, 0.00310347, 328.17, 100
10, 0.00000455, 147.60, 100
11, 0.02053740, 182.52, 100
12, 0.01946857, 181.92, 100
13, 0.00000317, 48.02, 36
14, 0.00000523, 133.53, 100
15, 0.01012200, 165.62, 100
16, 0.00943888, 165.72, 100
17, 0.00002185, 56.26, 40
18, 0.00000387, 48.29, 36
