BENCH: inception_v3
layer, grid-300 exec, grid-300 tuning, grid-300 trials
0, 0.00011899, 139.96, 100
1, 0.00028080, 143.82, 100
2, 0.00065329, 146.54, 100
3, 0.00000933, 134.85, 100
4, 0.00019399, 142.34, 100
5, 0.00035817, 141.88, 100
6, 0.00187403, 143.67, 100
7, 0.00024724, 143.89, 100
8, 0.00000330, 48.04, 36
9, 0.00003184, 56.39, 36
10, 0.00017545, 144.72, 100
11, 0.00017510, 140.24, 100
12, 0.00052383, 147.80, 100
13, 0.00043783, 145.65, 100
14, 0.00000523, 134.70, 100
15, 0.00049573, 147.26, 100
16, 0.00000592, 134.66, 100
17, 0.00282453, 150.43, 100
18, 0.00066810, 146.09, 100
19, 0.00023336, 143.08, 100
20, 0.00026044, 142.39, 100
21, 0.00000865, 135.09, 100
22, 0.00054999, 146.20, 100
23, 0.00019115, 142.11, 100
24, 0.00014198, 140.24, 100
25, 0.00032872, 147.26, 100
26, 0.00000421, 48.35, 36
27, 0.00005939, 140.38, 100
28, 0.00007213, 138.10, 100
29, 0.00000466, 153.00, 100
30, 0.00044112, 147.70, 100
31, 0.00000546, 134.65, 100
32, 0.00081567, 150.26, 100
33, 0.00022005, 141.43, 100
34, 0.00033462, 147.14, 100
35, 0.00048934, 147.84, 100
36, 0.00019069, 142.14, 100
37, 0.00029217, 142.94, 100
38, 0.00212537, 149.12, 100
39, 0.00052258, 144.78, 100
40, 0.00000749, 134.39, 100
41, 0.00015360, 139.39, 100
42, 0.00009615, 139.67, 100
43, 0.00014928, 141.50, 100
44, 0.00000728, 134.55, 100
45, 0.00054591, 144.89, 100
46, 0.00026476, 143.86, 100
47, 0.00302364, 150.61, 100
48, 0.00035499, 144.01, 100
49, 0.00000489, 48.44, 36
50, 0.00022382, 144.32, 100
51, 0.00032232, 142.89, 100
52, 0.00000330, 48.15, 36
53, 0.00026056, 144.99, 100
54, 0.00074399, 147.32, 100
55, 0.00012515, 140.27, 100
