BENCH: alexnet
layer, grid-300 exec, grid-300 tuning, grid-300 trials
0, 0.00289257, 152.16, 100
1, 0.00037421, 147.57, 100
2, 0.00000319, 53.38, 40
3, 0.00164079, 150.47, 100
4, 0.00113526, 210.15, 100
5, 0.00000432, 149.39, 100
6, 0.00246158, 151.77, 100
7, 0.00000523, 133.27, 100
8, 0.00041210, 148.74, 100
9, 0.00000353, 48.03, 36
10, 0.00000353, 48.02, 36
11, 0.00159685, 149.16, 100
12, 0.00049306, 171.53, 100
