BENCH: squeezenet
layer, grid-300 exec, grid-300 tuning, grid-300 trials
0, 0.00005700, 139.20, 100
1, 0.00113311, 145.67, 100
2, 0.00000352, 48.34, 36
3, 0.00000626, 135.53, 100
4, 0.00011082, 138.69, 100
5, 0.00007736, 140.33, 100
6, 0.00013321, 140.39, 100
7, 0.00006736, 139.96, 100
8, 0.00004619, 142.80, 100
9, 0.00001809, 141.45, 100
10, 0.00009148, 145.21, 100
11, 0.00000443, 150.90, 100
12, 0.00024610, 145.78, 100
13, 0.00014564, 146.93, 100
14, 0.00000387, 48.55, 36
15, 0.00004436, 142.55, 100
16, 0.00041015, 148.04, 100
17, 0.00038320, 148.17, 100
18, 0.00002901, 141.40, 100
19, 0.00009978, 140.60, 100
20, 0.00000501, 48.93, 36
21, 0.00004278, 140.27, 100
22, 0.00006747, 141.11, 100
