BENCH: densenet169
layer, grid-300 exec, grid-300 std, grid-300 tuning, grid-300 trials
0, 0.00010989, 0.00000003, 142.14, 100
1, 0.00102935, 0.00000116, 144.61, 100
2, 0.00013847, 0.00000032, 141.91, 100
3, 0.00031152, 0.00000105, 142.66, 100
4, 0.00017235, 0.00000025, 142.53, 100
5, 0.00208860, 0.00000890, 144.67, 100
6, 0.00009295, 0.00000017, 142.10, 100
7, 0.00206234, 0.00000182, 145.16, 100
8, 0.00019435, 0.00000059, 142.67, 100
9, 0.00000556, 0.00000041, 134.64, 100
10, 0.00027170, 0.00000048, 142.55, 100
11, 0.00012265, 0.00000016, 142.24, 100
12, 0.00039617, 0.00000032, 143.03, 100
13, 0.00034485, 0.00000096, 142.76, 100
14, 0.00061521, 0.00000042, 143.63, 100
15, 0.00034077, 0.00000017, 143.69, 100
16, 0.00014711, 0.00000056, 142.41, 100
17, 0.00024280, 0.00000058, 141.09, 100
18, 0.00002514, 0.00000016, 54.58, 36
19, 0.00044610, 0.00000046, 143.05, 100
20, 0.00125155, 0.00000126, 143.33, 100
21, 0.00010354, 0.00000043, 141.94, 100
22, 0.00000533, 0.00000015, 134.67, 100
23, 0.00022505, 0.00000043, 142.17, 100
24, 0.00015859, 0.00000030, 142.10, 100
25, 0.00019105, 0.00000057, 142.47, 100
26, 0.00011467, 0.00000047, 142.17, 100
27, 0.00014552, 0.00000016, 142.36, 100
28, 0.00017158, 0.00000016, 142.74, 100
29, 0.00040311, 0.00000056, 143.21, 100
30, 0.00086640, 0.00000031, 144.42, 100
31, 0.00009739, 0.00000016, 141.76, 100
32, 0.00020355, 0.00000043, 141.99, 100
33, 0.00012912, 0.00000018, 142.31, 100
34, 0.00028410, 0.00000070, 142.42, 100
35, 0.00035202, 0.00000063, 142.91, 100
36, 0.00066628, 0.00000000, 143.78, 100
37, 0.00000590, 0.00000041, 134.49, 100
38, 0.00015758, 0.00000042, 142.44, 100
39, 0.00043768, 0.00000085, 143.21, 100
40, 0.00023769, 0.00000058, 142.68, 100
41, 0.00134360, 0.00000016, 144.12, 100
42, 0.00048469, 0.00000028, 143.02, 100
43, 0.00011730, 0.00000032, 142.21, 100
44, 0.00000443, 0.00000027, 149.71, 100
45, 0.00057310, 0.00000097, 151.08, 100
46, 0.00019136, 0.00000015, 142.47, 100
47, 0.00031003, 0.00000031, 142.77, 100
48, 0.00017805, 0.00000015, 142.78, 100
49, 0.00011731, 0.00000016, 142.29, 100
50, 0.00014860, 0.00000042, 142.45, 100
51, 0.00017783, 0.00000028, 142.63, 100
52, 0.00014347, 0.00000016, 141.56, 100
53, 0.00041131, 0.00000101, 143.28, 100
54, 0.00020378, 0.00000000, 142.67, 100
55, 0.00010365, 0.00000032, 141.93, 100
56, 0.00012993, 0.00000016, 142.20, 100
57, 0.00030902, 0.00000113, 141.45, 100
58, 0.00067880, 0.00000295, 143.89, 100
59, 0.00009069, 0.00000017, 141.93, 100
60, 0.00036818, 0.00000064, 143.05, 100
61, 0.00008794, 0.00000015, 142.16, 100
62, 0.00017294, 0.00000043, 142.40, 100
63, 0.00023563, 0.00000016, 141.56, 100
64, 0.00024530, 0.00000043, 142.62, 100
65, 0.00032347, 0.00000064, 142.95, 100
66, 0.00053042, 0.00000002, 143.20, 100
67, 0.00012447, 0.00000017, 142.06, 100
68, 0.00000705, 0.00000016, 134.84, 100
69, 0.00019580, 0.00000031, 142.57, 100
70, 0.00035180, 0.00000016, 142.57, 100
71, 0.00054532, 0.00000070, 142.07, 100
72, 0.00015097, 0.00000039, 142.53, 100
73, 0.00110740, 0.00000113, 144.21, 100
74, 0.00021174, 0.00000032, 142.75, 100
75, 0.00010730, 0.00000018, 142.50, 100
76, 0.00017953, 0.00000046, 142.48, 100
77, 0.00013382, 0.00000026, 140.55, 100
78, 0.00030173, 0.00000047, 142.61, 100
79, 0.00042277, 0.00000043, 143.01, 100
80, 0.00016428, 0.00000017, 142.58, 100
81, 0.00038524, 0.00000089, 142.80, 100
82, 0.00009091, 0.00000043, 140.73, 100
83, 0.00017783, 0.00000000, 142.51, 100
84, 0.00051652, 0.00000115, 144.44, 100
85, 0.00025690, 0.00000069, 142.69, 100
86, 0.00034190, 0.00000042, 143.05, 100
87, 0.00000501, 0.00000016, 49.39, 36
88, 0.00057321, 0.00000016, 143.48, 100
89, 0.00013754, 0.00000026, 142.08, 100
90, 0.00021276, 0.00000043, 142.29, 100
91, 0.00026704, 0.00000016, 142.42, 100
92, 0.00039878, 0.00000043, 142.79, 100
93, 0.00020389, 0.00000032, 142.60, 100
94, 0.00015475, 0.00000018, 142.54, 100
95, 0.00018261, 0.00000027, 142.58, 100
96, 0.00021513, 0.00000013, 142.83, 100
