BENCH: mnasnet1_0
layer, grid-300 exec, grid-300 tuning, grid-300 trials
0, 0.00003777, 146.32, 100
1, 0.00013631, 139.73, 100
2, 0.00016509, 142.74, 100
3, 0.00017146, 142.53, 100
4, 0.00006451, 144.95, 100
5, 0.00009466, 142.62, 100
6, 0.00001104, 169.49, 100
7, 0.00004141, 141.26, 100
8, 0.00027294, 144.34, 100
9, 0.00002833, 170.90, 100
10, 0.00003300, 139.90, 100
11, 0.00003439, 141.79, 100
12, 0.00026874, 143.27, 100
13, 0.00001365, 174.02, 100
14, 0.00013983, 141.69, 100
15, 0.00000453, 150.26, 100
16, 0.00005402, 141.24, 100
17, 0.00007200, 143.47, 100
18, 0.00002241, 143.16, 100
19, 0.00002036, 138.25, 100
20, 0.00001591, 176.89, 100
21, 0.00016781, 143.14, 100
22, 0.00000762, 146.09, 100
23, 0.00002399, 150.57, 100
24, 0.00008522, 141.33, 100
25, 0.00001274, 169.18, 100
26, 0.00011958, 142.85, 100
27, 0.00007350, 141.92, 100
28, 0.00004744, 139.77, 100
29, 0.00002458, 166.28, 100
30, 0.00009375, 141.72, 100
31, 0.00000988, 176.13, 100
32, 0.00013971, 141.36, 100
33, 0.00003969, 143.41, 100
34, 0.00002219, 171.88, 100
35, 0.00000490, 34.42, 36
