BENCH: shufflenet
layer, grid-300 exec, grid-300 tuning, grid-300 trials
0, 0.00000569, 145.58, 100
1, 0.00005791, 141.95, 100
2, 0.00000943, 142.08, 100
3, 0.00007622, 142.18, 100
4, 0.00000625, 160.20, 100
5, 0.00020789, 143.69, 100
6, 0.00002096, 141.99, 100
7, 0.00000501, 169.24, 100
8, 0.00006121, 143.15, 100
9, 0.00000440, 150.32, 100
10, 0.00006406, 143.94, 100
11, 0.00000887, 158.80, 100
12, 0.00000523, 160.45, 100
13, 0.00001627, 141.94, 100
14, 0.00001035, 153.06, 100
15, 0.00002902, 142.78, 100
16, 0.00003083, 141.74, 100
17, 0.00000375, 49.19, 36
18, 0.00000591, 167.94, 100
19, 0.00000489, 34.75, 36
