BENCH: densenet121
layer, grid-300 exec, grid-300 tuning, grid-300 trials
0, 0.00102946, 144.98, 100
1, 0.00031174, 143.09, 100
2, 0.00209066, 144.55, 100
3, 0.00008101, 141.90, 100
4, 0.00010968, 142.03, 100
5, 0.00138774, 143.28, 100
6, 0.00019456, 142.24, 100
7, 0.00000546, 134.34, 100
8, 0.00027170, 142.52, 100
9, 0.00034493, 142.86, 100
10, 0.00061520, 143.42, 100
11, 0.00034190, 143.60, 100
12, 0.00014723, 142.21, 100
13, 0.00022926, 142.39, 100
14, 0.00001445, 79.85, 40
15, 0.00044611, 143.18, 100
16, 0.00125178, 143.08, 100
17, 0.00010923, 140.49, 100
18, 0.00000523, 134.91, 100
19, 0.00022505, 142.30, 100
20, 0.00013004, 142.31, 100
21, 0.00008795, 142.25, 100
22, 0.00086539, 144.74, 100
23, 0.00020343, 142.35, 100
24, 0.00011469, 142.11, 100
25, 0.00028422, 142.50, 100
26, 0.00006849, 141.78, 100
27, 0.00066627, 143.58, 100
28, 0.00000579, 134.88, 100
29, 0.00009739, 142.41, 100
30, 0.00015757, 142.32, 100
31, 0.00023780, 142.42, 100
32, 0.00134349, 144.03, 100
33, 0.00048447, 143.18, 100
34, 0.00011719, 141.98, 100
35, 0.00000444, 150.37, 100
36, 0.00057286, 151.03, 100
37, 0.00031002, 142.55, 100
38, 0.00017806, 142.06, 100
39, 0.00014347, 141.21, 100
40, 0.00009089, 142.11, 100
41, 0.00011742, 141.19, 100
42, 0.00029116, 142.68, 100
43, 0.00067777, 142.76, 100
44, 0.00007405, 142.05, 100
45, 0.00009079, 141.67, 100
46, 0.00010367, 141.98, 100
47, 0.00017294, 142.23, 100
48, 0.00024519, 142.81, 100
49, 0.00023575, 141.62, 100
50, 0.00032336, 143.23, 100
51, 0.00053042, 143.30, 100
52, 0.00012447, 142.04, 100
53, 0.00000705, 134.68, 100
54, 0.00035180, 142.55, 100
55, 0.00054523, 142.06, 100
56, 0.00118417, 145.52, 100
57, 0.00009284, 142.25, 100
58, 0.00012245, 142.30, 100
59, 0.00030196, 143.05, 100
60, 0.00007705, 142.28, 100
61, 0.00010731, 142.15, 100
62, 0.00017774, 142.32, 100
63, 0.00025668, 142.57, 100
64, 0.00051473, 142.62, 100
65, 0.00034202, 142.68, 100
66, 0.00000512, 49.36, 36
67, 0.00057320, 143.39, 100
68, 0.00013755, 142.39, 100
69, 0.00021286, 142.87, 100
70, 0.00026715, 141.85, 100
71, 0.00039867, 143.35, 100
72, 0.00012914, 142.36, 100
