BENCH: resnet50
layer, grid-300 exec, grid-300 tuning, grid-300 trials
0, 0.00061622, 144.29, 100
1, 0.00161744, 149.67, 100
2, 0.00018784, 141.43, 100
3, 0.00018638, 143.97, 100
4, 0.00000523, 135.18, 100
5, 0.00125199, 144.61, 100
6, 0.00133106, 148.26, 100
7, 0.00068026, 147.64, 100
8, 0.00134360, 145.75, 100
9, 0.00192567, 154.14, 100
10, 0.00065219, 146.11, 100
11, 0.00074742, 145.41, 100
12, 0.00057276, 151.23, 100
13, 0.00136023, 145.65, 100
14, 0.00161394, 150.65, 100
15, 0.00000442, 150.09, 100
16, 0.00074320, 142.19, 100
17, 0.00062145, 147.31, 100
18, 0.00199520, 154.55, 100
19, 0.00172417, 150.48, 100
20, 0.00130319, 145.96, 100
21, 0.00069883, 143.66, 100
22, 0.00066514, 143.65, 100
23, 0.00068301, 145.64, 100
24, 0.00000510, 49.46, 36
25, 0.00170097, 147.71, 100
26, 0.00175068, 150.14, 100
27, 0.00138877, 145.23, 100
