BENCH: vgg11
layer, grid-300 exec, grid-300 tuning, grid-300 trials
0, 0.02052753, 182.52, 100
1, 0.00944845, 165.81, 100
2, 0.00005290, 67.63, 36
3, 0.00000498, 48.68, 36
4, 0.01011177, 165.63, 100
5, 0.00049344, 171.69, 100
6, 0.00000479, 147.92, 100
7, 0.00038579, 151.85, 100
8, 0.00309521, 327.65, 100
9, 0.00001206, 54.61, 40
10, 0.01975537, 179.62, 100
11, 0.00000328, 53.34, 40
12, 0.00000535, 133.73, 100
13, 0.00570571, 160.56, 100
14, 0.00961115, 164.03, 100
15, 0.00000385, 48.35, 36
16, 0.00002185, 56.20, 40
