BENCH: vgg19
layer, grid-300 exec, grid-300 tuning, grid-300 trials
0, 0.01971790, 180.07, 100
1, 0.02152010, 184.96, 100
2, 0.00005312, 67.82, 36
3, 0.00000489, 48.60, 36
4, 0.00657294, 160.58, 100
5, 0.00961740, 163.61, 100
6, 0.00049311, 171.61, 100
7, 0.00001217, 54.59, 40
8, 0.00038568, 151.12, 100
9, 0.00310097, 325.76, 100
10, 0.00000457, 152.94, 100
11, 0.02049013, 182.61, 100
12, 0.01948513, 182.42, 100
13, 0.00000329, 53.54, 40
14, 0.00000534, 133.84, 100
15, 0.01013127, 165.72, 100
16, 0.00943060, 165.71, 100
17, 0.00002175, 55.94, 40
18, 0.00000387, 48.21, 36
