BENCH: resnet152
layer, grid-300 exec, grid-300 tuning, grid-300 trials
0, 0.00061645, 143.60, 100
1, 0.00161653, 149.29, 100
2, 0.00018751, 140.76, 100
3, 0.00003185, 56.58, 36
4, 0.00000535, 134.83, 100
5, 0.00125233, 144.34, 100
6, 0.00133223, 148.38, 100
7, 0.00068130, 147.37, 100
8, 0.00134372, 145.73, 100
9, 0.00192658, 153.63, 100
10, 0.00065229, 145.80, 100
11, 0.00074775, 144.71, 100
12, 0.00057151, 150.81, 100
13, 0.00135977, 145.20, 100
14, 0.00161553, 150.06, 100
15, 0.00000432, 149.90, 100
16, 0.00074295, 142.37, 100
17, 0.00062143, 147.47, 100
18, 0.00199475, 154.72, 100
19, 0.00172373, 150.93, 100
20, 0.00130321, 146.15, 100
21, 0.00069871, 143.72, 100
22, 0.00066550, 143.30, 100
23, 0.00068312, 145.16, 100
24, 0.00000501, 49.33, 36
25, 0.00170064, 147.26, 100
26, 0.00175115, 149.74, 100
27, 0.00138886, 145.54, 100
