BENCH: resnet34
layer, grid-300 exec, grid-300 tuning, grid-300 trials
0, 0.00009125, 142.85, 100
1, 0.00172453, 150.55, 100
2, 0.00170065, 147.14, 100
3, 0.00003971, 140.11, 100
4, 0.00000525, 134.97, 100
5, 0.00170257, 149.56, 100
6, 0.00199805, 156.02, 100
7, 0.00087495, 147.74, 100
8, 0.00161587, 151.75, 100
9, 0.00000442, 149.67, 100
10, 0.00199463, 154.37, 100
11, 0.00057365, 150.92, 100
12, 0.00009717, 142.31, 100
13, 0.00161460, 150.50, 100
14, 0.00008843, 141.63, 100
15, 0.00097289, 150.16, 100
16, 0.00172475, 152.04, 100
17, 0.00000501, 49.25, 36
18, 0.00081192, 147.99, 100
