BENCH: squeezenet
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, ga-300 exec, ga-300 tuning, ga-300 trials, exec speedup, tuning speedup
0, 0.00004937, 16.90, 18, 0.00015824, 105.16, 100, 0.31, 0.16
1, 0.00001867, 56.50, 46, 0.00003329, 138.14, 100, 0.56, 0.41
2, 0.00018671, 10.43, 11, 0.00042685, 340.70, 100, 0.44, 0.03
3, 0.00003018, 44.65, 43, 0.00030734, 224.91, 100, 0.10, 0.20
4, 0.00000624, 4.91, 6, 0.00000605, 15.66, 16, 1.03, 0.31
5, 0.00005124, 30.03, 30, 0.00046390, 115.76, 100, 0.11, 0.26
6, 0.00000608, 1.06, 2, 0.00000573, 4.23, 4, 1.06, 0.25
7, 0.00004697, 69.80, 40, 0.00009853, 168.88, 100, 0.48, 0.41
8, 0.00083639, 18.72, 19, 0.00224943, 125.19, 100, 0.37, 0.15
9, 0.00025107, 68.27, 57, 0.00142323, 247.37, 100, 0.18, 0.28
10, 0.00005644, 28.14, 29, 0.00011686, 117.53, 100, 0.48, 0.24
11, 0.00005840, 55.02, 43, 0.00011279, 121.76, 100, 0.52, 0.45
12, 0.00014480, 54.14, 44, 0.00034505, 345.15, 100, 0.42, 0.16
13, 0.00000607, 40.64, 42, 0.00000805, 98.13, 100, 0.75, 0.41
14, 0.00023554, 21.86, 20, 0.00228741, 308.35, 100, 0.10, 0.07
15, 0.00001120, 8.88, 10, 0.00001125, 63.43, 64, 1.00, 0.14
16, 0.00008750, 68.24, 43, 0.00028835, 193.24, 100, 0.30, 0.35
17, 0.00034813, 42.05, 34, 0.00166844, 394.72, 100, 0.21, 0.11
18, 0.00001818, 8.96, 10, 0.00002462, 63.73, 64, 0.74, 0.14
19, 0.00008446, 29.85, 30, 0.00037236, 127.27, 100, 0.23, 0.23
20, 0.00008030, 68.84, 43, 0.00032629, 133.59, 100, 0.25, 0.52
21, 0.00002920, 61.35, 48, 0.00029136, 137.98, 100, 0.10, 0.44
22, 0.00003141, 62.31, 50, 0.00011455, 131.52, 100, 0.27, 0.47
