BENCH: inception_v3
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, ga-300 exec, ga-300 tuning, ga-300 trials, exec speedup, tuning speedup
0, 0.00009940, 64.61, 60, 0.00076447, 326.90, 100, 0.13, 0.20
1, 0.00005457, 68.72, 67, 0.00023103, 141.07, 100, 0.24, 0.49
2, 0.00010651, 10.71, 11, 0.00093412, 246.42, 100, 0.11, 0.04
3, 0.00002108, 15.25, 17, 0.00002020, 60.99, 64, 1.04, 0.25
4, 0.00043593, 46.91, 43, 0.00103608, 153.50, 100, 0.42, 0.31
5, 0.00010647, 52.33, 43, 0.00016825, 188.12, 100, 0.63, 0.28
6, 0.00023972, 66.25, 38, 0.00054015, 151.23, 100, 0.44, 0.44
7, 0.00000722, 9.53, 11, 0.00000646, 75.87, 80, 1.12, 0.13
8, 0.00004224, 127.69, 56, 9999.00000000, 225.65, 100, 0.00, 0.57
9, 0.00032854, 54.32, 43, 0.00043674, 180.22, 100, 0.75, 0.30
10, 0.00022989, 63.33, 53, 0.00039833, 143.81, 100, 0.58, 0.44
11, 0.00000337, 0.98, 2, 0.00000390, 3.95, 4, 0.86, 0.25
12, 0.00031563, 50.69, 43, 0.00053570, 212.97, 100, 0.59, 0.24
13, 0.00083988, 35.16, 35, 0.01593307, 316.84, 100, 0.05, 0.11
14, 0.00000806, 9.66, 10, 0.00002487, 67.43, 64, 0.32, 0.14
15, 0.00039558, 66.63, 43, 0.00185088, 171.63, 100, 0.21, 0.39
16, 0.00011682, 52.88, 43, 0.00029436, 183.83, 100, 0.40, 0.29
17, 0.00005701, 73.95, 57, 0.00035699, 223.83, 100, 0.16, 0.33
18, 0.00024322, 44.62, 43, 0.00045809, 179.04, 100, 0.53, 0.25
19, 0.00015054, 54.59, 47, 0.00028748, 134.44, 100, 0.52, 0.41
20, 0.00003848, 8.86, 10, 0.00003899, 15.76, 16, 0.99, 0.56
21, 0.00029644, 44.13, 43, 0.00113343, 212.20, 100, 0.26, 0.21
22, 0.00016098, 40.17, 38, 0.00017030, 215.84, 100, 0.95, 0.19
23, 0.00002914, 12.42, 14, 0.00003932, 77.77, 80, 0.74, 0.16
24, 0.00000750, 27.24, 29, 0.00000803, 95.51, 100, 0.93, 0.29
25, 0.00010844, 69.79, 58, 0.00048176, 121.51, 100, 0.23, 0.57
26, 0.00135942, 39.84, 36, 0.00862688, 229.44, 100, 0.16, 0.17
27, 0.00174871, 37.79, 35, 0.01159093, 536.51, 100, 0.15, 0.07
28, 0.00016546, 41.75, 43, 0.00072741, 262.54, 100, 0.23, 0.16
29, 0.00013331, 64.95, 55, 0.00197430, 260.08, 100, 0.07, 0.25
30, 0.00000572, 9.65, 11, 0.00000566, 77.70, 80, 1.01, 0.12
31, 0.00042875, 62.13, 29, 0.00070573, 344.72, 100, 0.61, 0.18
32, 0.00009346, 50.82, 43, 0.00020768, 141.55, 100, 0.45, 0.36
33, 0.00044831, 47.35, 43, 0.00278061, 222.31, 100, 0.16, 0.21
34, 0.00039589, 56.30, 43, 0.00081310, 214.01, 100, 0.49, 0.26
35, 0.00009563, 58.61, 51, 0.00208060, 186.12, 100, 0.05, 0.31
36, 0.00027114, 42.81, 43, 0.00068295, 402.42, 100, 0.40, 0.11
37, 0.00001711, 8.65, 10, 0.00001079, 61.85, 64, 1.59, 0.14
38, 0.00041310, 72.04, 43, 0.00082178, 268.91, 100, 0.50, 0.27
39, 0.00022769, 59.86, 49, 0.00070528, 133.85, 100, 0.32, 0.45
40, 0.00026692, 42.73, 43, 0.00021717, 133.81, 100, 1.23, 0.32
41, 0.00013209, 69.55, 43, 0.00065762, 161.92, 100, 0.20, 0.43
42, 0.00026364, 44.42, 45, 0.00108684, 180.76, 100, 0.24, 0.25
43, 0.00044445, 51.25, 36, 0.00134726, 197.71, 100, 0.33, 0.26
44, 0.00000928, 17.48, 19, 0.00001310, 78.21, 80, 0.71, 0.22
45, 0.00033479, 47.39, 32, 0.00137739, 179.27, 100, 0.24, 0.26
46, 0.00000443, 8.92, 10, 0.00001001, 63.22, 64, 0.44, 0.14
47, 0.00011026, 77.02, 61, 0.00017908, 152.35, 100, 0.62, 0.51
48, 0.00002843, 9.60, 10, 0.00004537, 68.03, 64, 0.63, 0.14
49, 0.00288536, 39.82, 36, 0.00827116, 365.83, 100, 0.35, 0.11
50, 0.00024591, 43.67, 43, 0.00041501, 127.52, 100, 0.59, 0.34
51, 0.00017350, 48.64, 46, 0.00093679, 107.29, 100, 0.19, 0.45
52, 0.00018726, 48.18, 45, 0.00048446, 178.20, 100, 0.39, 0.27
53, 0.00010522, 113.92, 78, 0.00061408, 187.31, 100, 0.17, 0.61
54, 0.00014352, 48.32, 33, 0.00021063, 206.77, 100, 0.68, 0.23
55, 0.00052716, 39.32, 36, 0.00382721, 294.76, 100, 0.14, 0.13
