BENCH: resnet18
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, ga-300 exec, ga-300 tuning, ga-300 trials, exec speedup, tuning speedup
0, 0.00005910, 36.02, 37, 0.00009086, 113.83, 100, 0.65, 0.32
1, 0.00102064, 28.91, 21, 0.00385427, 328.14, 100, 0.26, 0.09
2, 0.00091932, 45.55, 46, 0.00125281, 126.41, 100, 0.73, 0.36
3, 0.00001248, 116.70, 55, 0.00004485, 195.61, 100, 0.28, 0.60
4, 0.00000220, 0.97, 2, 0.00000221, 3.90, 4, 0.99, 0.25
5, 0.00101817, 48.29, 34, 0.00147618, 185.34, 100, 0.69, 0.26
6, 0.00096477, 261.27, 39, 0.00131121, 248.82, 100, 0.74, 1.05
7, 0.00060674, 60.96, 41, 0.00120058, 219.33, 100, 0.51, 0.28
8, 0.00006514, 65.82, 57, 0.00020258, 335.75, 100, 0.32, 0.20
9, 0.00009588, 81.51, 60, 0.00007327, 182.68, 100, 1.31, 0.45
10, 0.00000658, 40.32, 42, 0.00000775, 98.49, 100, 0.85, 0.41
11, 0.00051051, 86.83, 32, 0.00171796, 324.69, 100, 0.30, 0.27
12, 0.00095695, 220.85, 39, 0.00242462, 275.50, 100, 0.39, 0.80
13, 0.00094592, 50.97, 34, 0.00143663, 189.46, 100, 0.66, 0.27
14, 0.00089840, 67.17, 35, 0.00193356, 371.90, 100, 0.46, 0.18
15, 0.00091542, 57.21, 51, 0.00122923, 126.72, 100, 0.74, 0.45
16, 0.00001835, 23.05, 24, 0.00002343, 64.82, 64, 0.78, 0.36
17, 0.00060644, 55.78, 53, 0.00382223, 167.30, 100, 0.16, 0.33
18, 0.00095644, 51.43, 34, 0.00318624, 213.71, 100, 0.30, 0.24
