BENCH: vgg11
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, ga-300 exec, ga-300 tuning, ga-300 trials, exec speedup, tuning speedup
0, 0.00000698, 0.97, 2, 0.00000686, 4.13, 4, 1.02, 0.23
1, 0.00086586, 35.70, 32, 0.00125894, 131.59, 100, 0.69, 0.27
2, 0.01484917, 446.36, 36, 0.01801867, 647.21, 100, 0.82, 0.69
3, 0.00009767, 77.90, 37, 0.00041652, 204.00, 100, 0.23, 0.38
4, 0.00001386, 0.97, 2, 0.00002418, 4.65, 4, 0.57, 0.21
5, 0.00635086, 124.00, 47, 0.01319933, 364.14, 100, 0.48, 0.34
6, 0.00345552, 45.03, 35, 0.01342510, 253.67, 100, 0.26, 0.18
7, 0.00163855, 123.08, 59, 0.01051367, 193.87, 100, 0.16, 0.63
8, 0.00001026, 47.70, 50, 0.00000810, 99.11, 100, 1.27, 0.48
9, 0.00714733, 110.86, 34, 0.02332803, 469.25, 100, 0.31, 0.24
10, 0.01149207, 209.25, 59, 0.06207567, 361.96, 100, 0.19, 0.58
11, 0.00002674, 0.98, 2, 0.00009416, 6.40, 4, 0.28, 0.15
12, 0.00000464, 1.03, 2, 0.00000450, 4.13, 4, 1.03, 0.25
13, 0.01430810, 64.93, 34, 0.03110277, 527.25, 100, 0.46, 0.12
14, 0.00000178, 0.96, 2, 0.00000176, 3.83, 4, 1.01, 0.25
15, 0.00746909, 145.71, 39, 0.02068567, 467.23, 100, 0.36, 0.31
16, 0.00005877, 1.19, 2, 0.00017019, 4.76, 4, 0.35, 0.25
