BENCH: resnet50
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, ga-300 exec, ga-300 tuning, ga-300 trials, exec speedup, tuning speedup
0, 0.00078221, 83.67, 58, 0.00210037, 190.09, 100, 0.37, 0.44
1, 0.00088676, 55.94, 45, 0.00939979, 249.15, 100, 0.09, 0.22
2, 0.00049160, 91.00, 45, 0.00079045, 187.72, 100, 0.62, 0.48
3, 0.00089413, 36.32, 21, 0.00345304, 241.95, 100, 0.26, 0.15
4, 0.00043608, 65.45, 55, 0.00066833, 145.99, 100, 0.65, 0.45
5, 0.00100146, 50.26, 36, 0.00487471, 321.32, 100, 0.21, 0.16
6, 0.00044835, 40.99, 39, 0.00060394, 139.01, 100, 0.74, 0.29
7, 0.00005266, 70.42, 37, 0.00241945, 211.30, 100, 0.02, 0.33
8, 0.00100213, 49.35, 36, 0.00270827, 265.67, 100, 0.37, 0.19
9, 0.00000519, 0.96, 2, 0.00000478, 3.84, 4, 1.08, 0.25
10, 0.00012645, 47.41, 41, 0.00042707, 138.62, 100, 0.30, 0.34
11, 0.00083640, 70.62, 45, 0.00551649, 258.20, 100, 0.15, 0.27
12, 0.00045119, 70.86, 56, 0.00102319, 233.58, 100, 0.44, 0.30
13, 0.00050358, 60.51, 44, 0.00121905, 224.20, 100, 0.41, 0.27
14, 0.00000955, 46.77, 49, 0.00000757, 97.11, 100, 1.26, 0.48
15, 0.00095677, 42.16, 34, 0.00135648, 337.78, 100, 0.71, 0.12
16, 0.00076379, 73.56, 46, 0.00669880, 164.36, 100, 0.11, 0.45
17, 0.00050533, 50.54, 44, 0.00073770, 156.12, 100, 0.69, 0.32
18, 0.00104542, 42.87, 36, 0.00145455, 290.31, 100, 0.72, 0.15
19, 0.00093217, 57.35, 39, 0.00645964, 256.45, 100, 0.14, 0.22
20, 0.00102004, 90.60, 36, 0.00136922, 185.61, 100, 0.74, 0.49
21, 0.00046033, 64.66, 45, 0.00082590, 196.12, 100, 0.56, 0.33
22, 0.00096041, 60.73, 34, 0.00413318, 339.55, 100, 0.23, 0.18
23, 0.00048519, 64.35, 55, 0.00099848, 166.83, 100, 0.49, 0.39
24, 0.00085889, 48.60, 45, 0.00150038, 171.54, 100, 0.57, 0.28
25, 0.00002258, 0.98, 2, 0.00001623, 3.95, 4, 1.39, 0.25
26, 0.00077955, 45.03, 43, 0.00190279, 142.40, 100, 0.41, 0.32
27, 0.00040029, 70.79, 50, 0.00106901, 239.49, 100, 0.37, 0.30
