BENCH: resnet34
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, ga-300 exec, ga-300 tuning, ga-300 trials, exec speedup, tuning speedup
0, 0.00007136, 50.31, 41, 0.00019333, 132.36, 100, 0.37, 0.38
1, 0.00112269, 37.23, 22, 0.00260945, 280.49, 100, 0.43, 0.13
2, 0.00096280, 99.85, 36, 0.00220935, 239.19, 100, 0.44, 0.42
3, 0.00001129, 115.27, 55, 0.00007652, 227.44, 100, 0.15, 0.51
4, 0.00000289, 1.00, 2, 0.00000348, 3.97, 4, 0.83, 0.25
5, 0.00105604, 47.33, 39, 0.00708663, 290.24, 100, 0.15, 0.16
6, 0.00091351, 109.61, 39, 0.00191176, 189.76, 100, 0.48, 0.58
7, 0.00073510, 49.90, 39, 0.00115607, 253.75, 100, 0.64, 0.20
8, 0.00005892, 80.38, 68, 0.00009328, 197.62, 100, 0.63, 0.41
9, 0.00006198, 102.20, 67, 0.00010460, 189.29, 100, 0.59, 0.54
10, 0.00000934, 45.67, 47, 0.00001353, 99.85, 100, 0.69, 0.46
11, 0.00053851, 84.41, 47, 0.00087208, 189.13, 100, 0.62, 0.45
12, 0.00105828, 55.40, 51, 0.00175750, 130.84, 100, 0.60, 0.42
13, 0.00095867, 239.57, 39, 0.00216138, 313.44, 100, 0.44, 0.76
14, 0.00091034, 141.67, 36, 0.00128980, 181.76, 100, 0.71, 0.78
15, 0.00098668, 60.95, 51, 0.00821959, 145.98, 100, 0.12, 0.42
16, 0.00001821, 15.92, 17, 0.00002340, 64.63, 64, 0.78, 0.25
17, 0.00056639, 41.95, 34, 0.00117401, 171.66, 100, 0.48, 0.24
18, 0.00097575, 118.44, 39, 0.00095396, 197.01, 100, 1.02, 0.60
