BENCH: densenet121
layer, ga-300 exec, ga-300 tuning, ga-300 trials
0, 0.00028237, 166.51, 100
1, 0.00030034, 156.48, 100
2, 0.00251195, 150.18, 100
3, 0.01612887, 626.76, 100
4, 0.00083498, 247.24, 100
5, 0.00000475, 3.84, 4
6, 0.00022088, 188.55, 100
7, 0.00639646, 121.83, 100
8, 0.00026911, 292.20, 100
9, 0.00061908, 215.11, 100
10, 0.00008266, 106.07, 100
11, 0.00011403, 232.28, 100
12, 0.00716174, 261.40, 100
13, 0.00023535, 121.30, 100
14, 0.00024231, 163.58, 100
15, 0.00000368, 3.87, 4
16, 0.00051967, 158.83, 100
17, 0.00070926, 230.71, 100
18, 0.00008708, 170.77, 100
19, 0.00140937, 217.48, 100
20, 0.00052013, 149.78, 100
21, 0.00038826, 204.68, 100
22, 0.00024549, 153.15, 100
23, 0.00191896, 158.16, 100
24, 0.00011562, 167.00, 100
25, 0.00038052, 214.03, 100
26, 0.00000534, 3.90, 4
27, 0.00040629, 109.78, 100
28, 0.00049952, 165.12, 100
29, 0.00066796, 147.51, 100
30, 0.00014561, 169.62, 100
31, 0.00001281, 102.69, 100
32, 0.00056187, 121.77, 100
33, 0.00026413, 136.58, 100
34, 0.00177430, 158.54, 100
35, 0.00030759, 164.03, 100
36, 0.00065985, 164.21, 100
37, 0.00007428, 220.26, 100
38, 0.00016639, 140.31, 100
39, 0.00052678, 119.45, 100
40, 0.00084497, 126.02, 100
41, 0.00033890, 242.43, 100
42, 0.00888675, 179.65, 100
43, 0.00067108, 112.49, 100
44, 0.00021993, 140.27, 100
45, 0.00031854, 108.70, 100
46, 0.00040044, 159.09, 100
47, 0.00074491, 190.57, 100
48, 0.00000800, 3.83, 4
49, 0.00270767, 184.41, 100
50, 0.00013401, 194.93, 100
51, 0.00029404, 185.87, 100
52, 0.00009113, 145.77, 100
53, 0.00015211, 111.05, 100
54, 0.00018014, 169.33, 100
55, 0.00060581, 203.58, 100
56, 0.00044596, 115.58, 100
57, 0.00313608, 203.31, 100
58, 0.00101405, 170.78, 100
59, 0.00016637, 131.61, 100
60, 0.00187969, 163.53, 100
61, 0.00001828, 20.08, 20
62, 0.00148840, 156.51, 100
63, 0.00015794, 175.73, 100
64, 0.00767504, 181.09, 100
65, 0.00353974, 188.00, 100
66, 0.00110700, 155.33, 100
67, 0.00022748, 109.55, 100
68, 0.00143767, 207.05, 100
69, 0.00022328, 206.24, 100
70, 0.00031760, 156.43, 100
71, 0.00003675, 150.36, 100
72, 0.00059306, 176.40, 100
