BENCH: densenet161
layer, ga-300 exec, ga-300 tuning, ga-300 trials
0, 0.00450494, 159.10, 100
1, 0.00013014, 147.04, 100
2, 0.00029529, 154.60, 100
3, 0.00149587, 137.71, 100
4, 0.00031143, 133.49, 100
5, 0.00075243, 189.59, 100
6, 0.01419460, 170.89, 100
7, 0.00066282, 111.50, 100
8, 0.00000614, 3.78, 4
9, 0.00372485, 168.96, 100
10, 0.00036283, 189.09, 100
11, 0.00188095, 191.68, 100
12, 0.00046434, 196.86, 100
13, 0.00069298, 222.47, 100
14, 0.00086795, 134.44, 100
15, 0.00110834, 168.73, 100
16, 0.00133093, 235.27, 100
17, 0.00840855, 331.31, 100
18, 0.00129198, 146.74, 100
19, 0.00031563, 232.65, 100
20, 0.00175293, 166.05, 100
21, 0.00000467, 3.84, 4
22, 0.00029375, 182.20, 100
23, 0.00060361, 142.00, 100
24, 0.00037794, 142.82, 100
25, 0.00148494, 136.33, 100
26, 0.00153370, 223.15, 100
27, 0.00029028, 107.92, 100
28, 0.00041486, 157.39, 100
29, 0.00050294, 205.70, 100
30, 0.00405133, 186.12, 100
31, 0.00025481, 144.05, 100
32, 0.00368143, 239.70, 100
33, 0.00298280, 180.33, 100
34, 0.00166211, 151.75, 100
35, 0.00065276, 136.45, 100
36, 0.00000830, 4.19, 4
37, 0.00047342, 112.83, 100
38, 0.00261449, 158.99, 100
39, 0.00958313, 195.37, 100
40, 0.00223943, 133.80, 100
41, 0.00104206, 156.83, 100
42, 0.00000868, 99.99, 100
43, 0.00107066, 131.29, 100
44, 0.00319922, 205.17, 100
45, 0.00114236, 137.64, 100
46, 0.00329188, 182.21, 100
47, 0.00172813, 156.60, 100
48, 0.00277158, 158.96, 100
49, 0.00190729, 157.21, 100
50, 0.00212797, 219.96, 100
51, 0.00025015, 129.79, 100
52, 0.00189202, 120.21, 100
53, 0.00181526, 159.00, 100
54, 0.00080522, 146.44, 100
55, 0.00050057, 146.53, 100
56, 0.00111256, 153.15, 100
57, 0.01199600, 260.50, 100
58, 0.00072230, 209.04, 100
59, 0.00022196, 140.14, 100
60, 0.00059855, 151.24, 100
61, 0.00132504, 254.09, 100
62, 0.00396715, 142.80, 100
63, 0.00000903, 3.85, 4
64, 0.00040251, 184.27, 100
65, 0.00076529, 193.24, 100
66, 0.00696090, 202.34, 100
67, 0.00181618, 164.47, 100
68, 0.00077995, 157.15, 100
69, 0.00021481, 161.11, 100
70, 0.00062596, 158.62, 100
71, 0.00051232, 127.30, 100
72, 0.00025252, 183.52, 100
73, 0.00110949, 122.45, 100
74, 0.00094412, 216.59, 100
75, 0.00325933, 140.11, 100
76, 0.00307619, 195.01, 100
77, 0.01171243, 164.78, 100
78, 0.00488505, 151.72, 100
79, 0.00023896, 120.36, 100
80, 0.00410740, 167.24, 100
81, 0.00006611, 66.56, 64
82, 0.00080089, 175.13, 100
83, 0.00117837, 164.33, 100
84, 0.00281405, 235.54, 100
85, 0.00318723, 170.86, 100
86, 0.00136532, 163.03, 100
87, 0.00165494, 198.82, 100
88, 0.00070747, 158.96, 100
89, 0.00132700, 145.54, 100
90, 0.00074447, 201.33, 100
91, 0.00118981, 132.39, 100
92, 0.00186531, 191.97, 100
