BENCH: googlenet
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, ga-300 exec, ga-300 tuning, ga-300 trials, exec speedup, tuning speedup
0, 0.00032883, 34.67, 28, 0.00066295, 155.58, 100, 0.50, 0.22
1, 0.00002246, 57.30, 43, 0.00004163, 130.15, 100, 0.54, 0.44
2, 0.00001887, 10.14, 10, 0.00002888, 68.56, 64, 0.65, 0.15
3, 0.00113643, 24.24, 21, 0.00465097, 192.32, 100, 0.24, 0.13
4, 0.00158166, 44.37, 36, 0.01515397, 184.00, 100, 0.10, 0.24
5, 0.00022823, 16.87, 18, 0.00039662, 113.96, 100, 0.58, 0.15
6, 0.00011949, 63.80, 43, 0.00082765, 358.47, 100, 0.14, 0.18
7, 0.00080048, 40.68, 36, 0.00232577, 278.22, 100, 0.34, 0.15
8, 0.00017474, 54.17, 43, 0.00018318, 142.11, 100, 0.95, 0.38
9, 0.00008595, 53.11, 43, 0.00006988, 139.14, 100, 1.23, 0.38
10, 0.00002347, 93.77, 55, 0.00279001, 206.43, 100, 0.01, 0.45
11, 0.00001560, 10.82, 11, 0.00004426, 22.21, 20, 0.35, 0.49
12, 0.00004646, 20.52, 20, 0.00020334, 330.78, 100, 0.23, 0.06
13, 0.00001928, 62.31, 51, 0.00004103, 128.62, 100, 0.47, 0.48
14, 0.00000305, 0.97, 2, 0.00000373, 3.88, 4, 0.82, 0.25
15, 0.00000769, 5.22, 6, 0.00001490, 17.19, 16, 0.52, 0.30
16, 0.00036377, 40.91, 37, 0.00096204, 231.93, 100, 0.38, 0.18
17, 0.00011930, 50.01, 47, 0.00018442, 143.01, 100, 0.65, 0.35
18, 0.00024762, 75.96, 43, 0.00130693, 160.09, 100, 0.19, 0.47
19, 0.00016241, 44.62, 45, 0.00036131, 128.87, 100, 0.45, 0.35
20, 0.00002493, 13.88, 14, 0.00007594, 102.59, 80, 0.33, 0.14
21, 0.00005131, 44.12, 43, 0.00012342, 139.26, 100, 0.42, 0.32
22, 0.00005997, 60.51, 54, 0.00010170, 133.86, 100, 0.59, 0.45
23, 0.00009342, 55.85, 41, 0.00020474, 247.71, 100, 0.46, 0.23
24, 0.00003677, 44.64, 43, 0.00002796, 121.42, 100, 1.32, 0.37
25, 0.00082326, 50.36, 44, 0.00237927, 223.58, 100, 0.35, 0.23
26, 0.00002093, 22.99, 22, 0.00003422, 112.05, 100, 0.61, 0.21
27, 0.00000723, 53.18, 52, 0.00000835, 102.81, 100, 0.87, 0.52
28, 0.00008995, 78.41, 63, 0.00010410, 138.57, 100, 0.86, 0.57
29, 0.00022643, 67.19, 57, 0.00032504, 140.84, 100, 0.70, 0.48
30, 0.00279988, 50.48, 36, 0.00606475, 439.32, 100, 0.46, 0.11
31, 0.00000453, 1.02, 2, 0.00000547, 4.08, 4, 0.83, 0.25
32, 0.00006578, 68.51, 43, 0.00013474, 183.57, 100, 0.49, 0.37
33, 0.00022896, 75.46, 43, 0.00032023, 225.39, 100, 0.71, 0.33
34, 0.00004226, 63.02, 51, 0.00022583, 236.20, 100, 0.19, 0.27
35, 0.00004240, 23.66, 20, 0.00028931, 196.86, 100, 0.15, 0.12
36, 0.00006190, 63.57, 47, 0.00019152, 162.88, 100, 0.32, 0.39
37, 0.00066618, 46.26, 37, 0.00128094, 267.48, 100, 0.52, 0.17
38, 0.00025877, 74.68, 66, 0.00025788, 140.60, 100, 1.00, 0.53
39, 0.00001937, 5.97, 7, 0.00001646, 19.88, 20, 1.18, 0.30
40, 0.00021451, 44.45, 45, 0.00028825, 149.95, 100, 0.74, 0.30
41, 0.00055750, 54.07, 44, 0.00049393, 164.43, 100, 1.13, 0.33
42, 0.00002449, 39.74, 38, 0.00011952, 158.38, 100, 0.20, 0.25
43, 0.00009723, 51.77, 51, 0.00077583, 164.64, 100, 0.13, 0.31
44, 0.00007564, 79.13, 53, 0.00011091, 173.85, 100, 0.68, 0.46
45, 0.00002539, 46.30, 45, 0.00003178, 148.84, 100, 0.80, 0.31
46, 0.00027075, 68.18, 62, 0.00077460, 156.28, 100, 0.35, 0.44
47, 0.00015192, 41.82, 43, 0.00050111, 156.08, 100, 0.30, 0.27
48, 0.00001729, 19.85, 10, 0.00007424, 95.66, 64, 0.23, 0.21
49, 0.00008901, 42.66, 43, 0.00032278, 163.00, 100, 0.28, 0.26
50, 0.00005368, 74.67, 53, 0.00025435, 223.99, 100, 0.21, 0.33
51, 0.00016647, 48.42, 43, 0.00017189, 195.74, 100, 0.97, 0.25
52, 0.00002974, 17.39, 17, 0.00005975, 121.99, 100, 0.50, 0.14
53, 0.00007600, 13.09, 14, 0.00006416, 87.19, 80, 1.18, 0.15
54, 0.00002220, 30.51, 21, 0.00003412, 197.34, 100, 0.65, 0.15
55, 0.00020033, 43.41, 43, 0.00040476, 164.16, 100, 0.49, 0.26
56, 0.00006713, 19.25, 19, 0.00030884, 105.31, 100, 0.22, 0.18
57, 0.00032266, 38.66, 36, 0.00326625, 245.12, 100, 0.10, 0.16
58, 0.00014725, 65.03, 57, 0.00041386, 137.96, 100, 0.36, 0.47
59, 0.00004128, 44.41, 39, 0.00008426, 229.70, 100, 0.49, 0.19
60, 0.00035995, 45.75, 43, 0.00054533, 180.48, 100, 0.66, 0.25
61, 0.00017000, 63.93, 45, 0.00153847, 176.78, 100, 0.11, 0.36
