BENCH: vgg13
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, ga-300 exec, ga-300 tuning, ga-300 trials, exec speedup, tuning speedup
0, 0.00089934, 23.48, 18, 0.00223098, 317.98, 100, 0.40, 0.07
1, 0.00004834, 1.22, 2, 0.00012118, 4.86, 4, 0.40, 0.25
2, 0.01352510, 90.39, 39, 0.02647630, 482.61, 100, 0.51, 0.19
3, 0.00006958, 105.12, 55, 9999.00000000, 214.93, 100, 0.00, 0.49
4, 0.00001269, 1.16, 2, 0.00003377, 4.66, 4, 0.38, 0.25
5, 0.01381333, 81.53, 36, 0.08939820, 553.45, 100, 0.15, 0.15
6, 0.00694571, 177.72, 39, 0.02878013, 465.81, 100, 0.24, 0.38
7, 0.00186013, 145.94, 38, 0.00991800, 290.57, 100, 0.19, 0.50
8, 0.00000853, 57.39, 59, 0.00000850, 98.40, 100, 1.00, 0.58
9, 0.00655481, 117.66, 83, 0.01456107, 364.14, 100, 0.45, 0.32
10, 0.01147080, 145.86, 34, 0.06322500, 342.15, 100, 0.18, 0.43
11, 0.01437753, 320.76, 36, 0.02418440, 650.98, 100, 0.59, 0.49
12, 0.00002643, 0.98, 2, 0.00005063, 6.76, 4, 0.52, 0.15
13, 0.00000525, 0.95, 2, 0.00000530, 3.80, 4, 0.99, 0.25
14, 0.01417200, 94.05, 32, 0.02617880, 536.82, 100, 0.54, 0.18
15, 0.00333132, 68.01, 36, 0.00772473, 343.54, 100, 0.43, 0.20
16, 0.00000176, 0.97, 2, 0.00000175, 3.86, 4, 1.00, 0.25
17, 0.00646800, 48.69, 34, 0.01992957, 286.71, 100, 0.32, 0.17
18, 0.00000681, 1.02, 2, 0.00000683, 4.07, 4, 1.00, 0.25
